,year,month,number_of_flights_intl,number_of_flights_total,seats_arrivals_intl,seats_arrivals_total,total,date,oceania_index,stringency_index,covid,solomon_islands_flights,solomon_islands_hotel,solomon_islands_travel
0,2019,1,69.0,69.0,10036.0,10036.0,1750.0,2019-01-01,0.0,0.0,0.0,0.1121836132330867,0.0872884144866591,0.2626919293154068
1,2019,2,66.0,66.0,9471.0,9471.0,1891.0,2019-02-01,0.0,0.0,0.0,0.0943433665780418,0.1808380434129679,0.1949754108976902
2,2019,3,69.0,71.0,9693.0,9965.0,2378.0,2019-03-01,0.0,0.0,0.0,0.1974735492603982,0.0,0.0990210996225335
3,2019,4,66.0,71.0,9532.0,10212.0,2106.0,2019-04-01,0.0,0.0,0.0,0.2755030991794435,0.1006383749632572,0.0706649163497961
4,2019,5,69.0,73.0,9859.0,10403.0,2434.0,2019-05-01,0.0,0.0,0.0,0.2668568208922006,0.2273007781317605,0.2110192659153625
5,2019,6,66.0,70.0,9529.0,10073.0,2523.0,2019-06-01,0.0,0.0,0.0,0.2735073766048582,0.123963182078409,0.1317073727470685
6,2019,7,64.0,64.0,9521.0,9521.0,2537.0,2019-07-01,0.0,0.0,0.0,0.2225040464937556,0.1271504319052629,0.1753585078037354
7,2019,8,66.0,66.0,9338.0,9338.0,2484.0,2019-08-01,0.0,0.0,0.0,0.1990755058731307,0.1728727909981957,0.0857160388432503
8,2019,9,62.0,65.0,9218.0,9626.0,2695.0,2019-09-01,0.0,0.0,0.0,0.1697021072116867,0.0972326359004391,0.2506932727579575
9,2019,10,69.0,72.0,10074.0,10482.0,2761.0,2019-10-01,0.0,0.0,0.0,0.1841614422581632,0.0851438537645475,0.1879382652200271
10,2019,11,75.0,79.0,11255.0,11799.0,2295.0,2019-11-01,0.0,0.0,0.0,0.2155903915686128,0.1300606600178724,0.1464155940574405
11,2019,12,70.0,74.0,10737.0,11281.0,3053.0,2019-12-01,0.0,0.0,0.0,0.1259937448022563,0.0,0.0850930460785265
12,2020,1,71.0,74.0,11146.0,11554.0,1857.0,2020-01-01,6.484999999999999,0.0,0.0,0.270481294453002,0.1143510609372309,0.2218417203988197
13,2020,2,50.0,51.0,6322.0,6402.0,1471.0,2020-02-01,18.961379310344828,0.0,0.0,0.1514814961329099,0.207979549564773,0.3070069178886875
14,2020,3,53.0,54.0,6802.0,6946.0,752.0,2020-03-01,41.96075268817204,0.0,1.0,0.2035546611509204,0.1824486773450819,0.2619749881337108
15,2020,4,4.0,4.0,510.0,510.0,2.0,2020-04-01,82.458,0.0,1.0,0.1088362777194804,0.0393917740169734,0.0
16,2020,5,5.0,5.0,680.0,680.0,23.0,2020-05-01,64.93,0.0,1.0,0.154906967049303,0.0433074666306118,0.0
17,2020,6,6.0,6.0,824.0,824.0,24.0,2020-06-01,50.60525,0.0,1.0,0.124481340322398,0.2550372234258761,0.0
18,2020,7,9.0,9.0,1224.0,1224.0,52.0,2020-07-01,48.74774193548387,0.0,1.0,0.0864373224744388,0.2367905634280435,0.1516902340559464
19,2020,8,6.0,6.0,816.0,816.0,39.0,2020-08-01,58.649274193548386,0.0,1.0,0.0,0.2076806673599718,0.0723174622206739
20,2020,9,13.0,13.0,1692.0,1692.0,103.0,2020-09-01,54.897749999999995,0.0,1.0,0.0919432516367547,0.0,0.1466958386979945
21,2020,10,6.0,6.0,816.0,816.0,60.0,2020-10-01,47.38006451612903,43.52,1.0,0.0869228500880585,0.1093368057771144,0.2113352542080233
22,2020,11,10.0,10.0,1244.0,1244.0,16.0,2020-11-01,43.2978,43.026,1.0,0.0852128563047265,0.1671572497115964,0.0961834852239063
23,2020,12,16.0,16.0,2238.0,2238.0,41.0,2020-12-01,41.74263440860214,35.93064516129032,1.0,0.1433077240047976,0.0518943388264499,0.1394112708044581
