,date,year,month,total
0,2009-01-01,2009,1.0,1602
1,2010-01-01,2010,1.0,1235
2,2011-01-01,2011,1.0,1600
3,2012-01-01,2012,1.0,1383
4,2013-01-01,2013,1.0,1590
5,2014-01-01,2014,1.0,1415
6,2015-01-01,2015,1.0,1259
7,2016-01-01,2016,1.0,1655
8,2017-01-01,2017,1.0,1514
9,2018-01-01,2018,1.0,2081
10,2019-01-01,2019,1.0,1750
11,2020-01-01,2020,1.0,1857
12,2009-02-01,2009,2.0,1422
13,2010-02-01,2010,2.0,1209
14,2011-02-01,2011,2.0,1658
15,2012-02-01,2012,2.0,1591
16,2013-02-01,2013,2.0,1544
17,2014-02-01,2014,2.0,1523
18,2015-02-01,2015,2.0,1465
19,2016-02-01,2016,2.0,1707
20,2017-02-01,2017,2.0,1635
21,2018-02-01,2018,2.0,1855
22,2019-02-01,2019,2.0,1891
23,2020-02-01,2020,2.0,1471
24,2009-03-01,2009,3.0,1249
25,2010-03-01,2010,3.0,1766
26,2011-03-01,2011,3.0,1861
27,2012-03-01,2012,3.0,1677
28,2013-03-01,2013,3.0,2184
29,2014-03-01,2014,3.0,1816
30,2015-03-01,2015,3.0,1675
31,2016-03-01,2016,3.0,1675
32,2017-03-01,2017,3.0,1732
33,2018-03-01,2018,3.0,2360
34,2019-03-01,2019,3.0,2378
35,2020-03-01,2020,3.0,752
36,2009-04-01,2009,4.0,1499
37,2010-04-01,2010,4.0,1820
38,2011-04-01,2011,4.0,1736
39,2012-04-01,2012,4.0,1839
40,2013-04-01,2013,4.0,2021
41,2014-04-01,2014,4.0,1514
42,2015-04-01,2015,4.0,1750
43,2016-04-01,2016,4.0,1799
44,2017-04-01,2017,4.0,2013
45,2018-04-01,2018,4.0,2250
46,2019-04-01,2019,4.0,2106
47,2020-04-01,2020,4.0,2
48,2009-05-01,2009,5.0,1393
49,2010-05-01,2010,5.0,1137
50,2011-05-01,2011,5.0,1760
51,2012-05-01,2012,5.0,1968
52,2013-05-01,2013,5.0,1857
53,2014-05-01,2014,5.0,1462
54,2015-05-01,2015,5.0,1681
55,2016-05-01,2016,5.0,1896
56,2017-05-01,2017,5.0,1851
57,2018-05-01,2018,5.0,2003
58,2019-05-01,2019,5.0,2434
59,2020-05-01,2020,5.0,23
60,2009-06-01,2009,6.0,1724
61,2010-06-01,2010,6.0,1797
62,2011-06-01,2011,6.0,2009
63,2012-06-01,2012,6.0,3122
64,2013-06-01,2013,6.0,2317
65,2014-06-01,2014,6.0,1949
66,2015-06-01,2015,6.0,2131
67,2016-06-01,2016,6.0,1984
68,2017-06-01,2017,6.0,2561
69,2018-06-01,2018,6.0,2768
70,2019-06-01,2019,6.0,2523
71,2020-06-01,2020,6.0,24
72,2009-07-01,2009,7.0,1603
73,2010-07-01,2010,7.0,2264
74,2011-07-01,2011,7.0,2185
75,2012-07-01,2012,7.0,2865
76,2013-07-01,2013,7.0,2574
77,2014-07-01,2014,7.0,2114
78,2015-07-01,2015,7.0,2077
79,2016-07-01,2016,7.0,2319
80,2017-07-01,2017,7.0,2295
81,2018-07-01,2018,7.0,2862
82,2019-07-01,2019,7.0,2537
83,2020-07-01,2020,7.0,52
84,2009-08-01,2009,8.0,1520
85,2010-08-01,2010,8.0,1845
86,2011-08-01,2011,8.0,1900
87,2012-08-01,2012,8.0,2133
88,2013-08-01,2013,8.0,2022
89,2014-08-01,2014,8.0,1639
90,2015-08-01,2015,8.0,1426
91,2016-08-01,2016,8.0,1918
92,2017-08-01,2017,8.0,2589
93,2018-08-01,2018,8.0,2313
94,2019-08-01,2019,8.0,2484
95,2020-08-01,2020,8.0,39
96,2009-09-01,2009,9.0,1659
97,2010-09-01,2010,9.0,2153
98,2011-09-01,2011,9.0,2159
99,2012-09-01,2012,9.0,2309
100,2013-09-01,2013,9.0,2291
101,2014-09-01,2014,9.0,1730
102,2015-09-01,2015,9.0,2211
103,2016-09-01,2016,9.0,1428
104,2017-09-01,2017,9.0,2397
105,2018-09-01,2018,9.0,2663
106,2019-09-01,2019,9.0,2695
107,2020-09-01,2020,9.0,103
108,2009-10-01,2009,10.0,1709
109,2010-10-01,2010,10.0,1813
110,2011-10-01,2011,10.0,1931
111,2012-10-01,2012,10.0,1929
112,2013-10-01,2013,10.0,2057
113,2014-10-01,2014,10.0,1798
114,2015-10-01,2015,10.0,1748
115,2016-10-01,2016,10.0,2257
116,2017-10-01,2017,10.0,2500
117,2018-10-01,2018,10.0,2366
118,2019-10-01,2019,10.0,2761
119,2020-10-01,2020,10.0,60
120,2009-11-01,2009,11.0,1475
121,2010-11-01,2010,11.0,1624
122,2011-11-01,2011,11.0,2195
123,2012-11-01,2012,11.0,1545
124,2013-11-01,2013,11.0,1981
125,2014-11-01,2014,11.0,1515
126,2015-11-01,2015,11.0,2101
127,2016-11-01,2016,11.0,2199
128,2017-11-01,2017,11.0,2317
129,2018-11-01,2018,11.0,2044
130,2019-11-01,2019,11.0,2295
131,2020-11-01,2020,11.0,16
132,2009-12-01,2009,12.0,1405
133,2010-12-01,2010,12.0,1858
134,2011-12-01,2011,12.0,1947
135,2012-12-01,2012,12.0,1564
136,2013-12-01,2013,12.0,1993
137,2014-12-01,2014,12.0,1595
138,2015-12-01,2015,12.0,2099
139,2016-12-01,2016,12.0,2357
140,2017-12-01,2017,12.0,2305
141,2018-12-01,2018,12.0,2301
142,2019-12-01,2019,12.0,3053
143,2020-12-01,2020,12.0,41
