,Year,total,month,date,oceania_index,stringency_index,covid,solomon_islands_flights_x,solomon_islands_hotel_x,solomon_islands_travel_x,solomon_islands_flights_y,solomon_islands_hotel_y,solomon_islands_travel_y
0,2009,1602,1,2009-01-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,2009,1422,2,2009-02-01,0.0,0.0,0.0,0.4846668718229912,0.0,0.2036722109560666,0.4846668718229912,0.0,0.2036722109560666
2,2009,1249,3,2009-03-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,2009,1499,4,2009-04-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,2009,1393,5,2009-05-01,0.0,0.0,0.0,0.0,0.0,0.4780199564248497,0.0,0.0,0.4780199564248497
5,2009,1724,6,2009-06-01,0.0,0.0,0.0,0.3640779774603165,0.6845416455760404,0.2442334841433544,0.3640779774603165,0.6845416455760404,0.2442334841433544
6,2009,1603,7,2009-07-01,0.0,0.0,0.0,0.2497062642151554,0.0,0.1962349767514132,0.2497062642151554,0.0,0.1962349767514132
7,2009,1520,8,2009-08-01,0.0,0.0,0.0,0.3650787539380572,0.0,0.0,0.3650787539380572,0.0,0.0
8,2009,1659,9,2009-09-01,0.0,0.0,0.0,0.2640513480401714,0.4190037346461288,0.3809558494639657,0.2640513480401714,0.4190037346461288,0.3809558494639657
9,2009,1709,10,2009-10-01,0.0,0.0,0.0,0.2296596373929194,0.3480063987550353,0.0,0.2296596373929194,0.3480063987550353,0.0
10,2009,1475,11,2009-11-01,0.0,0.0,0.0,0.2885488389844151,0.0,0.0,0.2885488389844151,0.0,0.0
11,2009,1405,12,2009-12-01,0.0,0.0,0.0,0.4392286537808874,0.0,0.0,0.4392286537808874,0.0,0.0
12,2010,1235,1,2010-01-01,0.0,0.0,0.0,0.2102500980724331,0.3404497073497841,0.5206162092947012,0.2102500980724331,0.3404497073497841,0.5206162092947012
13,2010,1209,2,2010-02-01,0.0,0.0,0.0,0.4504382777789976,0.2980907753334809,0.3207495936580574,0.4504382777789976,0.2980907753334809,0.3207495936580574
14,2010,1766,3,2010-03-01,0.0,0.0,0.0,0.2985569283561824,0.170247913527031,0.0,0.2985569283561824,0.170247913527031,0.0
15,2010,1820,4,2010-04-01,0.0,0.0,0.0,0.4363672024917546,0.6378648706883066,0.3324327655488757,0.4363672024917546,0.6378648706883066,0.3324327655488757
16,2010,1137,5,2010-05-01,0.0,0.0,0.0,0.0,0.0,0.3575392059887688,0.0,0.0,0.3575392059887688
17,2010,1797,6,2010-06-01,0.0,0.0,0.0,0.4273815704161355,0.1970610929367207,0.0,0.4273815704161355,0.1970610929367207,0.0
18,2010,2264,7,2010-07-01,0.0,0.0,0.0,0.295070218994527,0.0,0.0,0.295070218994527,0.0,0.0
19,2010,1845,8,2010-08-01,0.0,0.0,0.0,0.4398730715768801,0.0,0.0,0.4398730715768801,0.0,0.0
20,2010,2153,9,2010-09-01,0.0,0.0,0.0,0.1598360152006391,0.1574848246259434,0.2004557112722734,0.1598360152006391,0.1574848246259434,0.2004557112722734
21,2010,1813,10,2010-10-01,0.0,0.0,0.0,0.5058340635620842,0.1628553492941052,0.2647521873316362,0.5058340635620842,0.1628553492941052,0.2647521873316362
22,2010,1624,11,2010-11-01,0.0,0.0,0.0,0.2121033260949336,0.2982225311217862,0.0,0.2121033260949336,0.2982225311217862,0.0
23,2010,1858,12,2010-12-01,0.0,0.0,0.0,0.0,0.1205141490872698,0.0,0.0,0.1205141490872698,0.0
24,2011,1600,1,2011-01-01,0.0,0.0,0.0,0.2026742399285792,0.2798322147744234,0.2498779096841928,0.2026742399285792,0.2798322147744234,0.2498779096841928
25,2011,1658,2,2011-02-01,0.0,0.0,0.0,0.2197576553546861,0.0,0.0,0.2197576553546861,0.0,0.0
26,2011,1861,3,2011-03-01,0.0,0.0,0.0,0.1815278291452103,0.1483363583648003,0.0,0.1815278291452103,0.1483363583648003,0.0
27,2011,1736,4,2011-04-01,0.0,0.0,0.0,0.2453043539502893,0.0,0.0,0.2453043539502893,0.0,0.0
28,2011,1760,5,2011-05-01,0.0,0.0,0.0,0.3981575662895553,0.2204499607505661,0.2602463703731709,0.3981575662895553,0.2204499607505661,0.2602463703731709
29,2011,2009,6,2011-06-01,0.0,0.0,0.0,0.5667685850096648,0.1597062554599375,0.2542600494677842,0.5667685850096648,0.1597062554599375,0.2542600494677842
30,2011,2185,7,2011-07-01,0.0,0.0,0.0,0.0,0.5185010533058562,0.2837409301554572,0.0,0.5185010533058562,0.2837409301554572
31,2011,1900,8,2011-08-01,0.0,0.0,0.0,0.1421194244437546,0.2095148933534436,0.1911806401299749,0.1421194244437546,0.2095148933534436,0.1911806401299749
32,2011,2159,9,2011-09-01,0.0,0.0,0.0,0.2610630527106926,0.2006049287328161,0.294688751007203,0.2610630527106926,0.2006049287328161,0.294688751007203
33,2011,1931,10,2011-10-01,0.0,0.0,0.0,0.2786863381803617,0.0,0.1276682188788772,0.2786863381803617,0.0,0.1276682188788772
34,2011,2195,11,2011-11-01,0.0,0.0,0.0,0.2484933537786878,0.1116514382788893,0.0,0.2484933537786878,0.1116514382788893,0.0
35,2011,1947,12,2011-12-01,0.0,0.0,0.0,0.2639751683134707,0.2495570227152639,0.2066272861269761,0.2639751683134707,0.2495570227152639,0.2066272861269761
36,2012,1383,1,2012-01-01,0.0,0.0,0.0,0.0,0.4350243729135422,0.1573512455178487,0.0,0.4350243729135422,0.1573512455178487
