,year,month,australia,newzealand,usa,canada,unitedkingdom,continentaleurope,japan,china,southkorea,restofasia,pacificislands,others,total
0,2019,may,30035,16372,8585,984,1374,2536,944,4028,813,2848,4179,471,73169
1,2019,apr,32850,16126,7938,1090,1444,3223,1125,3385,648,3906,4646,432,76813
2,2019,mar,22972,9457,8323,1247,1471,2758,1468,3494,586,2808,4240,482,59306
3,2019,oct,33739,19024,8428,886,1164,3214,810,3189,255,2095,4256,407,77467
4,2019,june,34620,23076,10504,949,1605,2708,803,3384,547,2561,4471,424,85652
5,2019,july,36799,27963,9926,1601,2020,3541,1571,4439,602,2556,4849,509,96376
6,2019,feb,15489,7145,5855,1023,1375,2355,1203,6113,677,2092,5011,410,48748
7,2019,jan,27860,11573,5709,1121,1265,2906,1127,3964,766,1842,5203,471,63807
8,2019,nov,31701,13788,7922,1043,1171,2749,870,2651,269,1779,4882,298,69123
9,2019,sept,33329,21632,8027,897,1246,3031,1491,3997,741,2172,4298,493,81354
10,2019,august,32725,24790,8721,1244,1446,4468,2363,5411,627,2559,4091,389,88834
