date,ym,pacific_rnz_body_count,pacific_rnz_epu_count,pacific_rnz_ratio,pacific_pina_body_count,pacific_pina_epu_count,pacific_pina_ratio,pacific_abc_au_body_count,pacific_abc_au_epu_count,pacific_abc_au_ratio,news_total,pacific_rnz_weights,pacific_pina_weights,pacific_abc_au_weights,pacific_rnz_z_score,pacific_pina_z_score,pacific_abc_au_z_score,z_score_unweighted,z_score_weighted,epu_weighted,epu_unweighted,epu_inflation
2015-01-01,2015-1,0.0,0.0,0.0,260.0,5.0,0.019230769230769232,68,2.0,0.029411764705882353,328.0,0.0,0.7926829268292683,0.2073170731707317,,0.26002508686544396,0.5254064079885574,0.39271574742700066,0.3150431656348699,51.83632545642514,69.96524575283179,51.83632545642514
2015-02-01,2015-2,0.0,0.0,0.0,506.0,10.0,0.019762845849802372,58,0.0,0.0,564.0,0.0,0.8971631205673759,0.10283687943262411,,0.2672194568577685,0.0,0.13360972842888424,0.23973944179083487,39.44606036562733,23.803571783771282,39.44606036562733
2015-03-01,2015-3,0.0,0.0,0.0,357.0,10.0,0.028011204481792718,108,6.0,0.05555555555555555,465.0,0.0,0.7677419354838709,0.23225806451612904,,0.37874802568636096,0.9924343262006085,0.6855911759434847,0.5212816180638636,85.77022629250634,122.14319243659874,85.77022629250634
2015-04-01,2015-4,0.0,0.0,0.0,495.0,11.0,0.022222222222222223,98,2.0,0.02040816326530612,593.0,0.0,0.8347386172006745,0.16526138279932545,,0.3004734337111797,0.36456771166552965,0.33252057268835467,0.31106574271543985,51.1818913616117,59.24102544509667,51.1818913616117
2015-05-01,2015-5,0.0,0.0,0.0,252.0,4.0,0.015873015873015872,66,0.0,0.0,318.0,0.0,0.7924528301886793,0.20754716981132076,,0.2146238812222712,0.0,0.1073119406111356,0.17007930210066774,27.98437490089788,19.118424321568682,27.98437490089788
2015-06-01,2015-6,0.0,0.0,0.0,507.0,10.0,0.01972386587771203,98,0.0,0.0,605.0,0.0,0.8380165289256198,0.16198347107438016,,0.26669239678507073,0.0,0.13334619839253536,0.2234926366446791,36.77285627473358,23.756621938043924,36.77285627473358
2015-07-01,2015-7,0.0,0.0,0.0,492.0,0.0,0.0,104,2.0,0.019230769230769232,596.0,0.0,0.825503355704698,0.174496644295302,,0.0,0.3435349590694414,0.1717674795347207,0.05994569755574146,9.8632981989942,30.601660352887023,9.8632981989942
2015-08-01,2015-8,0.0,0.0,0.0,480.0,13.0,0.027083333333333334,72,4.0,0.05555555555555555,552.0,0.0,0.8695652173913043,0.13043478260869565,,0.36620199733550024,0.9924343262006085,0.6793181617680544,0.44788447501355777,73.69366469796927,121.02560807368351,73.69366469796927
2015-09-01,2015-9,0.0,0.0,0.0,357.0,7.0,0.0196078431372549,112,0.0,0.0,469.0,0.0,0.7611940298507462,0.23880597014925373,,0.26512361798045264,0.0,0.13256180899022632,0.20181051517915052,33.2053403674833,23.616877103114252,33.2053403674833
2015-10-01,2015-10,0.0,0.0,0.0,416.0,12.0,0.028846153846153848,108,2.0,0.018518518518518517,524.0,0.0,0.7938931297709924,0.20610687022900764,,0.39003763029816596,0.3308114420668695,0.36042453618251774,0.3778307060062194,62.16721256117771,64.21232510939156,62.16721256117771
2015-11-01,2015-11,0.0,0.0,0.0,287.0,5.0,0.017421602787456445,94,0.0,0.0,381.0,0.0,0.7532808398950132,0.24671916010498687,,0.23556279646346837,0.0,0.11778139823173418,0.17744494116801948,29.196296648574556,20.98363645050221,29.196296648574556
