date,ym,pacific_rnz_body_count,pacific_rnz_epu_count,pacific_rnz_ratio,pacific_pina_body_count,pacific_pina_epu_count,pacific_pina_ratio,pacific_abc_au_body_count,pacific_abc_au_epu_count,pacific_abc_au_ratio,news_total,pacific_rnz_weights,pacific_pina_weights,pacific_abc_au_weights,pacific_rnz_z_score,pacific_pina_z_score,pacific_abc_au_z_score,z_score_unweighted,z_score_weighted,epu_weighted,epu_unweighted,epu_job
2015-01-01,2015-1,0.0,0.0,0.0,260.0,1.0,0.0038461538461538464,68,0.0,0.0,328.0,0.0,0.7926829268292683,0.2073170731707317,,0.028401858710589766,0.0,0.014200929355294883,0.022513668490101644,6.191218068739936,4.011166212761612,6.191218068739936
2015-02-01,2015-2,0.0,0.0,0.0,506.0,6.0,0.011857707509881422,58,0.0,0.0,564.0,0.0,0.8971631205673759,0.10283687943262411,,0.08756304266505935,0.0,0.043781521332529674,0.07855833260375893,21.603399218581902,12.366441288355958,21.603399218581902
2015-03-01,2015-3,0.0,0.0,0.0,357.0,5.0,0.014005602240896359,108,2.0,0.018518518518518517,465.0,0.0,0.7677419354838709,0.23225806451612904,,0.10342413536069102,0.40367232650472185,0.25354823093270645,0.1731591991102724,47.61846621182146,71.61672815755179,47.61846621182146
2015-04-01,2015-4,0.0,0.0,0.0,495.0,6.0,0.012121212121212121,98,0.0,0.0,593.0,0.0,0.8347386172006745,0.16526138279932545,,0.08950888805761623,0.0,0.04475444402880811,0.07471652544438454,20.546909206206056,12.641251094763868,20.546909206206056
2015-05-01,2015-5,0.0,0.0,0.0,252.0,2.0,0.007936507936507936,66,0.0,0.0,318.0,0.0,0.7924528301886793,0.20754716981132076,,0.05860701003772491,0.0,0.029303505018862454,0.04644329097329144,12.771820921677351,8.277009645381105,12.771820921677351
2015-06-01,2015-6,0.0,0.0,0.0,507.0,3.0,0.005917159763313609,98,0.0,0.0,605.0,0.0,0.8380165289256198,0.16198347107438016,,0.04369516724706117,0.0,0.021847583623530585,0.036617272387206634,10.069683602710903,6.171024942710171,10.069683602710903
2015-07-01,2015-7,0.0,0.0,0.0,492.0,2.0,0.0040650406504065045,104,0.0,0.0,596.0,0.0,0.825503355704698,0.174496644295302,,0.03001822465346886,0.0,0.01500911232673443,0.024780145183736037,6.8144950555258355,4.239443964707395,6.8144950555258355
2015-08-01,2015-8,0.0,0.0,0.0,480.0,6.0,0.0125,72,0.0,0.0,552.0,0.0,0.8695652173913043,0.13043478260869565,,0.09230604080941673,0.0,0.04615302040470837,0.08026612244297107,22.073038332029334,13.036290191475238,22.073038332029334
2015-09-01,2015-9,0.0,0.0,0.0,357.0,6.0,0.01680672268907563,112,0.0,0.0,469.0,0.0,0.7611940298507462,0.23880597014925373,,0.1241089624328292,0.0,0.0620544812164146,0.09447100125484013,25.97935428417951,17.527785131395277,25.97935428417951
2015-10-01,2015-10,0.0,0.0,0.0,416.0,2.0,0.004807692307692308,108,0.0,0.0,524.0,0.0,0.7938931297709924,0.20610687022900764,,0.03550232338823721,0.0,0.017751161694118604,0.02818505062882954,7.75083788758282,5.013957765952015,7.75083788758282
