date,ym,new_zealand_abc_au_solomon_islands_body_count,new_zealand_abc_au_solomon_islands_epu_count,new_zealand_abc_au_solomon_islands_ratio,new_zealand_herald_body_count,new_zealand_herald_epu_count,new_zealand_herald_ratio,news_total,new_zealand_abc_au_solomon_islands_weights,new_zealand_herald_weights,new_zealand_abc_au_solomon_islands_z_score,new_zealand_herald_z_score,z_score_unweighted,z_score_weighted,epu_weighted,epu_unweighted
2015-01-01,2015-1,41,1.0,0.024390243902439025,0.0,0.0,0.0,41.0,1.0,0.0,0.48794752303428296,,0.48794752303428296,0.48794752303428296,76.19397675073873,76.19397675073873
2015-02-01,2015-2,95,0.0,0.0,0.0,0.0,0.0,95.0,1.0,0.0,0.0,,0.0,0.0,0.0,0.0
2015-03-01,2015-3,98,1.0,0.01020408163265306,0.0,0.0,0.0,98.0,1.0,0.0,0.20414131065719998,,0.20414131065719998,0.20414131065719998,31.877071905921298,31.877071905921298
2015-04-01,2015-4,75,2.0,0.02666666666666667,0.0,0.0,0.0,75.0,1.0,0.0,0.5334892918508161,,0.5334892918508161,0.5334892918508161,83.30541458080768,83.30541458080768
2015-05-01,2015-5,59,0.0,0.0,0.0,0.0,0.0,59.0,1.0,0.0,0.0,,0.0,0.0,0.0,0.0
2015-06-01,2015-6,59,0.0,0.0,0.0,0.0,0.0,59.0,1.0,0.0,0.0,,0.0,0.0,0.0,0.0
2015-07-01,2015-7,40,0.0,0.0,0.0,0.0,0.0,40.0,1.0,0.0,0.0,,0.0,0.0,0.0,0.0
2015-08-01,2015-8,58,0.0,0.0,0.0,0.0,0.0,58.0,1.0,0.0,0.0,,0.0,0.0,0.0,0.0
2015-09-01,2015-9,38,1.0,0.02631578947368421,0.0,0.0,0.0,38.0,1.0,0.0,0.5264696959054105,,0.5264696959054105,0.5264696959054105,82.20929070474439,82.20929070474439
2015-10-01,2015-10,80,1.0,0.0125,0.0,0.0,0.0,80.0,1.0,0.0,0.25007310555507,,0.25007310555507,0.25007310555507,39.049413084753596,39.049413084753596
2015-11-01,2015-11,95,0.0,0.0,0.0,0.0,0.0,95.0,1.0,0.0,0.0,,0.0,0.0,0.0,0.0
