date,ym,new_zealand_abc_au_solomon_islands_body_count,new_zealand_abc_au_solomon_islands_epu_count,new_zealand_abc_au_solomon_islands_ratio,new_zealand_herald_body_count,new_zealand_herald_epu_count,new_zealand_herald_ratio,news_total,new_zealand_abc_au_solomon_islands_weights,new_zealand_herald_weights,new_zealand_abc_au_solomon_islands_z_score,new_zealand_herald_z_score,z_score_unweighted,z_score_weighted,epu_weighted,epu_unweighted,epu_inflation
2015-01-01,2015-1,41,1.0,0.024390243902439025,0.0,0.0,0.0,41.0,1.0,0.0,0.5875742928827988,,0.5875742928827988,0.5875742928827988,96.28006521875258,96.28006521875258,96.28006521875258
2015-02-01,2015-2,95,0.0,0.0,0.0,0.0,0.0,95.0,1.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0
2015-03-01,2015-3,98,1.0,0.01020408163265306,0.0,0.0,0.0,98.0,1.0,0.0,0.24582189804280355,,0.24582189804280355,0.24582189804280355,40.28043544866179,40.28043544866179,40.28043544866179
2015-04-01,2015-4,75,2.0,0.02666666666666667,0.0,0.0,0.0,75.0,1.0,0.0,0.6424145602185267,,0.6424145602185267,0.6424145602185267,105.26620463916949,105.26620463916949,105.26620463916949
2015-05-01,2015-5,59,0.0,0.0,0.0,0.0,0.0,59.0,1.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0
2015-06-01,2015-6,59,0.0,0.0,0.0,0.0,0.0,59.0,1.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0
2015-07-01,2015-7,40,0.0,0.0,0.0,0.0,0.0,40.0,1.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0
2015-08-01,2015-8,58,0.0,0.0,0.0,0.0,0.0,58.0,1.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0
2015-09-01,2015-9,38,0.0,0.0,0.0,0.0,0.0,38.0,1.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0
2015-10-01,2015-10,80,0.0,0.0,0.0,0.0,0.0,80.0,1.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0
2015-11-01,2015-11,95,0.0,0.0,0.0,0.0,0.0,95.0,1.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0
2015-12-01,2015-12,31,0.0,0.0,0.0,0.0,0.0,31.0,1.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0
2016-01-01,2016-1,28,0.0,0.0,0.0,0.0,0.0,28.0,1.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0
2016-02-01,2016-2,104,0.0,0.0,0.0,0.0,0.0,104.0,1.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0
2016-03-01,2016-3,51,1.0,0.0196078431372549,0.0,0.0,0.0,51.0,1.0,0.0,0.4723636472195049,,0.4723636472195049,0.4723636472195049,77.40162105821285,77.40162105821285,77.40162105821285
2016-04-01,2016-4,25,0.0,0.0,0.0,0.0,0.0,25.0,1.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0
2016-05-01,2016-5,26,0.0,0.0,0.0,0.0,0.0,26.0,1.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0
2016-06-01,2016-6,19,0.0,0.0,0.0,0.0,0.0,19.0,1.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0
2016-07-01,2016-7,22,0.0,0.0,0.0,0.0,0.0,22.0,1.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0
2016-08-01,2016-8,28,1.0,0.03571428571428571,0.0,0.0,0.0,28.0,1.0,0.0,0.8603766431498124,,0.8603766431498124,0.8603766431498124,140.98152407031625,140.98152407031625,140.98152407031625
2016-09-01,2016-9,20,1.0,0.05,0.0,0.0,0.0,20.0,1.0,0.0,1.2045273004097377,,1.2045273004097377,1.2045273004097377,197.37413369844282,197.37413369844282,197.37413369844282
2016-10-01,2016-10,21,1.0,0.047619047619047616,0.0,0.0,0.0,21.0,1.0,0.0,1.1471688575330832,,1.1471688575330832,1.1471688575330832,187.97536542708835,187.97536542708835,187.97536542708835
2016-11-01,2016-11,29,0.0,0.0,0.0,0.0,0.0,29.0,1.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0
2016-12-01,2016-12,25,1.0,0.04,0.0,0.0,0.0,25.0,1.0,0.0,0.9636218403277901,,0.9636218403277901,0.9636218403277901,157.89930695875424,157.89930695875424,157.89930695875424
2017-01-01,2017-1,19,1.0,0.05263157894736842,0.0,0.0,0.0,19.0,1.0,0.0,1.2679234741155132,,1.2679234741155132,1.2679234741155132,207.76224599836084,207.76224599836084,207.76224599836084
2017-02-01,2017-2,29,0.0,0.0,0.0,0.0,0.0,29.0,1.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0
2017-03-01,2017-3,26,0.0,0.0,0.0,0.0,0.0,26.0,1.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0
2017-04-01,2017-4,25,0.0,0.0,0.0,0.0,0.0,25.0,1.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0
2017-05-01,2017-5,14,0.0,0.0,0.0,0.0,0.0,14.0,1.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0
