,title,date,url,news
0,Application filed for Fiji's suspended chief justice tribunal hearing to be public,25 Sep 2023,https://www.rnz.co.nz/international/pacific-news/498738/application-filed-for-fiji-s-suspended-chief-justice-tribunal-hearing-to-be-public,True
1,Melanesian Update for 22 September 2023,22 Sep 2023,https://www.rnz.co.nz/international/programmes/pacificlangaugesnews/audio/2018908156/melanesian-update-for-22-september-2023,False
2,Flying Fijians overjoyed after historic win over Australia,19 Sep 2023,https://www.rnz.co.nz/international/programmes/datelinepacific/audio/2018907427/flying-fijians-overjoyed-after-historic-win-over-australia,False
3,Grace Road cult leader on Interpol red notice remains in Fiji immigration custody,18 Sep 2023,https://www.rnz.co.nz/international/pacific-news/498266/grace-road-cult-leader-on-interpol-red-notice-remains-in-fiji-immigration-custody,True
4,Melanesian Update for 18 September 2023,18 Sep 2023,https://www.rnz.co.nz/international/programmes/pacificlangaugesnews/audio/2018907425/melanesian-update-for-18-september-2023,False
5,Fijian legislators vote for coalition govt’s truth telling body to address ‘unresolved issues',15 Sep 2023,https://www.rnz.co.nz/international/pacific-news/498014/fijian-legislators-vote-for-coalition-govt-s-truth-telling-body-to-address-unresolved-issues,True
6,Melanesian Update for 14 September 2023,14 Sep 2023,https://www.rnz.co.nz/international/programmes/pacificlangaugesnews/audio/2018906943/melanesian-update-for-14-september-2023,False
7,Aiyaz Sayed-Khaiyum granted permission to travel abroad for medical reason,14 Sep 2023,https://www.rnz.co.nz/international/pacific-news/497916/aiyaz-sayed-khaiyum-granted-permission-to-travel-abroad-for-medical-reason,True
8,Fijians scammed in 'EbayShop' online pyramid scheme,13 Sep 2023,https://www.rnz.co.nz/international/pacific-news/497889/fijians-scammed-in-ebayshop-online-pyramid-scheme,True
9,Fiji lose to Wales in a thrilling rugby world cup match,12 Sep 2023,https://www.rnz.co.nz/international/programmes/datelinepacific/audio/2018906621/fiji-lose-to-wales-in-a-thrilling-rugby-world-cup-match,False
10,Melanesian Update for 11 September 2023,11 Sep 2023,https://www.rnz.co.nz/international/programmes/pacificlangaugesnews/audio/2018906462/melanesian-update-for-11-september-2023,False
11,Melanesian Update for 11 September 2023,11 Sep 2023,https://www.rnz.co.nz/international/programmes/pacificlangaugesnews/audio/2018906467/melanesian-update-for-11-september-2023,False
12,Grace Road saga continues in Fiji as sect's leader now in detention,11 Sep 2023,https://www.rnz.co.nz/international/pacific-news/497770/grace-road-saga-continues-in-fiji-as-sect-s-leader-now-in-detention,True
13,Melanesian Update for 8 September 2023,8 Sep 2023,https://www.rnz.co.nz/international/programmes/pacificlangaugesnews/audio/2018906149/melanesian-update-for-8-september-2023,False
14,"‘If I did wrong, arrest me’: doomsday sect leader challenges Fiji cabinet minister",8 Sep 2023,https://www.rnz.co.nz/international/pacific-news/497555/if-i-did-wrong-arrest-me-doomsday-sect-leader-challenges-fiji-cabinet-minister,True
