,source,target,volume,source_idx,target_idx
0,job,job,100,93,93
1,job,job hunting,20,93,52
2,job,job description,16,93,43
3,job,pngjobseek,15,93,32
4,job,letter,12,93,1
5,job,application for employment,7,93,67
6,job,workforce,7,93,7
7,job,seek,6,93,78
8,job,work,6,93,127
9,job,employment,5,93,23
10,job,cover letter,5,93,31
11,job,recruitment,4,93,64
12,job,interview,3,93,47
13,job,job vacancy,3,93,90
14,job,fellatio,3,93,9
15,job,job interview,3,93,95
16,job,ok tedi mining,2,93,21
17,job,curriculum vitae,2,93,109
18,job,human resources,2,93,39
19,job,ok tedi mine,2,93,102
20,job,career,2,93,137
21,unemployment,unemployment,100,103,103
22,unemployment,inflation,15,103,59
23,unemployment,economy,13,103,19
24,unemployment,economics,13,103,53
25,unemployment,rate,12,103,99
26,unemployment,unemployment rate,11,103,40
27,unemployment,government,10,103,37
28,unemployment,policy,6,103,124
29,unemployment,employment,6,103,23
30,unemployment,wage,5,103,22
31,unemployment,gross domestic product,4,103,96
32,unemployment,poverty,4,103,50
33,unemployment,structural unemployment,4,103,68
34,unemployment,workforce,4,103,7
35,unemployment,youth unemployment,4,103,91
36,unemployment,economic growth,4,103,98
37,unemployment,tax,3,103,130
38,unemployment,essay,3,103,110
39,unemployment,employment,3,103,23
40,unemployment,youth,3,103,15
41,unemployment,population,3,103,143
42,unemployment,monetary policy,3,103,38
43,unemployment,production,3,103,73
44,unemployment,crime,3,103,17
45,unemployment,market,3,103,3
46,hiring,recruitment,100,108,64
47,hiring,job,34,108,93
48,hiring,philippine overseas employment administration,5,108,94
49,hiring,mechanic,4,108,34
50,hiring,canada,4,108,57
51,hiring,human resources,4,108,39
52,hiring,rent,3,108,136
53,hiring,employment,3,108,23
54,hiring,company,3,108,118
55,hiring,welding,3,108,58
56,hiring,pharmacist,3,108,82
57,hiring,filipino,3,108,55
58,hiring,welder,3,108,66
59,hiring,poea,3,108,25
60,hiring,construction,3,108,26
61,hiring,cruise,3,108,69
62,hiring,corporation,2,108,12
63,hiring,alien,2,108,92
64,hiring,cost,2,108,72
65,hiring,interview,2,108,47
66,hiring,work,2,108,127
67,hiring,employment agency,2,108,29
68,hiring,heavy equipment,2,108,80
69,layoff,layoff,100,49,49
70,layoff,letter,45,49,1
71,job market,market,100,139,3
72,job market,job,59,139,93
73,job market,sales,19,139,117
74,job market,job hunting,15,139,52
75,job market,marketplace,12,139,61
76,job market,job description,12,139,43
77,job market,marketing,11,139,62
78,job market,labour economics,10,139,71
79,job market,work,8,139,127
80,job market,job evaluation,8,139,128
81,job market,research,8,139,20
82,job market,production,5,139,73
83,job market,role,5,139,131
84,job market,job vacancy,4,139,90
85,job opportunities,job,100,84,93
86,job opportunities,career,8,84,137
87,job opportunities,mining,7,84,138
88,job opportunities,employment,6,84,23
89,job opportunities,employment,5,84,23
90,job opportunities,recruitment,5,84,64
91,job opportunities,liquefied natural gas,5,84,126
92,job opportunities,natural gas in papua new guinea,5,84,119
93,job opportunities,engineering,4,84,41
94,job opportunities,job hunting,4,84,52
95,job opportunities,ok tedi mine,4,84,102
96,job opportunities,alien,4,84,92
97,job opportunities,work,4,84,127
98,job opportunities,canada,4,84,57
99,job opportunities,exxonmobil,3,84,135
100,job opportunities,png power,3,84,63
101,job opportunities,australians,3,84,106
102,job opportunities,bank of papua new guinea,3,84,33
103,job opportunities,human resources,3,84,39
104,job vacancy,job,100,90,93
105,job vacancy,job vacancy,54,90,90
106,job vacancy,lae,14,90,142
107,job vacancy,mining,9,90,138
108,job vacancy,work,8,90,127
109,job vacancy,job hunting,7,90,52
110,job vacancy,workforce,7,90,7
111,job vacancy,application for employment,7,90,67
112,job vacancy,recruitment,7,90,64
113,job vacancy,cover letter,6,90,31
114,job vacancy,pngjobseek,5,90,32
115,job vacancy,human resources,4,90,39
116,job vacancy,ok tedi mining,4,90,21
117,job vacancy,career,4,90,137
118,job vacancy,current,3,90,111
119,job vacancy,advertising,3,90,134
120,job vacancy,ok tedi mine,3,90,102
121,job vacancy,seek,3,90,78
122,job vacancy,lihir island,3,90,121
123,job vacancies,job,100,83,93
124,job vacancies,mining,13,83,138
125,job vacancies,work,12,83,127
126,job vacancies,lae,11,83,142
127,job vacancies,workforce,8,83,7
128,job vacancies,ok tedi mining,7,83,21
129,job vacancies,ok tedi mine,6,83,102
130,job vacancies,recruitment,6,83,64
131,job vacancies,pngjobseek,6,83,32
132,job vacancies,job hunting,5,83,52
133,job vacancies,lihir island,5,83,121
134,job vacancies,job vacancy,4,83,90
135,job vacancies,current,4,83,111
136,job vacancies,newcrest mining,3,83,65
137,job vacancies,oil search,3,83,30
138,job vacancies,gold mining,3,83,46
139,job vacancies,human resources,3,83,39
140,job vacancies,porgera gold mining,2,83,115
141,job vacancies,career,2,83,137
142,job vacancies,seek,2,83,78
143,job training,training,100,107,74
144,job training,job,62,107,93
145,job training,on-the-job training,25,107,97
146,job training,job description,18,107,43
147,job training,letter,13,107,1
148,job training,course,9,107,122
149,job training,application for employment,8,107,67
150,job training,management,8,107,113
151,job training,employment,8,107,23
152,job training,apprenticeship,7,107,16
153,job training,human resource development,6,107,5
154,job training,cover letter,5,107,31
155,job training,human resources,5,107,39
156,job training,scholarship,5,107,89
157,job training,college,5,107,104
158,job training,job hunting,5,107,52
159,job training,work,5,107,127
160,job training,recruitment,4,107,64
161,job training,institute,4,107,54
162,job training,company,4,107,118
163,job training,computers and information technology,4,107,141
164,job training,organization,4,107,123
165,job training,skill,4,107,10
166,job training,letter of intent,3,107,100
167,job application,application for employment,100,112,67
168,job application,letter,64,112,1
169,job application,job,46,112,93
170,job application,cover letter,40,112,31
171,job application,employment,23,112,23
172,job application,writing,21,112,60
173,job application,form,20,112,101
174,job application,curriculum vitae,13,112,109
175,job application,computer application,13,112,28
176,job application,recruitment,6,112,64
177,job application,résumé,5,112,56
178,job application,job hunting,5,112,52
179,job application,mining,5,112,138
180,job application,work,4,112,127
181,job application,police,4,112,129
182,job application,file format,4,112,133
183,job application,experience,4,112,14
184,job application,letter of intent,4,112,100
185,job application,address,4,112,125
186,job application,job description,4,112,43
187,job application,job vacancy,3,112,90
188,job application,ok tedi mine,3,112,102
189,job application,pngjobseek,3,112,32
190,job application,part-time job,3,112,44
191,job application,ok tedi mining,3,112,21
192,unemployment rate,unemployment,100,40,103
193,unemployment rate,rate,49,40,99
194,unemployment rate,unemployment rate,48,40,40
195,unemployment rate,inflation,23,40,59
196,unemployment rate,government,14,40,37
197,unemployment rate,economy,13,40,19
198,unemployment rate,gross domestic product,11,40,96
199,unemployment rate,interest,10,40,88
200,unemployment rate,economics,10,40,53
201,unemployment rate,policy,9,40,124
202,unemployment rate,interest rate,9,40,24
203,unemployment rate,population,8,40,143
204,unemployment rate,employment,8,40,23
205,unemployment rate,tax,8,40,130
206,unemployment rate,employment,7,40,23
207,unemployment rate,economic growth,7,40,98
208,unemployment rate,inflation rate,6,40,45
209,unemployment rate,formula,6,40,27
210,unemployment rate,workforce,6,40,7
211,unemployment rate,agriculture,6,40,140
212,unemployment rate,exchange rate,5,40,86
213,unemployment rate,calculation,5,40,13
214,unemployment rate,cut,5,40,8
215,unemployment rate,literacy in india,5,40,70
