,date,ym,post_courier_news_count,post_courier_epu_count,post_courier_ratio,papua_new_guinea_abc_news_count,papua_new_guinea_abc_epu_count,papua_new_guinea_abc_ratio,png_business_news_count,png_business_epu_count,png_business_ratio,papua_new_guinea_rnz_news_count,papua_new_guinea_rnz_epu_count,papua_new_guinea_rnz_ratio,news_total,post_courier_weights,papua_new_guinea_abc_weights,png_business_weights,papua_new_guinea_rnz_weights,post_courier_z_score,papua_new_guinea_abc_z_score,png_business_z_score,papua_new_guinea_rnz_z_score,z_score_unweighted,z_score_weighted,epu_weighted,epu_unweighted
31,2017-08-01,2017-8,1.0,0.0,0.0,23.0,1.0,0.043478260869565216,0.0,0.0,0.0,120.0,1.0,0.008333333333333333,144.0,0.006944444444444444,0.1597222222222222,0.0,0.8333333333333334,0.0,0.49810631266877137,0.0,0.4485169480500792,0.23665581517971263,0.4533227705374392,68.60828121690786,40.50767396908853
32,2017-09-01,2017-9,0.0,0.0,0.0,17.0,1.0,0.058823529411764705,0.0,0.0,0.0,76.0,1.0,0.013157894736842105,93.0,0.0,0.1827956989247312,0.0,0.8172043010752689,0.0,0.6739085406695142,0.0,0.7081846548159144,0.34552329887135713,0.7019191285740993,106.23217736811537,59.14219825435631
33,2017-10-01,2017-10,0.0,0.0,0.0,23.0,0.0,0.0,0.0,0.0,0.0,75.0,1.0,0.013333333333333334,98.0,0.0,0.23469387755102042,0.0,0.7653061224489796,0.0,0.0,0.0,0.7176271168801267,0.17940677922003168,0.5492044261837704,83.11952137880685,30.708526283077305
34,2017-11-01,2017-11,0.0,0.0,0.0,36.0,3.0,0.08333333333333333,0.0,0.0,0.0,95.0,1.0,0.010526315789473684,131.0,0.0,0.2748091603053435,0.0,0.7251908396946565,0.0,0.9547037659484785,0.0,0.5665477238527316,0.38031287245030254,0.6732165598485094,101.88817782792404,65.09702637886015
35,2017-12-01,2017-12,6.0,0.0,0.0,16.0,1.0,0.0625,0.0,0.0,0.0,53.0,0.0,0.0,75.0,0.08,0.21333333333333335,0.0,0.7066666666666667,0.0,0.7160278244613589,0.0,0.0,0.17900695611533973,0.15275260255175657,23.11839200148879,30.6400897481125
36,2018-01-01,2018-1,3.0,0.0,0.0,26.0,1.0,0.038461538461538464,0.0,0.0,0.0,62.0,1.0,0.016129032258064516,91.0,0.03296703296703297,0.2857142857142857,0.0,0.6813186813186813,0.0,0.44063250736083626,0.0,0.8680973188066048,0.3271824565418603,0.7173459226086949,108.56695049708495,56.0028506712955
37,2018-02-01,2018-2,60.0,0.0,0.0,17.0,0.0,0.0,0.0,0.0,0.0,48.0,0.0,0.0,125.0,0.48,0.136,0.0,0.384,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
38,2018-03-01,2018-3,126.0,0.0,0.0,18.0,1.0,0.05555555555555555,0.0,0.0,0.0,74.0,1.0,0.013513513513513514,218.0,0.5779816513761468,0.08256880733944955,0.0,0.3394495412844037,0.0,0.6364691772989857,0.0,0.7273247806217501,0.34094848948018397,0.2994425640247305,45.31923162951712,58.359141699639316
39,2018-04-01,2018-4,113.0,2.0,0.017699115044247787,21.0,1.0,0.047619047619047616,0.0,0.0,0.0,74.0,1.0,0.013513513513513514,208.0,0.5432692307692307,0.10096153846153846,0.0,0.3557692307692308,1.3408808086966801,0.5455450091134163,0.0,0.7273247806217501,0.6534376496079617,1.0422981266351734,157.74694683715717,111.84698440368561
40,2018-05-01,2018-5,75.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,84.0,1.0,0.011904761904761904,173.0,0.43352601156069365,0.08092485549132948,0.0,0.48554913294797686,0.0,0.0,0.0,0.6407384972143988,0.1601846243035997,0.311110021768841,47.08504679261891,27.418327038461875
