date,ym,fiji_rnz_body_count,fiji_rnz_epu_count,fiji_rnz_ratio,fiji_sun_body_count,fiji_sun_epu_count,fiji_sun_ratio,fiji_abc_au_body_count,fiji_abc_au_epu_count,fiji_abc_au_ratio,news_total,fiji_rnz_weights,fiji_sun_weights,fiji_abc_au_weights,fiji_rnz_z_score,fiji_sun_z_score,fiji_abc_au_z_score,z_score_unweighted,z_score_weighted,epu_weighted,epu_unweighted,epu_job
2015-01-01,2015-1,5,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,6.0,0.8333333333333334,0.0,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-02-01,2015-2,55,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,61.0,0.9016393442622951,0.0,0.09836065573770492,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-03-01,2015-3,99,0.0,0.0,1.0,0.0,0.0,12.0,0.0,0.0,112.0,0.8839285714285714,0.008928571428571428,0.10714285714285714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-04-01,2015-4,123,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,127.0,0.968503937007874,0.0,0.031496062992125984,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-05-01,2015-5,125,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,132.0,0.946969696969697,0.0,0.05303030303030303,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-06-01,2015-6,99,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,106.0,0.9339622641509434,0.0,0.0660377358490566,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-07-01,2015-7,95,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,106.0,0.8962264150943396,0.0,0.10377358490566038,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-08-01,2015-8,106,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,115.0,0.9217391304347826,0.0,0.0782608695652174,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-09-01,2015-9,87,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,95.0,0.9157894736842105,0.0,0.08421052631578947,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-10-01,2015-10,119,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,125.0,0.952,0.0,0.048,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-11-01,2015-11,118,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,122.0,0.9672131147540983,0.0,0.03278688524590164,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-12-01,2015-12,106,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,109.0,0.9724770642201835,0.0,0.027522935779816515,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-01-01,2016-1,91,0.0,0.0,9.0,0.0,0.0,2.0,0.0,0.0,102.0,0.8921568627450981,0.08823529411764706,0.0196078431372549,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-02-01,2016-2,211,0.0,0.0,0.0,0.0,0.0,25.0,0.0,0.0,236.0,0.8940677966101694,0.0,0.1059322033898305,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-03-01,2016-3,170,0.0,0.0,0.0,0.0,0.0,26.0,0.0,0.0,196.0,0.8673469387755102,0.0,0.1326530612244898,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-04-01,2016-4,121,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,129.0,0.937984496124031,0.0,0.06201550387596899,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-05-01,2016-5,86,0.0,0.0,1.0,0.0,0.0,18.0,0.0,0.0,105.0,0.819047619047619,0.009523809523809525,0.17142857142857143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-06-01,2016-6,95,0.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,109.0,0.8715596330275229,0.0,0.12844036697247707,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-07-01,2016-7,61,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,69.0,0.8840579710144928,0.0,0.11594202898550725,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-08-01,2016-8,90,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,96.0,0.9375,0.0,0.0625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-09-01,2016-9,148,1.0,0.006756756756756757,0.0,0.0,0.0,7.0,0.0,0.0,155.0,0.9548387096774194,0.0,0.04516129032258064,1.052891531800028,0.0,0.0,0.3509638439333427,1.0053415916542203,297.73577261360174,124.67436502187448,297.73577261360174
2016-10-01,2016-10,122,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,124.0,0.9838709677419355,0.0,0.016129032258064516,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-11-01,2016-11,115,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,119.0,0.9663865546218487,0.0,0.03361344537815126,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-12-01,2016-12,125,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,129.0,0.9689922480620154,0.0,0.031007751937984496,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-01-01,2017-1,75,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,77.0,0.974025974025974,0.0,0.025974025974025976,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
