date,ym,fiji_rnz_body_count,fiji_rnz_epu_count,fiji_rnz_ratio,fiji_sun_body_count,fiji_sun_epu_count,fiji_sun_ratio,fiji_abc_au_body_count,fiji_abc_au_epu_count,fiji_abc_au_ratio,news_total,fiji_rnz_weights,fiji_sun_weights,fiji_abc_au_weights,fiji_rnz_z_score,fiji_sun_z_score,fiji_abc_au_z_score,z_score_unweighted,z_score_weighted,epu_weighted,epu_unweighted,epu_inflation
2016-12-01,2016-12,125,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,129.0,0.9689922480620154,0.0,0.031007751937984496,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-01-01,2017-1,75,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,77.0,0.974025974025974,0.0,0.025974025974025976,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-02-01,2017-2,92,0.0,0.0,1.0,0.0,0.0,5.0,0.0,0.0,98.0,0.9387755102040817,0.01020408163265306,0.05102040816326531,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-03-01,2017-3,101,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,102.0,0.9901960784313726,0.0,0.00980392156862745,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-04-01,2017-4,86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,86.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-05-01,2017-5,98,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,99.0,0.98989898989899,0.0,0.010101010101010102,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-06-01,2017-6,102,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,108.0,0.9444444444444444,0.0,0.05555555555555555,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-07-01,2017-7,84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,84.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-08-01,2017-8,74,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,79.0,0.9367088607594937,0.0,0.06329113924050633,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-09-01,2017-9,73,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,75.0,0.9733333333333334,0.0,0.02666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-10-01,2017-10,67,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,73.0,0.9178082191780822,0.0,0.0821917808219178,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-11-01,2017-11,78,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,81.0,0.9629629629629629,0.0,0.037037037037037035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-12-01,2017-12,71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-01-01,2018-1,67,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,72.0,0.9305555555555556,0.0,0.06944444444444445,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-02-01,2018-2,87,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,92.0,0.9456521739130435,0.0,0.05434782608695652,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-03-01,2018-3,66,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.5,68.0,0.9705882352941176,0.0,0.029411764705882353,0.0,0.0,4.9087043772059245,1.636234792401975,0.14437365815311543,28.76521327502977,389.08750280450215,28.76521327502977
2018-04-01,2018-4,119,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,124.0,0.9596774193548387,0.0,0.04032258064516129,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-05-01,2018-5,93,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,96.0,0.96875,0.0,0.03125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-06-01,2018-6,86,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,90.0,0.9555555555555556,0.0,0.044444444444444446,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-07-01,2018-7,53,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,59.0,0.8983050847457628,0.0,0.1016949152542373,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-08-01,2018-8,96,1.0,0.010416666666666666,0.0,0.0,0.0,3.0,0.0,0.0,99.0,0.9696969696969697,0.0,0.030303030303030304,0.9377887285824951,0.0,0.0,0.3125962428608317,0.9093708883224195,181.18435096349472,74.33364214327894,181.18435096349472
2018-09-01,2018-9,70,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,76.0,0.9210526315789473,0.0,0.07894736842105263,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-10-01,2018-10,87,1.0,0.011494252873563218,0.0,0.0,0.0,7.0,0.0,0.0,94.0,0.925531914893617,0.0,0.07446808510638298,1.034801355677236,0.0,0.0,0.3449337852257453,0.957741680254463,190.82181644027634,82.02332926154916,190.82181644027634
2018-11-01,2018-11,106,0.0,0.0,0.0,0.0,0.0,6.0,1.0,0.16666666666666666,112.0,0.9464285714285714,0.0,0.05357142857142857,0.0,0.0,1.6362347924019747,0.5454115974673249,0.08765543530724863,17.464593774125213,129.69583426816737,17.464593774125213
2018-12-01,2018-12,62,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,64.0,0.96875,0.015625,0.015625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-01-01,2019-1,65,0.0,0.0,55.0,1.0,0.01818181818181818,10.0,0.0,0.0,130.0,0.5,0.4230769230769231,0.07692307692307693,0.0,3.9093949826308063,0.0,1.3031316608769354,1.6539748003438026,329.54029489892514,309.87743697331626,329.54029489892514
2019-02-01,2019-2,70,0.0,0.0,392.0,0.0,0.0,3.0,0.0,0.0,465.0,0.15053763440860216,0.843010752688172,0.0064516129032258064,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-03-01,2019-3,87,0.0,0.0,462.0,1.0,0.0021645021645021645,3.0,0.0,0.0,552.0,0.15760869565217392,0.8369565217391305,0.005434782608695652,0.0,0.46540416459890555,0.0,0.1551347215329685,0.38952305080560573,77.60912742184831,36.89017106825194,77.60912742184831
2019-04-01,2019-4,98,0.0,0.0,338.0,2.0,0.005917159763313609,3.0,0.0,0.0,439.0,0.22323462414578588,0.7699316628701595,0.00683371298405467,0.0,1.2722883079567713,0.0,0.4240961026522571,0.9795750525954184,195.17192864173242,100.84768658894907,195.17192864173242
2019-05-01,2019-5,97,1.0,0.010309278350515464,246.0,0.0,0.0,6.0,0.0,0.0,349.0,0.27793696275071633,0.7048710601719198,0.017191977077363897,0.9281208035455621,0.0,0.0,0.30937360118185403,0.2579590772032078,51.39613394093403,73.56731593561625,51.39613394093403
2019-06-01,2019-6,89,4.0,0.0449438202247191,200.0,2.0,0.01,2.0,0.0,0.0,291.0,0.30584192439862545,0.6872852233676976,0.006872852233676976,4.046189570513237,2.150167240446944,0.0,2.06545227032006,2.7152725768558996,540.9947754476441,491.15302385239255,540.9947754476441
2019-07-01,2019-7,87,1.0,0.011494252873563218,176.0,1.0,0.005681818181818182,3.0,0.0,0.0,266.0,0.32706766917293234,0.6616541353383458,0.011278195488721804,1.034801355677236,1.2216859320721272,0.0,0.7521624292497876,1.1467836164985485,228.48680106107614,178.86002831571048,228.48680106107614
2019-08-01,2019-8,90,1.0,0.011111111111111112,190.0,0.0,0.0,15.0,2.0,0.13333333333333333,295.0,0.3050847457627119,0.6440677966101694,0.05084745762711865,1.0003079771546615,0.0,1.30898783392158,0.7697652703587471,0.37173740831438384,74.06549068064416,183.04588570069808,74.06549068064416
2019-09-01,2019-9,101,0.0,0.0,215.0,1.0,0.004651162790697674,6.0,0.0,0.0,322.0,0.3136645962732919,0.6677018633540373,0.018633540372670808,0.0,1.0000777862543924,0.0,0.33335926208479744,0.6677538013810383,133.04421843745425,79.27097224898787,133.04421843745425
2019-10-01,2019-10,75,0.0,0.0,235.0,0.0,0.0,4.0,0.0,0.0,314.0,0.23885350318471338,0.7484076433121019,0.012738853503184714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-11-01,2019-11,80,0.0,0.0,178.0,0.0,0.0,3.0,0.0,0.0,261.0,0.3065134099616858,0.6819923371647509,0.011494252873563218,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-12-01,2019-12,56,0.0,0.0,270.0,0.0,0.0,5.0,0.0,0.0,331.0,0.1691842900302115,0.8157099697885196,0.015105740181268883,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-01,2020-1,50,0.0,0.0,288.0,0.0,0.0,2.0,0.0,0.0,340.0,0.14705882352941177,0.8470588235294118,0.0058823529411764705,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-01,2020-2,79,0.0,0.0,196.0,2.0,0.01020408163265306,0.0,0.0,0.0,275.0,0.2872727272727273,0.7127272727272728,0.0,0.0,2.1940482045376974,0.0,0.7313494015125658,1.5637579930523227,311.5653697226202,173.91080646461626,311.5653697226202
2020-03-01,2020-3,64,2.0,0.03125,274.0,7.0,0.025547445255474453,3.0,0.0,0.0,341.0,0.187683284457478,0.8035190615835777,0.008797653958944282,2.813366185747485,5.4931279865432865,0.0,2.768831390763591,4.941854851028444,984.6221989700699,658.4126535638761,984.6221989700699
2020-04-01,2020-4,83,3.0,0.03614457831325301,306.0,2.0,0.006535947712418301,4.0,2.0,0.5,393.0,0.21119592875318066,0.7786259541984732,0.010178117048346057,3.2540139015874527,1.4053380656515972,4.9087043772059245,3.1893521148149913,1.8314285481678652,364.89643235440843,758.4101350735493,364.89643235440843
2020-05-01,2020-5,65,1.0,0.015384615384615385,196.0,1.0,0.00510204081632653,3.0,1.0,0.3333333333333333,264.0,0.24621212121212122,0.7424242424242424,0.011363636363636364,1.385041814521839,1.0970241022688487,3.2724695848039493,1.9181785005315455,1.1926585255417643,237.62698327631924,456.13214324179324,237.62698327631924
2020-06-01,2020-6,78,1.0,0.01282051282051282,209.0,1.0,0.004784688995215311,7.0,1.0,0.14285714285714285,294.0,0.2653061224489796,0.7108843537414966,0.023809523809523808,1.1542015121015323,1.0287881533238965,1.4024869649159784,1.195158876780469,1.070958675996686,213.37933192159272,284.2021114454485,213.37933192159272
2020-07-01,2020-7,79,4.0,0.05063291139240506,207.0,2.0,0.00966183574879227,4.0,0.0,0.0,290.0,0.27241379310344827,0.7137931034482758,0.013793103448275862,4.558365465514913,2.0774562709632303,0.0,2.2119405788260478,2.7246355857416096,542.8602746733256,525.9871261531874,542.8602746733256
2020-08-01,2020-8,80,2.0,0.025,184.0,1.0,0.005434782608695652,3.0,0.0,0.0,267.0,0.299625468164794,0.6891385767790262,0.011235955056179775,2.2506929485979885,1.1685691524168171,0.0,1.1397540336716019,1.4796710109832714,294.8117596540533,271.0271489348064,294.8117596540533
2020-09-01,2020-9,77,3.0,0.03896103896103896,162.0,2.0,0.012345679012345678,1.0,0.0,0.0,240.0,0.32083333333333336,0.675,0.004166666666666667,3.507573426386475,2.6545274573419055,0.0,2.05403362790946,2.91715250800478,581.2176204578269,488.43773440763266,581.2176204578269
2020-10-01,2020-10,83,1.0,0.012048192771084338,165.0,1.0,0.006060606060606061,5.0,1.0,0.2,253.0,0.32806324110671936,0.6521739130434783,0.019762845849802372,1.084671300529151,1.3031316608769354,1.9634817508823699,1.4504282374294855,1.2445132440435802,247.9585912448549,344.9037409051325,247.9585912448549
2020-11-01,2020-11,85,1.0,0.011764705882352941,192.0,2.0,0.010416666666666666,1.0,0.0,0.0,278.0,0.3057553956834532,0.6906474820143885,0.0035971223021582736,1.0591496228696415,2.239757542132233,0.0,1.0996357216672914,1.87072361882485,372.72563819822494,261.4872382160186,372.72563819822494
2020-12-01,2020-12,66,0.0,0.0,402.0,3.0,0.007462686567164179,7.0,0.0,0.0,475.0,0.13894736842105262,0.8463157894736842,0.014736842105263158,0.0,1.6046024182439877,0.0,0.534867472747996,1.3580003623875434,270.5699263380649,127.18850025024176,270.5699263380649
2021-01-01,2021-1,20,0.0,0.0,304.0,2.0,0.006578947368421052,1.0,0.0,0.0,325.0,0.06153846153846154,0.9353846153846154,0.003076923076923077,0.0,1.4145837108203576,0.0,0.47152790360678587,1.323179840275042,263.6322359191401,112.12670416797629,263.6322359191401
2021-02-01,2021-2,44,0.0,0.0,214.0,1.0,0.004672897196261682,6.0,0.0,0.0,264.0,0.16666666666666666,0.8106060606060606,0.022727272727272728,0.0,1.004751046937824,0.0,0.33491701564594134,0.8144572880480846,162.27363006386463,79.64139735295511,162.27363006386463
2021-03-01,2021-3,71,4.0,0.056338028169014086,242.0,2.0,0.008264462809917356,3.0,0.0,0.0,316.0,0.22468354430379747,0.7658227848101266,0.00949367088607595,5.071984109516594,1.7769977193776394,0.0,2.2829939429647443,2.500456708433756,498.1945558710901,542.8832196398688,498.1945558710901
2021-04-01,2021-4,59,0.0,0.0,264.0,3.0,0.011363636363636364,5.0,0.0,0.0,328.0,0.1798780487804878,0.8048780487804879,0.01524390243902439,0.0,2.4433718641442543,0.0,0.8144572880480848,1.9666163784575708,391.8314482029904,193.6733981083227,391.8314482029904
2021-05-01,2021-5,73,0.0,0.0,201.0,2.0,0.009950248756218905,2.0,0.0,0.0,276.0,0.2644927536231884,0.7282608695652174,0.007246376811594203,0.0,2.139469890991984,0.0,0.7131566303306612,1.558092203222423,310.43650968739325,169.58466700032233,310.43650968739325
2021-06-01,2021-6,94,1.0,0.010638297872340425,189.0,3.0,0.015873015873015872,11.0,2.0,0.18181818181818182,294.0,0.3197278911564626,0.6428571428571429,0.03741496598639456,0.957741680254463,3.412963873725307,1.7849834098930635,2.0518963212909447,2.5670500258055315,511.4627032699688,487.9294948207547,511.4627032699688
2021-07-01,2021-7,127,1.0,0.007874015748031496,135.0,0.0,0.0,11.0,1.0,0.09090909090909091,273.0,0.4652014652014652,0.4945054945054945,0.040293040293040296,0.7088796688497601,0.0,0.8924917049465317,0.5337904579320972,0.36573306482905266,72.86917673292308,126.93239213718402,72.86917673292308
2021-08-01,2021-8,89,2.0,0.02247191011235955,138.0,0.0,0.0,3.0,0.0,0.0,230.0,0.3869565217391304,0.6,0.013043478260869565,2.0230947852566183,0.0,0.0,0.6743649284188727,0.782849721251474,155.9760934381389,160.36021675853428,155.9760934381389
2021-09-01,2021-9,69,1.0,0.014492753623188406,244.0,0.0,0.0,2.0,1.0,0.5,315.0,0.21904761904761905,0.7746031746031746,0.006349206349206349,1.3047495354191236,0.0,4.9087043772059245,2.071151304208349,0.316968656185179,63.153286501866674,492.5082223081945,63.153286501866674
2021-10-01,2021-10,41,0.0,0.0,227.0,4.0,0.01762114537444934,8.0,2.0,0.25,276.0,0.14855072463768115,0.822463768115942,0.028985507246376812,0.0,3.788840952329416,2.4543521886029622,2.0810643803107927,3.187325049592758,635.0471824378448,494.8654964865223,635.0471824378448
2021-11-01,2021-11,55,1.0,0.01818181818181818,227.0,2.0,0.00881057268722467,8.0,4.0,0.5,290.0,0.1896551724137931,0.7827586206896552,0.027586206896551724,1.636867598980355,1.894420476164708,4.9087043772059245,2.813330817450329,1.928726900175709,384.28229458591244,668.9943689058155,384.28229458591244
2021-12-01,2021-12,44,1.0,0.022727272727272728,226.0,0.0,0.0,4.0,2.0,0.5,274.0,0.16058394160583941,0.8248175182481752,0.014598540145985401,2.046084498725444,0.0,4.9087043772059245,2.3182629586437895,0.40022823157935483,79.74204288609498,551.2699947534744,79.74204288609498
2022-01-01,2022-1,35,1.0,0.02857142857142857,221.0,5.0,0.02262443438914027,5.0,0.0,0.0,261.0,0.13409961685823754,0.8467432950191571,0.019157088122605363,2.572220512683415,4.864631765717067,0.0,2.478950759466827,4.464028115583875,889.4193196539744,589.4806570885552,889.4193196539744
2022-02-01,2022-2,40,0.0,0.0,216.0,2.0,0.009259259259259259,9.0,1.0,0.1111111111111111,265.0,0.1509433962264151,0.8150943396226416,0.033962264150943396,0.0,1.9908955930064292,1.0908231949346499,1.0272395959803597,1.6598145541275495,330.7038157600852,244.27184352630044,330.7038157600852
2022-03-01,2022-3,31,0.0,0.0,337.0,2.0,0.005934718100890208,2.0,0.0,0.0,370.0,0.08378378378378379,0.9108108108108108,0.005405405405405406,0.0,1.2760636441821624,0.0,0.4253545480607208,1.1622525624037534,231.56885587492042,101.14693788446526,231.56885587492042
2022-04-01,2022-4,34,0.0,0.0,308.0,2.0,0.006493506493506494,9.0,0.0,0.0,351.0,0.09686609686609686,0.8774928774928775,0.02564102564102564,0.0,1.3962124937967166,0.0,0.46540416459890555,1.2251665187731873,244.103922147352,110.6705132047558,244.103922147352
2022-05-01,2022-5,38,0.0,0.0,256.0,0.0,0.0,20.0,1.0,0.05,314.0,0.12101910828025478,0.8152866242038217,0.06369426751592357,0.0,0.0,0.49087043772059247,0.1636234792401975,0.031265632975833915,6.229409244273963,38.908750280450214,6.229409244273963
2022-06-01,2022-6,21,0.0,0.0,206.0,2.0,0.009708737864077669,12.0,2.0,0.16666666666666666,239.0,0.08786610878661087,0.8619246861924686,0.0502092050209205,0.0,2.0875410101426635,1.6362347924019747,1.2412586008482127,1.8814571782351983,374.864207862446,295.1643685743071,374.864207862446
2022-07-01,2022-7,23,1.0,0.043478260869565216,299.0,1.0,0.0033444816053511705,16.0,1.0,0.0625,338.0,0.06804733727810651,0.8846153846153846,0.047337278106508875,3.9142486062573707,0.7191194784103491,0.6135880471507406,1.74898537727282,0.9315439371095435,185.60214078387062,415.8989626945243,185.60214078387062
2022-08-01,2022-8,20,0.0,0.0,265.0,3.0,0.011320754716981131,10.0,0.0,0.0,295.0,0.06779661016949153,0.8983050847457628,0.03389830508474576,0.0,2.434151592958804,0.0,0.8113838643196013,2.1866107529968914,435.6634407138332,192.94255509659314,435.6634407138332
2022-09-01,2022-9,23,1.0,0.043478260869565216,299.0,1.0,0.0033444816053511705,9.0,1.0,0.1111111111111111,331.0,0.06948640483383686,0.9033232628398792,0.027190332326283987,3.9142486062573707,0.7191194784103491,1.0908231949346499,1.9080637598674566,0.9512442620635219,189.52726158594643,453.7269143560731,189.52726158594643
2022-10-01,2022-10,36,0.0,0.0,271.0,1.0,0.0036900369003690036,7.0,0.0,0.0,314.0,0.11464968152866242,0.8630573248407644,0.022292993630573247,0.0,0.7934196459213814,0.0,0.26447321530712714,0.6847666370850138,136.43388005369513,62.8902547362819,136.43388005369513
2022-11-01,2022-11,28,0.0,0.0,311.0,0.0,0.0,7.0,0.0,0.0,346.0,0.08092485549132948,0.8988439306358381,0.02023121387283237,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-12-01,2022-12,31,0.0,0.0,409.0,0.0,0.0,14.0,0.0,0.0,454.0,0.06828193832599119,0.9008810572687225,0.030837004405286344,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-01,2023-1,18,0.0,0.0,407.0,0.0,0.0,6.0,1.0,0.16666666666666666,431.0,0.04176334106728538,0.9443155452436195,0.013921113689095127,0.0,0.0,1.6362347924019747,0.5454115974673249,0.022778210567080855,4.538363115317922,129.69583426816737,4.538363115317922
2023-02-01,2023-2,41,0.0,0.0,395.0,0.0,0.0,7.0,0.0,0.0,443.0,0.09255079006772009,0.891647855530474,0.01580135440180587,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-03-01,2023-3,29,0.0,0.0,409.0,0.0,0.0,13.0,0.0,0.0,451.0,0.06430155210643015,0.9068736141906873,0.028824833702882482,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-04-01,2023-4,23,0.0,0.0,410.0,0.0,0.0,12.0,2.0,0.16666666666666666,445.0,0.051685393258426963,0.9213483146067416,0.02696629213483146,0.0,0.0,1.6362347924019747,0.5454115974673249,0.044123185413086956,8.791166304278761,129.69583426816737,8.791166304278761
2023-05-01,2023-5,35,2.0,0.05714285714285714,459.0,0.0,0.0,10.0,0.0,0.0,504.0,0.06944444444444445,0.9107142857142857,0.01984126984126984,5.14444102536683,0.0,0.0,1.7148136751222767,0.35725284898380766,71.17956644994435,407.7731226145587,71.17956644994435
2023-06-01,2023-6,42,1.0,0.023809523809523808,164.0,1.0,0.006097560975609756,4.0,0.0,0.0,210.0,0.2,0.780952380952381,0.01904761904761905,2.1435170939028456,1.3110775856383803,0.0,1.1515315598470754,1.4525925808981615,289.4166146773631,273.8277789361417,289.4166146773631
2023-07-01,2023-7,29,0.0,0.0,196.0,0.0,0.0,6.0,0.0,0.0,231.0,0.12554112554112554,0.8484848484848485,0.025974025974025976,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-08-01,2023-8,25,1.0,0.04,177.0,1.0,0.005649717514124294,6.0,1.0,0.16666666666666666,208.0,0.1201923076923077,0.8509615384615384,0.028846153846153848,3.601108717756781,1.2147837516649398,1.6362347924019747,2.1507090872745653,1.5137588978030083,301.6034787737898,511.4266191578635,301.6034787737898
2023-09-01,2023-9,27,0.0,0.0,161.0,1.0,0.006211180124223602,9.0,0.0,0.0,197.0,0.13705583756345177,0.817258883248731,0.04568527918781726,0.0,1.3355076027620767,0.0,0.44516920092069223,1.0914554520035247,217.4631387657882,105.85875176107076,217.4631387657882
2023-10-01,2023-10,30,0.0,0.0,154.0,1.0,0.006493506493506494,11.0,1.0,0.09090909090909091,195.0,0.15384615384615385,0.7897435897435897,0.05641025641025641,0.0,1.3962124937967166,0.8924917049465317,0.7629013995810828,1.1529955528159292,229.72447610031946,181.41369553284713,229.72447610031946
