,Year,Period,Air,Yacht,Ship,Total
0,2010,January,3158,4,646,3808
1,2010,December,6493,13,0,6506
2,2010,November,3569,126,1386,5081
3,2010,October,3467,352,0,3819
4,2010,August,4216,246,0,4462
5,2010,July,4900,238,0,5138
6,2010,September,4576,188,5275,10039
7,2010,May,3670,177,5303,9150
8,2010,April,2818,30,2802,5650
9,2010,March,3134,5,853,3992
10,2010,February,2379,5,0,2384
11,2010,June,4701,275,0,4976
12,2011,September,3561,242,0,3803
13,2011,December,7249,19,2464,9732
14,2011,November,2996,112,0,3108
15,2011,October,3155,257,4387,7799
16,2011,August,4486,419,0,4905
17,2011,May,3812,250,0,4062
18,2011,July,5280,239,2376,7895
19,2011,April,3520,37,3038,6595
20,2011,March,2477,16,1407,3900
21,2011,February,2302,14,6847,9163
22,2011,June,4323,242,0,4565
23,2011,January,2844,2,,2846
24,2012,January,3043,0,0,3043
25,2012,February,2241,4,1220,3465
26,2012,April,3022,44,3063,6129
27,2012,May,3497,302,0,3799
28,2012,June,4892,182,0,5074
29,2012,July,5789,235,0,6024
30,2012,August,4286,254,0,4540
31,2012,September,4156,351,0,4507
32,2012,October,3909,315,1817,6041
33,2012,December,5941,28,374,6343
34,2012,March,2629,15,865,3509
35,2012,November,4052,86,618,4756
36,2013,January,2927,9,922,3858
37,2013,December,6429,13,0,6442
38,2013,November,3395,121,715,4231
39,2013,October,4037,403,0,4440
40,2013,September,4068,339,1954,6361
41,2013,August,4753,305,0,5058
42,2013,July,5415,282,0,5697
43,2013,June,4693,182,700,5575
44,2013,May,3965,328,0,4293
45,2013,April,3088,50,3205,6343
46,2013,March,2797,11,626,3434
47,2013,February,2621,2,1310,3933
48,2013,,47457,1816,7957,57230
49,2014,Oct,4102,307,1760,6169
50,2014,Nov,3488,81,199,3768
51,2014,Dec,7301,8,303,7612
52,2014,Sep,4779,209,308,5296
53,2014,December,6429,13,0,6442
54,2014,September,4779,209,308,5296
55,2014,January,3259,3,1446,4708
56,2014,February,2441,24,3677,6142
57,2014,March,2484,10,1817,4311
58,2014,April,3363,57,2224,5644
59,2014,May,4189,243,260,4692
60,2014,June,4463,256,1739,6458
61,2014,July,5477,233,0,5710
62,2014,Aug,5090,201,0,5291
63,2014,October,4102,307,1760,6169
64,2014,November,3488,81,199,3768
65,2014,December,7301,8,303,7612
66,2015,September,4915,282,1953,7150
67,2015,October,4045,203,3460,7708
68,2015,June,5898,155,1757,7810
69,2015,December,8444,0,100,8544
70,2015,August,4809,231,0,5040
71,2015,November,3550,96,291,3937
72,2015,July,5961,176,0,6137
73,2015,February,2381,23,2373,4777
74,2015,May,3820,203,555,4578
75,2015,April,3642,31,1940,5613
76,2015,March,2944,6,2011,4961
77,2015,January,3343,20,2935,6298
78,2016,July,6103,187,0,6290
79,2016,September,5185,359,0,5544
80,2016,August,5880,314,1394,7588
81,2016,December,8108,12,5155,13275
82,2016,June,6763,259,1784,8806
83,2016,March,3315,4,1411,4730
84,2016,April,3537,8,3690,7235
85,2016,February,3259,0,5474,8733
86,2016,January,3581,0,0,3581
87,2016,November,5880,314,1394,7588
88,2016,May,5220,245,0,5465
89,2016,October,4298,342,6630,11270
90,2017,June,6545,363,1690,8598
91,2017,July,6276,335,0,6611
92,2017,February,2936,0,3642,6578
93,2017,March,2560,10,3839,6409
94,2017,April,3840,23,315,4178
95,2017,August,6810,288,1354,8452
96,2017,September,6390,625,3719,10734
97,2017,October,4639,383,2425,7447
98,2017,November,4278,83,1177,5538
99,2017,December,9625,26,0,9651
100,2017,May,5256,210,1371,6837
101,2017,January,3351,8,2187,5546
102,2018,Aug,5855,252,0,6107
103,2018,Jul,7011,174,1861,9046
104,2018,Jun,4785,305,3318,8408
105,2018,Jan,4294,7,3346,7640
106,2018,Apr,3099,34,2344,5477
107,2018,Feb,2336,0,1520,3856
108,2018,May,4348,166,627,5141
109,2018,Sep,5061,256,0,5317
110,2018,Mar,2835,14,3062,5911
111,2018,Dec,6282,6,0,6288
112,2018,Oct,4504,295,4746,9545
113,2018,Nov,3636,50,884,4570
114,2019,Mar,3109,7,5570,8686
115,2019,Feb,2709,0,3448,6157
116,2019,Sep,6811,382,636,7829
117,2019,Jan,4372,3,313,4688
118,2019,Apr,4183,13,3508,7704
119,2019,Dec,7689,17,2998,10704
120,2019,Nov,4938,72,2712,7722
121,2019,May,5166,128,1506,6800
122,2019,Sep,6811,62,0,6873
123,2019,Aug,7890,288,0,8178
124,2019,Jul,8121,194,0,8315
125,2019,Jun,6647,489,1798,8934
126,2019,May,4348,166,627,5141
127,2019,Apr,3574,13,3508,7095
128,2019,Oct,5649,428,2178,8255
129,2020,Dec,23,0,0,23
130,2020,Nov,20,0,0,20
131,2020,Oct,13,0,0,13
132,2020,Sep,16,0,0,16
133,2020,Aug,5,0,0,5
134,2020,May,0,0,0,0
135,2020,Jun,0,0,0,0
136,2020,Apr,0,0,0,0
137,2020,Mar,1259,0,0,1259
138,2020,Feb,3008,6,1678,4692
139,2020,Jul,1,0,0,1
140,2020,Jan,4665,0,852,5517
