,date,vanuatu flights-AU,vanuatu hotel-AU,vanuatu travel-AU,vanuatu flights-NZ,vanuatu hotel-NZ,vanuatu travel-NZ,vanuatu flights-US,vanuatu hotel-US,vanuatu travel-US,vanuatu flights-JP,vanuatu hotel-JP,vanuatu travel-JP,vanuatu flights-HK,vanuatu hotel-HK,vanuatu travel-HK,vanuatu flights-NC,vanuatu hotel-NC,vanuatu travel-NC,vanuatu flights,vanuatu hotel,vanuatu travel
0,2004-01-01,0,0,100,0,36,0,43,0,100,0,0,0,0,0,0,0,0,0,0.891752601130177,1.3577186297550377,2.884665696842474
1,2004-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.2567400875198653,0.0,0.0
2,2004-03-01,47,0,0,0,0,0,61,0,0,0,0,0,0,0,0,0,100,0,2.970236234743533,6.713760185763349,1.7089388358113844
3,2004-04-01,0,0,96,44,33,37,69,0,57,0,0,0,0,0,0,0,0,0,0.0,0.0,2.18518458183627
4,2004-05-01,0,0,37,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8172711939660381,0.0,2.1266057146687416
5,2004-06-01,0,0,65,30,100,25,0,0,0,0,0,0,0,0,0,0,0,0,1.1502992446209062,2.184012712875918,2.8821272696132314
6,2004-07-01,41,20,74,33,0,51,0,0,72,0,0,0,0,0,0,0,0,0,0.8530351263282571,1.7099673186664288,4.433704162941373
7,2004-08-01,0,53,0,0,32,37,0,0,0,0,0,0,0,0,0,0,0,0,1.2680452588291093,0.0,0.8709790162136485
8,2004-09-01,0,40,27,0,0,0,0,0,36,0,0,0,0,0,0,0,0,0,1.2443328539144562,3.31951657679589,2.934285157049809
9,2004-10-01,0,0,62,0,0,0,0,65,0,0,0,0,0,0,0,0,0,0,0.0,0.0,2.101687663194812
10,2004-11-01,0,22,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,1.6722429601191928
11,2004-12-01,42,0,50,25,0,0,0,0,0,0,0,0,0,0,0,0,32,0,2.1904714993800396,1.8225231814936382,0.0
12,2005-01-01,29,0,66,0,0,60,0,0,0,0,0,0,0,0,0,0,0,0,1.3975062040488802,1.037399170337864,1.5573001446730461
13,2005-02-01,17,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.237056559378489,0.8131317147194134,0.5943016255072675
14,2005-03-01,27,21,17,54,0,43,0,0,0,0,0,0,0,0,0,0,0,0,1.4766509642470247,1.0566427053999998,0.5542230575705317
15,2005-04-01,0,0,57,56,0,41,31,0,24,0,0,0,0,0,0,0,0,0,0.6915493905321933,0.5830870352175397,2.1337876439096974
16,2005-05-01,0,0,36,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0.835594348551318,1.0102630540279296,1.628365820377509
17,2005-06-01,0,0,35,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0.6274644337670835,1.3215954135659622,0.6577264742603749
18,2005-07-01,12,21,62,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,1.7870429823772531,2.155005288011571,2.8091946597227526
19,2005-08-01,24,0,27,0,18,0,0,50,0,0,0,0,0,0,0,0,0,0,0.9230158990439369,0.0,2.4223839135764473
20,2005-09-01,0,13,33,21,34,0,22,0,0,0,0,0,0,0,0,0,0,0,0.8535136584953962,0.9947557815259306,1.1053961719966183
21,2005-10-01,21,17,54,36,59,0,0,0,15,0,0,0,0,0,0,0,0,0,1.8070019236906063,1.26753177615136,1.9989594294604007
22,2005-11-01,0,19,34,0,30,30,0,0,0,0,0,0,0,0,0,0,16,0,0.0,0.6543793476854789,1.7948073524154629
23,2005-12-01,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0.9363883982776101,0.7527623799624522,1.5320269941908475
24,2006-01-01,0,13,29,0,22,24,0,0,20,0,0,0,0,0,0,0,0,0,1.5862009134049446,1.2906921232720174,0.9659252841707353
25,2006-02-01,0,14,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4702681910619084,1.6211991419669278,0.864371244725825
26,2006-03-01,0,0,23,47,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0.0,1.382488818145381,2.0935946881918137
27,2006-04-01,14,14,35,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0.6585915354100318,0.814193118562315,2.0170302535738927
28,2006-05-01,0,11,9,11,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0.0,1.366133295358199,0.34867130319829326
29,2006-06-01,20,18,35,0,12,0,0,28,0,0,0,0,0,0,0,0,0,0,1.5370582045145125,3.3108939100320485,1.232881742520211
30,2006-07-01,11,11,34,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.6338035244999123,0.9896644633417967,1.4322011304019795
31,2006-08-01,9,14,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0707175635910995,3.1710253899711667,1.4434791518387922
32,2006-09-01,8,32,19,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0.648501121370538,1.4519478052482675,1.4082043366098684
33,2006-10-01,42,19,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5770535820688517,0.9928350596056124,1.4473988988790498
34,2006-11-01,26,25,49,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.446738831173213,1.9513966131045133,2.2480098017689274
35,2006-12-01,25,16,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6554893100287373,1.1628352838487983,1.6640313340154425
36,2007-01-01,43,34,27,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,1.7404318718764358,1.5728519089955701,1.671084481103097
37,2007-02-01,32,40,35,14,27,0,19,0,0,0,0,0,0,0,0,0,0,0,1.5986903099718417,0.8912329515642826,1.9928961594526748
38,2007-03-01,17,15,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.1080964658429302,1.3905320174898341,1.2958728825542818
39,2007-04-01,11,0,24,11,15,0,0,0,0,0,0,0,0,0,0,0,11,0,1.742883591269944,0.675036093368272,0.870693574659744
40,2007-05-01,31,12,22,0,35,0,8,0,0,0,0,0,0,0,0,0,4,0,1.5390428515136811,1.2097629222452517,1.1823229797900054
41,2007-06-01,20,17,23,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0819043375309594,1.9207884544903588,1.1192742964363072
42,2007-07-01,20,16,16,0,7,13,15,0,0,0,0,0,0,0,0,0,0,0,1.6247978437953723,1.5113820632304311,0.773814347512783
43,2007-08-01,40,23,23,6,0,13,9,18,0,0,0,0,0,0,0,0,5,0,1.8415234735079113,1.3217418060338302,1.8756283468597428
44,2007-09-01,24,23,33,0,0,12,0,11,0,0,0,0,0,0,0,0,0,0,1.65497613783933,1.3658718942648893,1.7396232203058828
45,2007-10-01,20,21,32,9,18,14,27,0,0,0,0,0,0,0,0,0,0,0,1.1000246378375134,0.7455788078373154,1.8186241672154342
46,2007-11-01,36,21,18,25,0,18,26,21,0,0,0,0,0,0,0,0,0,0,1.6148403773266764,1.1950807372756644,1.1078100381397855
47,2007-12-01,24,11,20,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.5425961576975327,0.8118005062718866,1.2786841625912149
