,date,solomon islands flights-AU,solomon islands hotel-AU,solomon islands travel-AU,solomon islands flights-NZ,solomon islands hotel-NZ,solomon islands travel-NZ,solomon islands flights-US,solomon islands hotel-US,solomon islands travel-US,solomon islands flights-JP,solomon islands hotel-JP,solomon islands travel-JP,solomon islands flights-HK,solomon islands hotel-HK,solomon islands travel-HK,solomon islands flights-NC,solomon islands hotel-NC,solomon islands travel-NC,solomon islands flights,solomon islands hotel,solomon islands travel
39,2007-04-01,17,0,0,0,0,0,3,29,34,0,0,0,0,0,0,0,0,0,0.2610282233392878,0.4400507199953629,0.587959301033294
40,2007-05-01,12,11,0,0,0,0,25,33,0,0,0,0,0,0,0,0,0,0,0.3061614154422802,0.0,0.5537509362203797
41,2007-06-01,0,0,0,0,0,0,0,14,13,0,0,0,0,0,0,0,0,0,0.48709471625118755,0.0,0.35623204870042935
42,2007-07-01,18,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0.3841678199247036,0.0,0.0
43,2007-08-01,0,5,0,0,0,0,0,15,1,0,0,0,0,0,0,0,0,0,0.4561085549728745,0.5991466387815986,0.34360008205719084
44,2007-09-01,5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.3774661059437978,0.8249465992929639,0.6644996045903897
45,2007-10-01,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.9222318554638657,0.7148237204724106,0.471192794293429
46,2007-11-01,7,0,0,0,0,0,1,0,19,0,0,0,0,0,0,0,0,0,0.2511288938038173,0.2785902615674533,0.41719080870542363
47,2007-12-01,0,0,0,0,0,0,22,0,1,0,0,0,0,0,0,0,0,0,0.012365064177196135,0.37162883995453116,0.24381236959721264
48,2008-01-01,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0.26461949845675026,0.0,0.0
49,2008-02-01,0,5,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0.27565672103327304,0.0,0.3156392439813005
50,2008-03-01,0,0,0,0,0,0,0,27,34,0,0,0,0,0,0,0,0,0,0.0,0.00912338860062947,0.377923909321749
51,2008-04-01,0,0,0,0,0,0,9,10,0,0,0,0,0,0,0,0,0,0,0.0,0.18672241158992994,0.0
52,2008-05-01,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3410347593554643,0.0,0.5118710590242884
53,2008-06-01,0,0,0,0,0,0,0,16,11,0,0,0,0,0,0,0,0,0,0.25993531109317936,0.19931262468866773,0.15400266064428528
54,2008-07-01,16,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.0,0.2532449095339943,0.22735858133085515
55,2008-08-01,0,7,0,0,0,0,16,0,1,0,0,0,0,0,0,0,0,0,0.5298544485777865,0.0,0.0
56,2008-09-01,7,0,0,0,0,0,0,1,11,0,0,0,0,0,0,0,0,0,0.31476775838703197,0.3383172483783847,0.21929660085221578
57,2008-10-01,16,0,9,0,0,0,1,8,0,0,0,0,0,0,0,0,0,0,0.2153647422961815,0.0,0.3269037871867957
