date,ym,china_daily_body_count,china_daily_epu_count,china_daily_ratio,china_people_s_daily_online_body_count,china_people_s_daily_online_epu_count,china_people_s_daily_online_ratio,news_total,china_daily_weights,china_people_s_daily_online_weights,china_daily_z_score,china_people_s_daily_online_z_score,z_score_unweighted,z_score_weighted,epu_weighted,epu_unweighted,epu_inflation
2017-01-01,2017-1,25,0.0,0.0,0.0,0.0,0.0,25.0,1.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0
2017-02-01,2017-2,13,1.0,0.07692307692307693,0.0,0.0,0.0,13.0,1.0,0.0,4.161727524212592,,4.161727524212592,4.161727524212592,324.16803964272054,324.16803964272054,324.16803964272054
2017-03-01,2017-3,18,1.0,0.05555555555555555,0.0,0.0,0.0,18.0,1.0,0.0,3.0056921008202053,,3.0056921008202053,3.0056921008202053,234.12136196418703,234.12136196418703,234.12136196418703
2017-04-01,2017-4,196,4.0,0.02040816326530612,0.0,0.0,0.0,196.0,1.0,0.0,1.1041317921380345,,1.1041317921380345,1.1041317921380345,86.00376561949726,86.00376561949726,86.00376561949726
2017-05-01,2017-5,228,4.0,0.017543859649122806,0.0,0.0,0.0,228.0,1.0,0.0,0.9491659265748016,,0.9491659265748016,0.9491659265748016,73.93306167290116,73.93306167290116,73.93306167290116
2017-06-01,2017-6,220,3.0,0.013636363636363636,0.0,0.0,0.0,220.0,1.0,0.0,0.7377607883831413,,0.7377607883831413,0.7377607883831413,57.46615248211863,57.46615248211863,57.46615248211863
2017-07-01,2017-7,181,4.0,0.022099447513812154,0.0,0.0,0.0,181.0,1.0,0.0,1.1956344268456065,,1.1956344268456065,1.1956344268456065,93.13114951061583,93.13114951061583,93.13114951061583
2017-08-01,2017-8,150,2.0,0.013333333333333334,0.0,0.0,0.0,150.0,1.0,0.0,0.7213661041968493,,0.7213661041968493,0.7213661041968493,56.18912687140489,56.18912687140489,56.18912687140489
2017-09-01,2017-9,200,2.0,0.01,0.0,0.0,0.0,200.0,1.0,0.0,0.5410245781476369,,0.5410245781476369,0.5410245781476369,42.14184515355366,42.14184515355366,42.14184515355366
2017-10-01,2017-10,322,1.0,0.003105590062111801,0.0,0.0,0.0,322.0,1.0,0.0,0.16802005532535308,,0.16802005532535308,0.16802005532535308,13.087529550793063,13.087529550793063,13.087529550793063
