date,score,z_score
2015-01-01,0.40784615384615386,-0.49317591841934255
2015-02-01,0.33276176470588237,-0.6179812930808607
2015-03-01,0.5406344262295082,-0.2724550698485509
2015-04-01,0.32675272727272725,-0.6279695233479932
2015-05-01,0.41098615384615383,-0.487956606110561
2015-06-01,0.2373867924528302,-0.7765137028356566
2015-07-01,0.38401406250000003,-0.5327896533578739
2015-08-01,0.4272173076923077,-0.4609771599147143
2015-09-01,0.3301173076923077,-0.6223769131576105
2015-10-01,0.26896349206349207,-0.724026869412527
2015-11-01,0.3045032786885246,-0.6649525873158697
2015-12-01,0.374425,-0.5487286062037102
2016-01-01,0.23283617021276598,-0.7840777533675619
2016-02-01,0.3145363636363636,-0.6482755797479374
2016-03-01,0.6432173410404625,-0.10194160808310235
2016-04-01,0.6868653266331659,-0.029389866536121696
2016-05-01,0.6424953216374268,-0.10314174972560011
2016-06-01,0.6160372881355932,-0.14712032931868174
2016-07-01,0.5822094117647059,-0.2033490718417756
2016-08-01,0.5648579545454546,-0.23219068784169136
2016-09-01,0.5557127272727272,-0.24739189716371404
2016-10-01,0.550193220338983,-0.25656642916298056
2016-11-01,0.7215874316939891,0.02832526414246509
2016-12-01,0.6961227777777778,-0.014002118540256412
2017-01-01,0.7678482993197279,0.10522014179021505
2017-02-01,0.6287535714285715,-0.12598330577951128
2017-03-01,0.6413882926829269,-0.10498185477286107
2017-04-01,0.6613669902912621,-0.07177323619304903
2017-05-01,0.6475544041450777,-0.09473253583919125
2017-06-01,0.6725054054054054,-0.05325894730592577
2017-07-01,0.5149175,-0.31520177991660836
2017-08-01,0.7130565420560747,0.014145207680037084
2017-09-01,0.682743961352657,-0.036240405560817604
2017-10-01,0.6151528138528138,-0.14859050368521395
2017-11-01,0.7185896946564886,0.02334242152516672
2017-12-01,0.6668484042553192,-0.06266202238026858
2018-01-01,0.7257553191489362,0.03525313238935105
2018-02-01,0.7260986842105264,0.03582387426589981
2018-03-01,0.5857995884773662,-0.1973814751834669
2018-04-01,0.6313427906976744,-0.121679501957421
2018-05-01,0.622,-0.13720910147549178
2018-06-01,0.5601732142857143,-0.2399776695299421
2018-07-01,0.5817467741935484,-0.20411806864739573
2018-08-01,0.7555011173184357,0.08469663892457467
2018-09-01,0.7890377777777778,0.14044132195988476
2018-10-01,0.6903247663551402,-0.02363958108313179
2018-11-01,0.6500671296296296,-0.09055588009074819
2018-12-01,0.5890955,-0.19190300652781803
2019-01-01,0.6778875,-0.04431282228535426
2019-02-01,0.7054287769784172,0.0014663261009567434
2019-03-01,0.6788358288770053,-0.042736508724676846
2019-04-01,0.7099058510638298,0.008908124789275468
2019-05-01,0.6611016042780749,-0.0722143611883378
2019-06-01,0.7194162921348314,0.02471639298794455
2019-07-01,0.7291233009708737,0.04085139639539923
2019-08-01,0.7039183098591548,-0.0010443744173795947
2019-09-01,0.6927451776649746,-0.019616370082579927
2019-10-01,0.6865342105263157,-0.029940248183293407
2019-11-01,0.693028947368421,-0.019144687692115785
2019-12-01,0.7767541666666666,0.12002348671513662
2020-01-01,0.6803806666666667,-0.040168677230839014
2020-02-01,0.6161921052631578,-0.14686299207680018
2020-03-01,0.5366187214611872,-0.27912997982489834
2020-04-01,0.49782566371681414,-0.34361185364033836
2020-05-01,0.5993648648648648,-0.17483325415757647
2020-06-01,0.6798175000000001,-0.041104773636962855
2020-07-01,0.6506431192660551,-0.0895984693266953
2020-08-01,0.588328640776699,-0.19317768098109114
2020-09-01,0.694672131147541,-0.016413385359647252
2020-10-01,0.7464877551020408,0.06971461588013611
2020-11-01,0.7725747311827957,0.11307642331872707
2020-12-01,0.7440916666666666,0.0657318343948884
2021-01-01,0.7365976878612717,0.05327533254114756
2021-02-01,0.7316941747572816,0.04512470633097965
2021-03-01,0.6879567901234568,-0.02757563442482841
2021-04-01,0.6231189349112426,-0.13534920633059563
2021-05-01,0.5142539877300614,-0.3163046709221875
2021-06-01,0.5608368983957219,-0.23887449289156457
2021-07-01,0.5867363184079601,-0.19582444140743094
2021-08-01,0.5874142857142857,-0.19469752322053402
2021-09-01,0.7226755980861244,0.030134015812679767
2021-10-01,0.6701791111111112,-0.05712571687409716
2021-11-01,0.8461923857868021,0.23544378982137779
2021-12-01,0.7478794444444444,0.07202788381478817
2022-01-01,0.6725397727272727,-0.05320182189635823
2022-02-01,0.8198275362318841,0.19162010071272848
2022-03-01,0.619760103626943,-0.14093226030042544
2022-04-01,0.6571505376344087,-0.07878182958518598
2022-05-01,0.6376795698924731,-0.11114649888434966
2022-06-01,0.7452707692307692,0.0676917402949319
2022-07-01,0.6502566137566137,-0.09024091931486074
2022-08-01,0.6641376288659794,-0.06716787695221878
2022-09-01,0.6881247368421052,-0.027296473158630628
2022-10-01,0.6729948186528497,-0.052445443934439465
2022-11-01,0.7381985981308411,0.05593636778803247
2022-12-01,0.8502376884422111,0.24216789744625783
2023-01-01,0.8579192307692307,0.2549361676430222
2023-02-01,0.7710131736526946,0.11048080024938713
2023-03-01,0.7736140845070423,0.11480403784051466
2023-04-01,0.7459563636363636,0.06883133625669971
2023-05-01,0.7408941666666667,0.06041694550720419
2023-06-01,0.6907641025641026,-0.022909315833727018
2023-07-01,0.7039952153110047,-0.0009165420697832157
2023-08-01,0.7921314410480349,0.1455836132929033
2023-09-01,0.8084317596566524,0.17267802525182657
2023-10-01,0.809836820083682,0.175013518621692
2023-11-01,0.813044705882353,0.1803456707981791
2023-12-01,0.8648321428571429,0.2664268196016099
2024-01-01,0.7553815450643776,0.08449788575979941
