,url,title,date,media_type
0,https://www.abc.net.au/news/science/2023-09-19/how-tonga-plans-to-recycle-its-mountain-of-scrap-cars/102614772,Tonga has tens of thousands of abandoned cars. Now there's a plan to crush them and ship them home,2023-09-18T20:00:00+00:00,article
1,https://www.abc.net.au/news/2023-09-16/aussie-dollar-a-painful-dollar-for-pacific-workers-palm-scheme/102853382,The Aussie dollar is a painful dollar — Nai and her children feel it everyday,2023-09-15T18:56:43+00:00,article
2,https://www.abc.net.au/news/2023-09-08/international-team-of-scientists-research-impact/102833020,International team of scientists research impact of 2022 volcanic eruption in Tonga,2023-09-08T04:52:47+00:00,video
3,https://www.abc.net.au/news/science/2023-09-08/hunga-tonga-ha-apai-volcano-eruption-seafloor-submarine-cable/102816912,We knew the Tongan volcanic eruption was massive. Now we know what happened on the sea floor,2023-09-07T19:00:00+00:00,article
4,https://www.abc.net.au/news/2023-08-05/chilly-weather-pacific-cold-snap-tonga-temperatures/102683406,Puffer jackets in the Pacific Islands — what is going on with the weather?,2023-08-04T20:52:09+00:00,article
5,https://www.abc.net.au/news/2023-07-29/netball-world-cup-australia-beats-tonga-85-38/102665194,Australia defeats Tonga by 47 goals to claim top spot in their Netball World Cup group,2023-07-29T12:44:26+00:00,article
6,https://www.abc.net.au/news/2023-07-22/china-us-powerplay-in-the-pacific-intensifies/102633474,Why PNG's diary of political visitors is full and Solomon Islands thinks someone might give them an army,2023-07-21T20:58:56+00:00,article
7,https://www.abc.net.au/news/2023-07-19/australia-happy-to-support-solomon-islands-defence-force/102622652,Defence minister happy for Australia to support Solomon Islands defence force,2023-07-19T09:27:16+00:00,article
8,https://www.abc.net.au/news/2023-07-03/chinese-hospital-ship-to-visit-pacific-to-boost-responsible-imag/102556270,Chinese hospital ship to visit Pacific to boost 'responsible' image,2023-07-03T07:08:24+00:00,article
9,https://www.abc.net.au/news/2023-06-24/rugby-world-cup-manu-samoa-flying-fijians-ikale-tahi-analysis/102509132,The Rugby World Cup is coming. We've crunched the numbers to see how the Pacific Islands teams have evolved,2023-06-23T20:00:00+00:00,article
10,https://www.abc.net.au/news/2023-06-23/tonga-looks-to-wave-power-park-as-renewable-energy-source/102497360,Tonga set to become the first Pacific nation to pioneer the use of wave energy technology,2023-06-22T18:57:21+00:00,article
11,https://www.abc.net.au/news/2023-06-07/migrant-women-more-at-risk-of-pregnancy-complications/102415338,"Caitlin planned for a water birth, but a diagnosis in labour changed everything",2023-06-06T18:27:49+00:00,article
12,https://www.abc.net.au/news/science/2023-05-25/tonga-volcano-eruption-super-plasma-bubble-gps-atmosphere/102377782,"As Townsville slept, a giant 'plasma bubble' triggered by a distant volcano eruption hovered overhead",2023-05-24T19:00:00+00:00,article
13,https://www.abc.net.au/news/2023-05-04/tonga-tala-netball-win-grand-final-in-world-cup-preview/102297880,"'Forget the glass slippers, our princesses wear netball shoes': The Tonga Tala beat Malawi for PacificAus netball title",2023-05-03T20:01:37+00:00,article
14,https://www.abc.net.au/news/2023-04-28/brisbane-asked-to-deliver-on-regional-olympic-games-promise/102271256,Brisbane 2032 promised an Oceania Games — The challenge is turning talk into action,2023-04-27T18:02:43+00:00,article
15,https://www.abc.net.au/news/2023-04-23/millions-of-kids-education-in-pacific-affected-climate-change/102240168,"Months after twin cyclones hit Vanuatu, Janet says her children's schooling is still being affected",2023-04-22T19:21:09+00:00,article
16,https://www.abc.net.au/news/2023-03-31/tongan-jailed-likely-deported-margaret-river-sexual-assault/102172742,"Tongan worker jailed, faces likely deportation for sexual assault of 15yo girl at Margaret River",2023-03-31T06:36:44+00:00,article
17,https://www.abc.net.au/news/2023-03-30/vanuatu-closer-to-icj-advisory-opinion-on-climate-obligations/102157176,"The highest international court has been asked to issue an advisory opinion on climate change, so what does it mean?",2023-03-29T21:07:39+00:00,article
18,https://www.abc.net.au/news/2023-03-23/kristian-woolf-on-the-felise-kaufusi-connection/102114350,Kristian Woolf talks about his relationship with Felise Kaufusi ,2023-03-23T03:02:49+00:00,video
19,https://www.abc.net.au/news/2023-03-23/why-tonga-is-the-secret-weapon-behind-the-dolphins/102128136,Why Tonga is the secret weapon behind the NRL's most incredible rise,2023-03-23T03:02:49+00:00,article
20,https://www.abc.net.au/news/2023-03-05/queer-pasifika-activists-speak-out-during-world-pride/102040892,"In 2023, queer Pacific Islanders still 'fear for their livelihoods, their actual existence' ",2023-03-04T20:07:37+00:00,article
21,https://www.abc.net.au/news/2023-02-16/new-pacific-visa-to-boost-australias-regional/101987268,New Pacific visa to boost Australia's regional influence,2023-02-16T10:57:41+00:00,video
22,https://www.abc.net.au/news/2023-02-16/government-announces-3-000-visas-for-pacific-workers/101981264,'Very significant': Government to introduce bill for Pacific permanent residency visa,2023-02-15T21:34:53+00:00,article
23,https://www.abc.net.au/news/2023-02-14/peniola-liu-sentenced-for-manslaughter-alexander-ollson/101971834,Man sentenced over fatal taxi rank bashing,2023-02-14T07:41:33+00:00,article
24,https://www.abc.net.au/news/2023-02-02/margaret-river-rape-accused-foreign-worker-faces-court/101924054,Tongan man faces 'inevitable' jail time after child sex conviction for 2021 Margaret River incident,2023-02-02T07:45:54+00:00,article
