,Country,Total,Distribution,Vacation,,Stated,Conference,Friends
0,Australia,"1 ,309",1 9.2,743,104.0,69,57,336
1,New Zealand,"2 ,858",4 2.0,1244,208.0,12,151,1243
2,Fiji,208,3.1,54,61.0,8,41,45
3,American Samoa,7,0.1,1,0.0,0,0,6
4,Western Samoa,28,0.4,1,6.0,0,12,9
5,Other Pacific Islands,52,0.8,17,7.0,0,17,12
6,Japan,158,2.3,114,15.0,3,9,18
7,China,295,4.3,184,37.0,43,26,6
8,India,19,0.3,0,18.0,0,1,0
9,Korea,13,0.2,10,1.0,0,2,0
10,Other Asian Countries,195,2.9,137,15.0,18,16,10
11,UK,133,2.0,115,7.0,2,4,4
12,Germany,146,2.2,138,2.0,6,0,0
13,France,53,0.8,46,0.0,1,1,6
14,Italy,31,0.5,25,3.0,0,1,1
15,Other European Countries,364,5.3,336,9.0,11,2,6
16,All African Countries,7,0.1,6,1.0,0,0,0
17,United States of America,836,1 2.3,393,60.0,107,20,256
18,Canada,42,0.6,35,6.0,0,1,0
19,Other American Countries,55,0.8,40,1.0,9,1,3
