,Country,Total,Distribution,Vacation,Reasons,Stated,Conference,Friends
0,Australia,879,26.3,220,60,112,36,451
1,New Zealand,"1,739",52.0,299,78,143,51,1168
2,Fiji,126,3.8,23,25,17,35,26
3,American Samoa,7,0.2,,0,2,0,5
4,Western Samoa,7,0.2,1,0,1,2,3
5,Other Pacific Islands,51,1.5,5,32,4,5,5
6,Japan,28,0.8,7,6,3,5,7
7,China,21,0.6,15,1,-,3,2
8,India,2,0.1,,-,-,2,0
9,Korea,17,0.5,6,6,-,4,1
10,Other Asian Countries,39,1.2,9,12,5,6,7
11,UK,40,1.2,26,2,8,-,4
12,Germany,60,1.8,43,1,5,-,11
13,France,9,0.3,6,-,-,-,3
14,Italy,9,0.3,8,-,-,-,1
15,Other European Countries,43,1.3,32,-,6,-,5
16,All African Countries,1,0.0,-,-,1,-,-
17,United States of America,238,7.1,43,16,43,5,131
18,Canada,14,0.4,3,4,6,1,0
19,Other American Countries,13,0.4,2,2,-,9,-
