,Country,Total,Distribution,Vacation,Reasons,Stated,Conference,Friends
0,Australia,921,1 8.7,185,140,78,74,444
1,New Zealand,"2 ,322",4 7.0,662,197,289,63,1111
2,Fiji,197,4.0,27,52,12,43,63
3,American Samoa,11,0.2,1,2,0,0,7
4,Western Samoa,24,0.5,5,6,0,5,8
5,Other Pacific Islands,34,0.7,9,9,5,4,7
6,Japan,41,0.8,16,12,1,11,1
7,China,70,1.4,38,1,4,13,14
8,India,4,0.1,0,0,0,2,1
9,Korea,32,0.6,8,0,7,0,16
10,Other Asian Countries,76,1.5,22,16,18,12,8
11,UK,43,0.9,23,6,4,5,6
12,Germany,44,0.9,37,2,4,0,1
13,France,62,1.3,27,22,6,2,5
14,Italy,12,0.2,9,0,2,0,0
15,Other European Countries,123,2.5,85,6,19,8,5
16,All African Countries,5,0.1,5,0,0,0,0
17,United States of America,886,1 7.9,218,40,134,15,479
18,Canada,25,0.5,9,0,12,1,2
19,Other American Countries,8,0.2,4,2,1,1,0
