,Country,Total,Distribution,Vacation,Reasons,,,Conference,Friends
0,Australia,683,19.3,170,64,,1.0,45,403
1,New Zealand,"1,692",47.8,470,110,,2.0,95,"1,015"
2,Fiji,175,4.9,36,33,-,,37,69
3,American Samoa,5,0.1,-,-,-,,-,5
4,Western Samoa,23,0.7,-,5,-,,9,9
5,Other Pacific Islands,69,2.0,4,6,,1.0,19,39
6,Japan,44,1.2,20,1,-,,7,16
7,China,84,2.4,24,22,-,,23,15
8,India,5,0.1,-,1,-,,2,2
9,Korea,2,0.1,2,-,-,,-,-
10,Other Asian Countries,77,2.2,28,7,-,,13,29
11,UK,53,1.5,24,5,-,,8,16
12,Germany,73,2.1,53,4,-,,3,13
13,France,26,0.7,14,7,-,,1,4
14,Italy,5,0.1,3,-,-,,1,1
15,Other European Countries,93,2.6,71,4,,1.0,6,11
16,All African Countries,7,0.2,2,1,-,,1,3
17,United States of America,401,11.3,92,41,,2.0,19,247
18,Canada,11,0.3,7,1,-,,3,-
19,Other American Countries,9,0.3,1,-,-,,2,6
