,Country,Total,Distribution,Vacation,,Stated,Conference,Friends
0,Australia,"1 ,475",1 9.2,319,29.0,173,17,937
1,New Zealand,"4 ,488",5 8.4,767,83.0,433,49,3156
2,Fiji,134,1.7,16,26.0,11,12,69
3,American Samoa,5,0.1,0,0.0,0,0,5
4,Western Samoa,39,0.5,7,1.0,2,1,28
5,Other Pacific Islands,43,0.6,6,2.0,2,4,29
6,Japan,59,0.8,8,10.0,6,22,13
7,China,141,1.8,90,9.0,14,19,9
8,India,8,0.1,0,7.0,0,1,0
9,Korea,5,0.1,2,0.0,2,0,1
10,Other Asian Countries,35,0.5,7,9.0,5,4,10
11,UK,46,0.6,29,3.0,8,0,6
12,Germany,19,0.2,12,0.0,2,0,5
13,France,14,0.2,5,3.0,1,2,3
14,Italy,5,0.1,4,0.0,0,0,1
15,Other European Countries,51,0.7,43,2.0,1,3,2
16,All African Countries,5,0.1,1,1.0,0,0,3
17,United States of America,"1 ,100",1 4.3,207,34.0,86,5,768
18,Canada,11,0.1,4,0.0,1,0,6
19,Other American Countries,6,0.1,2,1.0,3,0,0
