,Country,Total,Distribution,Vacation,Reasons,,,Conference,Friends
0,Australia,881,21.5,341,46,,3.0,73,418
1,New Zealand,"2,100",51.2,770,55,,4.0,149,"1,122"
2,Fiji,146,3.6,12,9,,2.0,86,37
3,American Samoa,4,0.1,1,-,,1.0,-,2
4,Western Samoa,31,0.8,2,5,-,,19,5
5,Other Pacific Islands,51,1.2,3,2,-,,37,9
6,Japan,43,1.0,21,4,-,,10,8
7,China,86,2.1,34,3,-,,33,16
8,India,2,0.0,1,1,-,,-,0
9,Korea,2,0.0,,1,-,,1,0
10,Other Asian Countries,45,1.1,19,6,-,,9,11
11,UK,70,1.7,55,-,-,,5,10
12,Germany,78,1.9,75,-,-,,1,2
13,France,29,0.7,24,2,-,,2,1
14,Italy,22,0.5,20,-,-,,2,0
15,Other European Countries,112,2.7,104,1,-,,7,-
16,All African Countries,7,0.2,2,-,-,,3,2
17,United States of America,357,8.7,108,18,,2.0,15,214
18,Canada,18,0.4,17,-,-,,-,1
19,Other American Countries,18,0.4,16,-,-,,2,-
