,Country,Total,Distribution,Vacation,Reasons,Stated,Conference,Friends
0,Australia,999,16.9,58,22,802,15,102
1,New Zealand,"2,559",43.4,350,95,"1,641",29,445
2,Fiji,66,1.1,7,-,44,7,7
3,American Samoa,-,-,-,-,-,-,-
4,Western Samoa,-,-,-,-,-,-,-
5,Other Pacific Islands,73,1.2,-,-,29,44,-
6,Japan,124,2.1,15,-,73,36,-
7,China,44,0.7,-,-,44,-,-
8,India,-,-,-,-,-,-,-
9,Korea,15,0.2,-,-,15,-,-
10,Other Asian Countries,58,1.0,44,-,15,-,-
11,UK,124,2.1,-,-,124,-,-
12,Germany,102,1.7,15,-,87,-,-
13,France,153,2.6,22,-,109,-,22
14,Italy,22,0.4,7,-,15,-,-
15,Other European Countries,190,3.2,58,-,124,-,7
16,All African Countries,-,-,-,-,-,-,-
17,United States of America,"1,356",23.0,131,7,795,22,401
18,Canada,15,0.2,-,-,15,-,-
19,Other American Countries,-,-,-,-,-,-,-
