,Country,Total,Distribution,Vacation,Reasons,,,Conference,Friends
0,Australia,"1,681",24.9,625,153,,5.0,230,668
1,New Zealand,"2,886",42.7,"1,119",177,,18.0,288,"1,284"
2,Fiji,201,3.0,21,33,,,78,69
3,American Samoa,43,0.6,11,14,,,6,12
4,Western Samoa,34,0.5,7,16,,,7,4
5,Other Pacific Islands,96,1.4,16,23,-,,42,15
6,Japan,46,0.7,24,1,,,8,13
7,China,99,1.5,25,17,-,,47,10
8,India,4,0.1,,1,,,2,1
9,Korea,5,0.1,4,-,,,1,0
10,Other Asian Countries,53,0.8,23,10,-,,11,9
11,UK,73,1.1,44,5,,1.0,6,17
12,Germany,38,0.6,27,2,,,1,8
13,France,25,0.4,15,-,,,4,6
14,Italy,9,0.1,5,-,,,1,3
15,Other European Countries,44,0.7,24,2,,1.0,11,6
16,All African Countries,8,0.1,1,1,-,,4,2
17,United States of America,"1,380",20.4,459,95,,2.0,108,716
18,Canada,14,0.2,10,1,,,2,1
19,Other American Countries,24,0.4,18,3,-,,1,2
