,Country,Total,Distribution,Vacation,Reasons,,,Conference,Friends
0,Australia,"1,375",26.5,798,84,,2.0,46,445
1,New Zealand,"2,223",42.9,1039,117,,1.0,87,979
2,Fiji,217,4.2,58,49,,0.0,46,64
3,American Samoa,10,0.2,4,0,,1.0,0,5
4,Western Samoa,16,0.3,6,1,,0.0,6,3
5,Other Pacific Islands,36,0.7,11,9,-,,7,9
6,Japan,92,1.8,49,2,,0.0,18,23
7,China,143,2.8,65,38,,0.0,17,23
8,India,8,0.2,7,0,,0.0,1,0
9,Korea,10,0.2,6,0,,0.0,2,2
10,Other Asian Countries,94,1.8,58,16,-,,6,14
11,UK,80,1.5,60,7,,0.0,3,10
12,Germany,103,2.0,87,2,,0.0,1,13
13,France,30,0.6,27,1,,0.0,0,2
14,Italy,17,0.3,13,0,,0.0,0,4
15,Other European Countries,203,3.9,189,-,-,,3,11
16,All African Countries,6,0.1,4,1,-,,1,-
17,United States of America,483,9.3,228,34,,3.0,14,204
18,Canada,32,0.6,27,1,,0.0,1,3
19,Other American Countries,7,0.1,5,-,-,,-,2
