,Country,Total,Distribution,Vacation,Reasons,,Conference,Friends
0,Australia,806,22.5,392,48,-,21,345
1,New Zealand,"1,892",52.8,914,123,3,71,781
2,Fiji,125,3.5,37,21,2,41,24
3,American Samoa,2,0.1,1,-,-,-,1
4,Western Samoa,11,0.3,2,1,-,-,8
5,Other Pacific Islands,74,2.1,14,36,1,11,12
6,Japan,42,1.2,21,8,-,9,4
7,China,80,2.2,39,14,-,21,6
8,India,5,0.1,2,-,-,-,3
9,Korea,13,0.4,12,-,-,1,-
10,Other Asian Countries,18,0.5,9,1,-,6,2
11,UK,43,1.2,35,2,-,3,3
12,Germany,35,1.0,34,-,-,-,1
13,France,21,0.6,12,4,-,4,1
14,Italy,8,0.2,8,-,-,-,-
15,Other European Countries,67,1.9,61,1,-,2,3
16,All African Countries,1,0.0,-,-,-,1,-
17,United States of America,316,8.8,148,31,3,20,114
18,Canada,9,0.3,6,1,-,-,2
19,Other American Countries,13,0.4,11,-,-,2,-
