,Country,Total,Distribution,Vacation,Reasons,Stated,Conference,Friends
0,Australia,"1,699",26.4,347,112,357,59,824
1,New Zealand,"3,562",55.4,556,191,"1,069",79,"1,667"
2,Fiji,163,2.5,17,13,77,36,20
3,American Samoa,8,0.1,1,3,3,-,1
4,Western Samoa,21,0.3,-,1,8,3,9
5,Other Pacific Islands,54,0.8,15,5,9,4,21
6,Japan,40,0.6,14,1,19,5,1
7,China,62,1.0,9,9,18,14,12
8,India,4,0.1,-,1,3,-,-
9,Korea,4,0.1,-,-,2,-,2
10,Other Asian Countries,26,0.4,7,1,10,3,5
11,UK,30,0.5,16,2,1,6,5
12,Germany,32,0.5,16,3,7,-,6
13,France,20,0.3,5,-,-,3,12
14,Italy,3,0.0,1,-,-,-,2
15,Other European Countries,60,0.9,32,5,10,4,9
16,All African Countries,5,0.1,3,-,-,-,2
17,United States of America,611,9.5,93,56,183,42,237
18,Canada,7,0.1,2,-,1,1,3
19,Other American Countries,18,0.3,1,5,6,2,4
