,Country,Total,Distribution,Vacation,,Stated,Conference,Friends
0,Australia,"1 ,019",2 1.8,272,90.0,89,29,539
1,New Zealand,"2 ,317",4 9.7,473,125.0,238,36,1445
2,Fiji,122,2.6,11,48.0,8,19,37
3,American Samoa,11,0.2,0,0.0,0,0,11
4,Western Samoa,18,0.4,2,1.0,1,1,12
5,Other Pacific Islands,52,1.1,7,21.0,5,4,15
6,Japan,84,1.8,30,22.0,2,20,9
7,China,119,2.5,67,28.0,5,7,12
8,India,6,0.1,1,2.0,0,0,2
9,Korea,20,0.4,15,2.0,0,0,2
10,Other Asian Countries,64,1.4,34,12.0,3,11,5
11,UK,58,1.3,36,5.0,0,4,14
12,Germany,32,0.7,28,1.0,1,0,1
13,France,23,0.5,18,0.0,1,1,4
14,Italy,5,0.1,5,0.0,0,0,0
15,Other European Countries,71,1.5,55,5.0,6,1,4
16,All African Countries,17,0.4,15,1.0,0,1,0
17,United States of America,601,1 2.9,136,27.0,72,28,338
18,Canada,18,0.4,11,2.0,0,1,4
19,Other American Countries,9,0.2,0,5.0,1,2,1
