,Country,Total,Distribution,Vacation,Reasons,,,Conference,Friends
0,Australia,"1,947",24.0,766,25,,23.0,40,1093
1,New Zealand,"4,292",52.9,1528,65,,67.0,74,2558
2,Fiji,286,3.5,75,65,,1.0,101,44
3,American Samoa,23,0.3,3,1,,0.0,2,17
4,Western Samoa,56,0.7,8,1,,0.0,38,9
5,Other Pacific Islands,50,0.6,22,2,-,,1,25
6,Japan,54,0.7,29,4,,2.0,7,12
7,China,89,1.1,45,10,,0.0,25,9
8,India,1,0.0,0,1,,0.0,0,0
9,Korea,2,0.0,1,0,,0.0,1,0
10,Other Asian Countries,56,0.7,35,7,,2.0,3,9
11,UK,36,0.4,18,0,,2.0,2,14
12,Germany,43,0.5,31,3,,0.0,1,8
13,France,5,0.1,1,0,,1.0,1,2
14,Italy,7,0.1,3,1,,0.0,0,3
15,Other European Countries,59,0.7,43,2,-,,2,12
16,All African Countries,5,0.1,1,1,-,,-,3
17,United States of America,"1,059",13.1,413,41,,15.0,17,573
18,Canada,21,0.3,5,0,,0.0,2,14
19,Other American Countries,17,0.2,9,1,,1.0,-,6
