,Country,Total,Distribution,Vacation,,Stated,Conference,Friends
0,Australia,"1,583",20.1,875,188.0,159,74,287
1,New Zealand,"2,908",36.9,"1,350",236.0,445,60,817
2,Fiji,229,2.9,72,74.0,16,47,20
3,American Samoa,7,0.1,4,0.0,0,1,1
4,Western Samoa,16,0.2,7,5.0,0,2,2
5,Other Pacific Islands,65,0.8,11,16.0,6,18,16
6,Japan,234,3.0,135,11.0,51,19,19
7,China,338,4.3,250,38.0,19,18,14
8,India,11,0.1,4,1.0,1,3,1
9,Korea,36,0.5,26,4.0,4,0,1
10,Other Asian Countries,215,2.7,150,25.0,12,11,17
11,UK,199,2.5,152,11.0,12,4,19
12,Germany,139,1.8,113,4.0,14,0,8
13,France,108,1.4,73,18.0,9,7,2
14,Italy,87,1.1,62,1.0,24,0,0
15,Other European Countries,335,4.2,272,9.0,52,1,1
16,All African Countries,21,0.3,3,9.0,2,3,3
17,United States of America,"1,261",16.0,718,131.0,124,14,274
18,Canada,61,0.8,56,0.0,4,1,0
19,Other American Countries,36,0.5,30,1.0,4,1,0
