,Country,Total,Distribution,Vacation,Reasons,,Conference,Friends
0,Australia,634,21.5,123,55,124,28,304
1,New Zealand,"1,405",47.7,234,68,194,95,814
2,Fiji,104,3.5,4,35,9,38,18
3,American Samoa,6,0.2,,-,-,-,6
4,Western Samoa,14,0.5,1,-,2,6,5
5,Other Pacific Islands,25,0.8,-,6,3,5,11
6,Japan,67,2.3,19,12,7,4,25
7,China,65,2.2,5,8,26,13,13
8,India,5,0.2,,3,-,1,1
9,Korea,1,0.0,,-,-,-,1
10,Other Asian Countries,17,0.6,5,4,2,3,3
11,UK,38,1.3,16,3,10,4,5
12,Germany,65,2.2,49,-,11,-,5
13,France,17,0.6,12,-,4,-,1
14,Italy,13,0.4,8,-,2,3,0
15,Other European Countries,96,3.3,67,2,21,3,3
16,All African Countries,2,0.1,,-,-,-,2
17,United States of America,351,11.9,49,15,70,14,203
18,Canada,14,0.5,9,-,2,-,3
19,Other American Countries,5,0.2,3,-,2,-,-
