,Country,Total,Distribution,Vacation,Reasons,,,Conference,Friends
0,Australia,439,17.7,107,42,,26.0,62,202
1,New Zealand,"1,093",44.0,272,139,,26.0,122,534
2,Fiji,133,5.4,17,24,,5.0,74,13
3,American Samoa,8,0.3,2,-,,2.0,-,4
4,Western Samoa,26,1.0,,6,,,14,6
5,Other Pacific Islands,40,1.6,-,11,,2.0,23,4
6,Japan,65,2.6,31,3,,5.0,12,14
7,China,90,3.6,7,19,,15.0,38,11
8,India,3,0.1,1,2,,,-,0
9,Korea,4,0.2,,1,,,3,0
10,Other Asian Countries,24,1.0,8,2,-,,13,1
11,UK,33,1.3,23,6,,,1,3
12,Germany,79,3.2,68,2,,,2,7
13,France,7,0.3,4,-,,,3,0
14,Italy,7,0.3,5,-,,,-,2
15,Other European Countries,63,2.5,45,7,,1.0,4,6
16,All African Countries,2,0.1,-,-,-,,2,-
17,United States of America,322,13.0,73,41,,15.0,22,171
18,Canada,22,0.9,13,4,,,-,5
19,Other American Countries,24,1.0,13,3,,1.0,-,7
