,Country,Total,Distribution,Vacation,Reasons,,,Conference,Friends
0,Australia,"1,019",21.4,563,17,,12.0,54,373
1,New Zealand,"2,282",48.0,"1,078",22,,38.0,142,"1,002"
2,Fiji,121,2.5,32,7,,2.0,52,28
3,American Samoa,1,0.0,-,-,-,,-,1
4,Western Samoa,35,0.7,16,-,,2.0,8,9
5,Other Pacific Islands,40,0.8,13,1,-,,21,5
6,Japan,68,1.4,52,4,-,,4,8
7,China,66,1.4,30,9,-,,14,13
8,India,4,0.1,-,-,-,,4,-
9,Korea,4,0.1,3,-,-,,-,1
10,Other Asian Countries,71,1.5,53,-,,1.0,7,10
11,UK,132,2.8,94,4,-,,8,26
12,Germany,127,2.7,113,2,-,,4,8
13,France,53,1.1,29,5,-,,16,3
14,Italy,27,0.6,26,-,-,,-,1
15,Other European Countries,144,3.0,127,1,,1.0,2,13
16,All African Countries,5,0.1,4,-,-,,1,-
17,United States of America,490,10.3,251,10,,8.0,33,188
18,Canada,37,0.8,24,1,-,,4,8
19,Other American Countries,27,0.6,12,1,-,,1,13
