,Country,Total,Distribution,Vacation,Reasons,Stated,Conference,Friends
0,Australia,766,20.1,122,22,172,142,308
1,New Zealand,"1,894",49.6,257,55,605,233,743
2,Fiji,153,4.0,7,19,54,50,22
3,American Samoa,17,0.4,1,1,1,7,6
4,Western Samoa,29,0.7,1,1,4,14,8
5,Other Pacific Islands,64,1.7,3,1,15,33,12
6,Japan,27,0.7,2,4,14,2,4
7,China,55,1.4,4,10,39,1,1
8,India,8,0.2,-,2,6,-,-
9,Korea,16,0.4,6,2,5,1,1
10,Other Asian Countries,58,1.5,6,4,35,10,3
11,UK,48,1.2,18,4,20,1,4
12,Germany,59,1.6,38,-,19,-,2
13,France,31,0.8,15,-,14,1,1
14,Italy,11,0.3,8,-,1,1,-
15,Other European Countries,68,1.8,41,1,21,1,3
16,All African Countries,3,0.1,-,-,2,-,1
17,United States of America,478,12.5,50,10,93,91,234
18,Canada,28,0.7,1,2,19,4,1
19,Other American Countries,8,0.2,7,-,-,1,-
