,Country,Total,Distribution,Vacation,Reasons,,,Conference,Friends
0,Australia,"1,106",21.2,324,64,,19.0,137,562
1,New Zealand,"2,374",45.5,596,153,,10.0,240,"1,375"
2,Fiji,246,4.7,50,32,-,,60,104
3,American Samoa,37,0.7,8,-,,1.0,8,20
4,Western Samoa,19,0.4,2,1,-,,5,11
5,Other Pacific Islands,41,0.8,5,5,-,,20,11
6,Japan,31,0.6,17,3,-,,4,7
7,China,157,3.0,52,25,,1.0,49,30
8,India,4,0.1,,-,-,,1,3
9,Korea,5,0.1,,-,-,,4,1
10,Other Asian Countries,45,0.9,15,15,-,,9,6
11,UK,63,1.2,31,8,-,,3,21
12,Germany,52,1.0,43,-,-,,1,8
13,France,23,0.4,14,-,-,,1,8
14,Italy,13,0.2,10,2,-,,1,0
15,Other European Countries,82,1.6,48,14,-,,3,17
16,All African Countries,6,0.1,-,2,-,,1,3
17,United States of America,901,17.3,165,93,,2.0,88,553
18,Canada,10,0.2,5,3,-,,-,2
19,Other American Countries,5,0.1,1,1,-,,1,2
