,Country,Total,Distribution,Vacation,Reasons,,,Conference,Friends
0,Australia,"1,052",20.7,588,12,,12.0,97,344
1,New Zealand,"2,102",41.3,"1,023",28,,32.0,173,847
2,Fiji,192,3.8,19,36,,3.0,96,38
3,American Samoa,1,0.0,1,-,-,,-,-
4,Western Samoa,33,0.7,7,3,-,,15,9
5,Other Pacific Islands,49,1.0,19,1,,9.0,16,4
6,Japan,102,2.0,61,4,-,,28,9
7,China,65,1.3,16,1,-,,36,12
8,India,4,0.1,-,1,-,,3,-
9,Korea,12,0.2,6,-,-,,6,-
10,Other Asian Countries,103,2.0,73,1,-,,23,6
11,UK,148,2.9,110,-,,3.0,7,28
12,Germany,151,3.0,129,4,,4.0,4,9
13,France,71,1.4,67,-,,1.0,1,1
14,Italy,41,0.8,41,-,-,,-,-
15,Other European Countries,181,3.6,173,1,,3.0,1,3
16,All African Countries,10,0.2,9,-,-,,-,1
17,United States of America,712,14.0,382,19,,16.0,23,273
18,Canada,36,0.7,26,4,-,,-,6
19,Other American Countries,23,0.5,16,3,-,,1,3
