,Country,Total,Distribution,Vacation,Reasons,,,Conference,Friends
0,Australia,"1,217",19.9,556,71,,5.0,91,494
1,New Zealand,"2,823",46.3,"1,077",203,,2.0,121,"1,420"
2,Fiji,206,3.4,21,49,-,,66,70
3,American Samoa,10,0.2,-,-,-,,-,10
4,Western Samoa,25,0.4,-,5,-,,11,9
5,Other Pacific Islands,94,1.5,5,11,-,,41,37
6,Japan,74,1.2,24,5,-,,10,35
7,China,98,1.6,15,25,-,,30,28
8,India,15,0.2,13,-,-,,-,2
9,Korea,20,0.3,10,-,-,,3,7
10,Other Asian Countries,74,1.2,40,5,-,,14,15
11,UK,137,2.2,67,11,-,,25,34
12,Germany,68,1.1,53,-,,1.0,4,10
13,France,50,0.8,27,3,-,,6,14
14,Italy,17,0.3,15,-,-,,-,2
15,Other European Countries,155,2.5,114,2,-,,8,31
16,All African Countries,9,0.1,5,1,-,,2,1
17,United States of America,963,15.8,246,64,-,,37,616
18,Canada,28,0.5,14,2,-,,3,9
19,Other American Countries,20,0.3,8,2,-,,2,8
