,Country,Total,Distribution,Vacation,Reasons,,Conference,Friends
0,Australia,"1,810",24.8,435,12,-,74,"1,289"
1,New Zealand,"4,215",57.7,823,31,5,113,"3,243"
2,Fiji,171,2.3,28,20,-,59,64
3,American Samoa,17,0.2,3,-,-,-,14
4,Western Samoa,27,0.4,10,1,-,3,13
5,Other Pacific Islands,49,0.7,6,5,-,7,31
6,Japan,41,0.6,18,-,-,10,13
7,China,18,0.2,2,10,-,5,1
8,India,3,0.0,1,-,-,1,1
9,Korea,7,0.1,1,-,-,1,5
10,Other Asian Countries,35,0.5,16,-,-,12,7
11,UK,43,0.6,25,-,-,1,17
12,Germany,28,0.4,26,1,-,-,1
13,France,17,0.2,6,2,-,4,5
14,Italy,8,0.1,6,-,-,-,2
15,Other European Countries,38,0.5,28,1,-,1,8
16,All African Countries,2,0.0,-,-,-,-,2
17,United States of America,761,10.4,165,7,2,39,548
18,Canada,6,0.1,1,-,-,-,5
19,Other American Countries,5,0.1,4,-,-,-,1
