,Country,Total,Distribution,Vacation,Reasons,,,Conference,Friends
0,Australia,549,16.8,191,66,,1.0,52,239
1,New Zealand,"1,572",48.2,621,129,,2.0,119,701
2,Fiji,191,5.9,25,28,-,,95,43
3,American Samoa,8,0.2,1,-,-,,1,6
4,Western Samoa,23,0.7,5,1,-,,11,6
5,Other Pacific Islands,54,1.7,3,13,-,,29,9
6,Japan,67,2.1,19,9,-,,9,30
7,China,55,1.7,18,15,-,,13,9
8,India,9,0.3,2,-,-,,2,5
9,Korea,38,1.2,33,-,-,,2,3
10,Other Asian Countries,47,1.4,19,7,-,,11,10
11,UK,58,1.8,35,3,-,,2,18
12,Germany,78,2.4,64,3,,1.0,3,7
13,France,9,0.3,8,-,-,,1,-
14,Italy,3,0.1,3,-,-,,-,-
15,Other European Countries,99,3.0,67,4,-,,10,18
16,All African Countries,5,0.2,-,3,-,,2,-
17,United States of America,357,11.0,92,38,-,,40,187
18,Canada,24,0.7,22,-,-,,1,1
19,Other American Countries,13,0.4,6,1,,1.0,5,-
