,Country,Total,Distribution,Vacation,Reasons,,,Conference,Friends
0,Australia,692,20.4,257,16,,13.0,89,317
1,New Zealand,"1,718",50.6,609,34,,90.0,154,831
2,Fiji,91,2.7,17,6,,9.0,32,27
3,American Samoa,-,-,-,-,-,,-,-
4,Western Samoa,17,0.5,-,-,-,,13,4
5,Other Pacific Islands,40,1.2,6,-,,1.0,22,11
6,Japan,32,0.9,13,-,,6.0,7,6
7,China,42,1.2,7,3,,6.0,10,16
8,India,5,0.1,1,1,-,,-,3
9,Korea,27,0.8,26,-,,1.0,-,-
10,Other Asian Countries,39,1.1,20,-,-,,8,11
11,UK,33,1.0,20,1,-,,6,6
12,Germany,40,1.2,24,-,,10.0,3,3
13,France,22,0.6,7,-,-,,14,1
14,Italy,10,0.3,3,-,-,,3,4
15,Other European Countries,73,2.2,67,-,,3.0,3,-
16,All African Countries,1,0.0,1,-,-,,-,-
17,United States of America,485,14.3,136,22,,10.0,49,268
18,Canada,14,0.4,10,-,-,,1,3
19,Other American Countries,14,0.4,3,-,,3.0,4,4
