,Country,Total,Distribution,Vacation,Reasons,,,Conference,Friends
0,Australia,827,20.5,415,25,,31.0,47,309
1,New Zealand,"2,015",49.9,"1,108",39,,32.0,92,744
2,Fiji,108,2.7,30,10,,9.0,39,20
3,American Samoa,-,-,-,-,-,,-,-
4,Western Samoa,16,0.4,5,1,-,,7,3
5,Other Pacific Islands,75,1.9,6,18,,4.0,33,14
6,Japan,89,2.2,14,51,,1.0,14,9
7,China,71,1.8,19,27,,4.0,10,11
8,India,7,0.2,4,2,-,,1,-
9,Korea,26,0.6,11,2,-,,12,1
10,Other Asian Countries,30,0.7,20,2,-,,5,3
11,UK,57,1.4,49,2,-,,3,3
12,Germany,86,2.1,71,2,,3.0,1,9
13,France,32,0.8,28,2,-,,2,-
14,Italy,19,0.5,18,-,-,,-,1
15,Other European Countries,135,3.3,127,2,-,,3,3
16,All African Countries,1,0.0,-,-,-,,-,1
17,United States of America,391,9.7,175,16,,12.0,30,158
18,Canada,35,0.9,32,-,-,,1,2
19,Other American Countries,17,0.4,12,-,,3.0,1,1
