,Country,Total,Distribution,Vacation,Reasons,,,Conference,Friends
0,Australia,658,21.3,297,29,,4.0,78,250
1,New Zealand,"1,426",46.2,387,40,,10.0,133,856
2,Fiji,136,4.4,13,18,-,,67,38
3,American Samoa,-,-,-,-,-,,-,-
4,Western Samoa,24,0.8,5,2,-,,12,5
5,Other Pacific Islands,70,2.3,8,3,-,,54,5
6,Japan,50,1.6,31,4,,1.0,5,9
7,China,50,1.6,17,3,-,,24,6
8,India,1,0.0,-,-,-,,1,-
9,Korea,14,0.5,3,-,-,,1,10
10,Other Asian Countries,41,1.3,8,2,-,,21,10
11,UK,41,1.3,31,1,-,,4,5
12,Germany,60,1.9,52,-,-,,8,0
13,France,25,0.8,11,7,-,,4,3
14,Italy,7,0.2,7,-,-,,-,-
15,Other European Countries,74,2.4,53,-,-,,13,8
16,All African Countries,5,0.2,3,-,-,,2,-
17,United States of America,385,12.5,120,8,,4.0,12,241
18,Canada,15,0.5,14,-,-,,-,1
19,Other American Countries,6,0.2,3,-,-,,1,2
