,Country,Total,Distribution,Vacation,Reasons,Stated,Conference,Friends
0,Australia,-,-,-,-,-,-,-
1,New Zealand,14,7 7.8,3,-,-,-,11
2,Fiji,-,-,-,-,-,-,-
3,American Samoa,-,-,-,-,-,-,-
4,Western Samoa,-,-,-,-,-,-,-
5,Other Pacific Islands,3,1 6.7,-,2,-,-,1
6,Japan,-,-,-,-,-,-,-
7,China,-,-,-,-,-,-,-
8,India,-,-,-,-,-,-,-
9,Korea,-,-,-,-,-,-,-
10,Other Asian Countries,-,-,-,-,-,-,-
11,UK,-,-,-,-,-,-,-
12,Germany,-,-,-,-,-,-,-
13,Total,-,-,-,-,-,-,-
14,Italy,-,-,-,-,-,-,-
15,Other European Countries,-,-,-,-,-,-,-
16,All African Countries,-,-,-,-,-,-,-
17,United States of America,1,5.6,-,-,-,-,1
18,Canada,-,-,-,-,-,-,-
19,Other American Countries,-,-,-,-,-,-,-
