,Country,Total,Distribution,Vacation,Reasons,Stated,Conference,Friends
0,Australia,"1,281",21.5,447,53,237,77,467
1,New Zealand,"2,903",48.7,805,91,682,246,"1,079"
2,Fiji,198,3.3,29,36,34,55,44
3,American Samoa,21,0.4,-,-,7,-,14
4,Western Samoa,31,0.5,1,5,2,19,4
5,Other Pacific Islands,96,1.6,5,12,12,43,24
6,Japan,111,1.9,14,63,13,10,11
7,China,125,2.1,18,31,16,34,26
8,India,7,0.1,2,2,-,2,1
9,Korea,23,0.4,8,-,2,10,3
10,Other Asian Countries,52,0.9,19,4,5,13,11
11,UK,90,1.5,36,9,25,4,16
12,Germany,73,1.2,43,-,15,-,15
13,France,39,0.7,17,8,4,2,8
14,Italy,8,0.1,3,-,3,1,1
15,Other European Countries,127,2.1,79,7,21,2,18
16,All African Countries,12,0.2,3,-,5,-,4
17,United States of America,719,12.1,232,40,147,27,273
18,Canada,26,0.4,12,4,4,1,5
19,Other American Countries,19,0.3,8,-,3,1,7
