,Country,Total,Distribution,Vacation,Reasons,,,Conference,Friends
0,Australia,739,21.2,145,40,,1.0,87,466
1,New Zealand,"1,670",47.9,320,35,,9.0,197,"1,109"
2,Fiji,219,6.3,11,23,,1.0,113,71
3,American Samoa,5,0.1,,-,-,,1,4
4,Western Samoa,19,0.5,1,2,-,,7,9
5,Other Pacific Islands,44,1.3,2,-,-,,28,14
6,Japan,49,1.4,28,1,-,,19,1
7,China,32,0.9,9,5,-,,8,10
8,India,12,0.3,2,-,-,,6,4
9,Korea,14,0.4,3,-,-,,5,6
10,Other Asian Countries,44,1.3,28,-,-,,9,7
11,UK,56,1.6,40,1,-,,8,7
12,Germany,41,1.2,39,-,-,,1,1
13,France,13,0.4,9,-,-,,3,1
14,Italy,3,0.1,1,-,-,,2,0
15,Other European Countries,76,2.2,67,-,-,,2,7
16,All African Countries,3,0.1,2,-,-,,1,-
17,United States of America,420,12.0,88,20,,2.0,26,284
18,Canada,21,0.6,15,-,-,,3,3
19,Other American Countries,8,0.2,8,-,-,,-,-
