,Country,Total,Distribution,Vacation,Reasons,,Conference,Friends
0,Australia,911,20.4,280,67,79,137,348
1,New Zealand,"2,166",48.5,627,144,126,385,883
2,Fiji,126,2.8,17,26,8,49,26
3,American Samoa,9,0.2,-,-,1,3,5
4,Western Samoa,16,0.4,-,-,-,6,10
5,Other Pacific Islands,43,1.0,13,6,3,6,14
6,Japan,41,0.9,11,3,8,11,7
7,China,57,1.3,8,2,8,33,6
8,India,1,0.0,-,-,-,1,-
9,Korea,3,0.1,2,-,-,-,1
10,Other Asian Countries,33,0.7,11,7,3,9,2
11,UK,38,0.8,27,7,-,1,3
12,Germany,42,0.9,37,3,1,-,1
13,France,19,0.4,14,1,1,1,2
14,Italy,13,0.3,11,-,2,-,-
15,Other European Countries,66,1.5,58,-,-,2,5
16,All African Countries,-,-,-,-,-,-,-
17,United States of America,793,17.8,183,90,53,95,372
18,Canada,50,1.1,42,4,-,1,3
19,Other American Countries,35,0.8,16,-,1,3,14
