,Country,Total,Distribution,Vacation,Reasons,,Conference,Friends
0,Australia,909,18.9,501,43,33,52,280
1,New Zealand,"2,062",42.9,915,142,143,109,753
2,Fiji,169,3.5,38,20,7,78,26
3,American Samoa,24,0.5,-,14,-,1,9
4,Western Samoa,32,0.7,2,24,-,6,-
5,Other Pacific Islands,83,1.7,19,24,3,14,23
6,Japan,132,2.7,95,8,3,8,18
7,China,109,2.3,26,22,7,46,8
8,India,6,0.1,2,2,-,2,-
9,Korea,22,0.5,14,3,-,-,5
10,Other Asian Countries,83,1.7,58,2,8,8,7
11,UK,93,1.9,68,4,7,7,7
12,Germany,122,2.5,103,2,7,1,9
13,France,69,1.4,33,19,12,2,3
14,Italy,31,0.6,30,1,-,-,-
15,Other European Countries,166,3.5,135,-,18,1,12
16,All African Countries,4,0.1,2,1,-,-,1
17,United States of America,658,13.7,296,81,50,52,179
18,Canada,24,0.5,18,2,2,1,1
19,Other American Countries,11,0.2,7,1,1,1,1
