,Country,Total,Distribution,Vacation,Reasons,,,Conference,Friends
0,Australia,426,15.2,130,23,,5.0,73,195
1,New Zealand,"1,306",46.7,418,33,,28.0,132,695
2,Fiji,143,5.1,8,9,,,74,52
3,American Samoa,2,0.1,-,-,-,,-,2
4,Western Samoa,31,1.1,3,1,-,,22,5
5,Other Pacific Islands,131,4.7,3,7,,1.0,110,10
6,Japan,73,2.6,37,5,,1.0,12,18
7,China,33,1.2,15,1,,2.0,11,4
8,India,4,0.1,,1,,1.0,1,1
9,Korea,7,0.3,-,-,-,,-,7
10,Other Asian Countries,23,0.8,8,-,-,,10,5
11,UK,45,1.6,32,2,,1.0,6,4
12,Germany,53,1.9,44,-,,1.0,5,3
13,France,22,0.8,9,-,-,,12,1
14,Italy,4,0.1,1,-,-,,3,-
15,Other European Countries,84,3.0,76,1,-,,3,4
16,All African Countries,2,0.1,1,-,-,,1,-
17,United States of America,370,13.2,83,16,,6.0,24,241
18,Canada,21,0.8,14,1,-,,4,2
19,Other American Countries,17,0.6,5,1,-,,5,6
