,Country,Total,Distribution,Vacation,Reasons,,Conference,Friends
0,Australia,"1,039",24.8,280,130,26,138,464
1,New Zealand,"2,188",52.2,473,237,110,389,979
2,Fiji,121,2.9,26,28,7,38,21
3,American Samoa,3,0.1,-,-,-,1,2
4,Western Samoa,3,0.1,-,2,-,1,-
5,Other Pacific Islands,37,0.9,8,6,3,13,6
6,Japan,26,0.6,16,2,1,2,5
7,China,60,1.4,19,1,11,27,1
8,India,3,0.1,2,-,-,1,-
9,Korea,2,0.0,2,-,-,-,-
10,Other Asian Countries,17,0.4,7,3,-,6,1
11,UK,44,1.0,33,5,-,2,4
12,Germany,50,1.2,46,-,2,-,2
13,France,16,0.4,10,4,-,1,1
14,Italy,14,0.3,14,-,-,-,-
15,Other European Countries,71,1.7,66,-,2,-,3
16,All African Countries,5,0.1,2,-,2,-,1
17,United States of America,424,10.1,120,84,18,26,175
18,Canada,24,0.6,19,2,-,3,-
19,Other American Countries,42,1.0,12,-,1,-,28
