,date,year,month,total
0,2009-01-01,2009,1.0,1602
12,2009-02-01,2009,2.0,1422
24,2009-03-01,2009,3.0,1249
36,2009-04-01,2009,4.0,1499
48,2009-05-01,2009,5.0,1393
60,2009-06-01,2009,6.0,1724
72,2009-07-01,2009,7.0,1603
84,2009-08-01,2009,8.0,1520
96,2009-09-01,2009,9.0,1659
108,2009-10-01,2009,10.0,1709
120,2009-11-01,2009,11.0,1475
132,2009-12-01,2009,12.0,1405
1,2010-01-01,2010,1.0,1235
13,2010-02-01,2010,2.0,1209
25,2010-03-01,2010,3.0,1766
37,2010-04-01,2010,4.0,1820
49,2010-05-01,2010,5.0,1137
61,2010-06-01,2010,6.0,1797
73,2010-07-01,2010,7.0,2264
85,2010-08-01,2010,8.0,1845
97,2010-09-01,2010,9.0,2153
109,2010-10-01,2010,10.0,1813
121,2010-11-01,2010,11.0,1624
133,2010-12-01,2010,12.0,1858
2,2011-01-01,2011,1.0,1600
14,2011-02-01,2011,2.0,1658
26,2011-03-01,2011,3.0,1861
38,2011-04-01,2011,4.0,1736
50,2011-05-01,2011,5.0,1760
62,2011-06-01,2011,6.0,2009
74,2011-07-01,2011,7.0,2185
86,2011-08-01,2011,8.0,1900
98,2011-09-01,2011,9.0,2159
110,2011-10-01,2011,10.0,1931
122,2011-11-01,2011,11.0,2195
134,2011-12-01,2011,12.0,1947
3,2012-01-01,2012,1.0,1383
15,2012-02-01,2012,2.0,1591
27,2012-03-01,2012,3.0,1677
39,2012-04-01,2012,4.0,1839
51,2012-05-01,2012,5.0,1968
63,2012-06-01,2012,6.0,3122
75,2012-07-01,2012,7.0,2865
87,2012-08-01,2012,8.0,2133
99,2012-09-01,2012,9.0,2309
111,2012-10-01,2012,10.0,1929
123,2012-11-01,2012,11.0,1545
135,2012-12-01,2012,12.0,1564
4,2013-01-01,2013,1.0,1590
16,2013-02-01,2013,2.0,1544
28,2013-03-01,2013,3.0,2184
40,2013-04-01,2013,4.0,2021
52,2013-05-01,2013,5.0,1857
64,2013-06-01,2013,6.0,2317
76,2013-07-01,2013,7.0,2574
88,2013-08-01,2013,8.0,2022
100,2013-09-01,2013,9.0,2291
112,2013-10-01,2013,10.0,2057
124,2013-11-01,2013,11.0,1981
136,2013-12-01,2013,12.0,1993
5,2014-01-01,2014,1.0,1415
17,2014-02-01,2014,2.0,1523
29,2014-03-01,2014,3.0,1816
41,2014-04-01,2014,4.0,1514
53,2014-05-01,2014,5.0,1462
65,2014-06-01,2014,6.0,1949
77,2014-07-01,2014,7.0,2114
89,2014-08-01,2014,8.0,1639
101,2014-09-01,2014,9.0,1730
113,2014-10-01,2014,10.0,1798
125,2014-11-01,2014,11.0,1515
137,2014-12-01,2014,12.0,1595
6,2015-01-01,2015,1.0,1259
18,2015-02-01,2015,2.0,1465
30,2015-03-01,2015,3.0,1675
42,2015-04-01,2015,4.0,1750
54,2015-05-01,2015,5.0,1681
66,2015-06-01,2015,6.0,2131
78,2015-07-01,2015,7.0,2077
90,2015-08-01,2015,8.0,1426
102,2015-09-01,2015,9.0,2211
114,2015-10-01,2015,10.0,1748
126,2015-11-01,2015,11.0,2101
138,2015-12-01,2015,12.0,2099
7,2016-01-01,2016,1.0,1655
19,2016-02-01,2016,2.0,1707
31,2016-03-01,2016,3.0,1675
43,2016-04-01,2016,4.0,1799
55,2016-05-01,2016,5.0,1896
67,2016-06-01,2016,6.0,1984
79,2016-07-01,2016,7.0,2319
91,2016-08-01,2016,8.0,1918
103,2016-09-01,2016,9.0,1428
115,2016-10-01,2016,10.0,2257
127,2016-11-01,2016,11.0,2199
139,2016-12-01,2016,12.0,2357
8,2017-01-01,2017,1.0,1514
20,2017-02-01,2017,2.0,1635
32,2017-03-01,2017,3.0,1732
44,2017-04-01,2017,4.0,2013
56,2017-05-01,2017,5.0,1851
68,2017-06-01,2017,6.0,2561
80,2017-07-01,2017,7.0,2295
92,2017-08-01,2017,8.0,2589
104,2017-09-01,2017,9.0,2397
116,2017-10-01,2017,10.0,2500
128,2017-11-01,2017,11.0,2317
140,2017-12-01,2017,12.0,2305
9,2018-01-01,2018,1.0,2081
21,2018-02-01,2018,2.0,1855
33,2018-03-01,2018,3.0,2360
45,2018-04-01,2018,4.0,2250
57,2018-05-01,2018,5.0,2003
69,2018-06-01,2018,6.0,2768
81,2018-07-01,2018,7.0,2862
93,2018-08-01,2018,8.0,2313
105,2018-09-01,2018,9.0,2663
117,2018-10-01,2018,10.0,2366
129,2018-11-01,2018,11.0,2044
141,2018-12-01,2018,12.0,2301
10,2019-01-01,2019,1.0,1750
22,2019-02-01,2019,2.0,1891
34,2019-03-01,2019,3.0,2378
46,2019-04-01,2019,4.0,2106
58,2019-05-01,2019,5.0,2434
70,2019-06-01,2019,6.0,2523
82,2019-07-01,2019,7.0,2537
94,2019-08-01,2019,8.0,2484
106,2019-09-01,2019,9.0,2695
118,2019-10-01,2019,10.0,2761
130,2019-11-01,2019,11.0,2295
142,2019-12-01,2019,12.0,3053
11,2020-01-01,2020,1.0,1857
23,2020-02-01,2020,2.0,1471
35,2020-03-01,2020,3.0,752
47,2020-04-01,2020,4.0,2
59,2020-05-01,2020,5.0,23
71,2020-06-01,2020,6.0,24
83,2020-07-01,2020,7.0,52
95,2020-08-01,2020,8.0,39
107,2020-09-01,2020,9.0,103
119,2020-10-01,2020,10.0,60
131,2020-11-01,2020,11.0,16
143,2020-12-01,2020,12.0,41
