,Year,Month,Number_of_flights_intl,Number_of_flights_total,Seats_arrivals_intl,Seats_arrivals_total,Total
0,2019,1,69.0,69.0,10036.0,10036.0,1750.0
1,2019,2,66.0,66.0,9471.0,9471.0,1891.0
2,2019,3,69.0,71.0,9693.0,9965.0,2378.0
3,2019,4,66.0,71.0,9532.0,10212.0,2106.0
4,2019,5,69.0,73.0,9859.0,10403.0,2434.0
5,2019,6,66.0,70.0,9529.0,10073.0,2523.0
6,2019,7,64.0,64.0,9521.0,9521.0,2537.0
7,2019,8,66.0,66.0,9338.0,9338.0,2484.0
8,2019,9,62.0,65.0,9218.0,9626.0,2695.0
9,2019,10,69.0,72.0,10074.0,10482.0,2761.0
10,2019,11,75.0,79.0,11255.0,11799.0,2295.0
11,2019,12,70.0,74.0,10737.0,11281.0,3053.0
12,2020,1,71.0,74.0,11146.0,11554.0,1857.0
13,2020,2,50.0,51.0,6322.0,6402.0,1471.0
14,2020,3,53.0,54.0,6802.0,6946.0,752.0
15,2020,4,4.0,4.0,510.0,510.0,2.0
16,2020,5,5.0,5.0,680.0,680.0,23.0
17,2020,6,6.0,6.0,824.0,824.0,24.0
18,2020,7,9.0,9.0,1224.0,1224.0,52.0
19,2020,8,6.0,6.0,816.0,816.0,39.0
20,2020,9,13.0,13.0,1692.0,1692.0,103.0
21,2020,10,6.0,6.0,816.0,816.0,60.0
22,2020,11,10.0,10.0,1244.0,1244.0,16.0
23,2020,12,16.0,16.0,2238.0,2238.0,41.0
