,inflation,date,economy,inflation_rate,rate,policy,interest,unemployment,consumer_price_index,economics,gross_domestic_product,interest_rate,central_bank,demand,income,monetary_policy,trade,theory,statistics,food,price,purchasing_power,purchasing,philippines,samsung,share_price,share,iphone,trends
0,0,2015-01-01,0,0,0,96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0,0,0,31,0,0,0,158
1,0,2015-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,42,67
2,0,2015-03-01,0,0,31,0,0,0,0,0,0,0,0,0,0,0,71,54,0,41,20,0,0,0,35,0,0,40,292
3,0,2015-04-01,65,0,44,75,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,208
4,0,2015-05-01,0,0,0,59,0,0,0,0,0,0,0,0,0,0,0,0,0,35,23,0,0,43,40,0,0,43,243
5,0,2015-06-01,64,0,35,0,0,0,0,0,0,0,100,0,0,0,0,0,0,29,26,0,0,0,20,0,0,0,274
6,0,2015-07-01,0,0,0,89,0,63,0,0,0,0,0,100,0,0,0,0,0,24,56,0,0,0,61,0,0,39,432
7,0,2015-08-01,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,0,0,49,30,0,0,0,163
8,100,2015-09-01,0,0,69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,28,0,0,46,46,0,0,62,377
9,76,2015-10-01,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,43,0,0,60,0,0,0,38,273
10,0,2015-11-01,0,0,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,38,0,0,0,34,0,0,0,166
11,0,2015-12-01,0,0,0,0,0,0,0,0,0,0,0,0,78,0,0,0,0,0,44,0,0,0,51,0,0,72,245
12,0,2016-01-01,0,0,0,0,0,0,0,0,0,0,0,0,66,0,0,0,0,21,39,0,0,41,41,0,0,0,208
13,0,2016-02-01,0,0,32,0,0,0,0,72,0,0,0,0,0,0,0,36,0,19,36,0,0,0,26,0,0,50,271
14,0,2016-03-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,32,0,0,36,32,0,0,31,172
15,0,2016-04-01,0,0,38,34,0,38,0,84,0,0,0,0,43,0,0,0,0,18,40,0,100,53,29,0,0,39,516
16,0,2016-05-01,0,0,61,0,32,0,0,0,0,0,0,0,0,0,0,21,0,23,39,0,0,43,44,0,0,36,299
17,0,2016-06-01,0,0,43,71,0,0,0,0,0,0,0,0,0,0,40,0,0,0,24,0,0,40,31,0,0,35,284
18,0,2016-07-01,0,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,26,0,0,33,27,0,0,27,177
19,0,2016-08-01,0,0,35,37,0,0,0,0,0,0,0,0,0,0,34,0,0,35,42,0,0,47,32,0,0,32,294
20,0,2016-09-01,0,0,65,74,0,0,0,0,0,0,0,0,43,0,42,0,0,20,27,0,0,0,32,0,54,0,357
21,0,2016-10-01,0,0,49,64,0,0,0,0,0,0,0,0,0,0,50,0,0,24,24,0,0,56,35,0,56,31,389
22,0,2016-11-01,0,0,49,37,0,0,0,0,0,0,0,0,0,0,0,0,0,14,45,0,0,0,37,0,0,29,211
23,0,2016-12-01,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,29,0,0,0,34,0,0,0,121
24,0,2017-01-01,0,0,28,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0,42,28,0,0,43,211
25,0,2017-02-01,0,0,27,0,44,0,59,68,0,0,0,0,0,0,0,0,0,0,26,0,0,51,40,0,0,32,347
26,0,2017-03-01,0,0,53,0,0,0,0,0,0,0,0,0,44,0,39,39,0,31,33,0,0,54,28,0,0,30,351
27,0,2017-04-01,0,0,58,0,37,0,0,0,0,0,0,0,51,0,35,31,0,37,32,0,0,45,40,0,76,32,474
28,0,2017-05-01,0,0,32,47,0,0,0,0,0,0,0,0,0,0,0,0,75,27,46,0,0,41,34,0,0,38,340
29,0,2017-06-01,45,0,49,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,36,0,0,24,222
30,0,2017-07-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,27,0,0,0,36,0,0,56,144
31,0,2017-08-01,0,0,35,32,29,47,0,0,0,0,0,0,0,0,0,20,0,27,24,0,0,70,36,0,0,37,357
32,0,2017-09-01,56,0,82,55,38,68,0,0,0,0,0,0,67,0,0,0,57,36,28,0,0,0,32,0,0,71,590
33,0,2017-10-01,0,0,41,52,0,0,0,0,0,0,0,0,0,0,45,0,0,30,39,0,0,28,64,0,0,29,328
34,0,2017-11-01,0,0,48,59,48,0,0,0,0,0,0,0,0,0,0,0,0,27,36,0,0,52,37,0,57,40,404
35,0,2017-12-01,0,0,31,0,0,0,0,0,0,0,0,0,64,0,0,0,0,27,38,0,0,59,24,0,0,38,281
36,0,2018-01-01,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,37,0,0,74,33,0,71,0,273
37,0,2018-02-01,0,0,53,0,0,0,0,66,0,0,0,0,0,0,0,0,0,38,37,0,0,49,35,0,56,23,357
38,0,2018-03-01,0,0,41,66,28,0,0,0,0,0,0,0,65,0,28,56,0,44,25,0,0,35,41,0,0,31,460
39,43,2018-04-01,50,0,62,91,33,0,0,0,0,0,0,0,0,0,36,43,0,59,37,0,0,43,33,0,48,38,616
