,Year,Month,Australia,New Zealand,New Caledonia,Other PIC,Europe,North America,Japan,China,Other Countries,Total,fileyear,Not Stated,month,cal_row_sums,error
0,2004.0,0,36407.0,8220.0,6630.0,3179.0,3388.0,1954.0,591.0,0.0,1084.0,61454.0,2005.0,0.0,,61453.0,1.0
1,2004.0,4th,11588.0,2198.0,1925.0,933.0,887.0,399.0,141.0,0.0,265.0,18337.0,2005.0,0.0,,18336.0,1.0
2,2005.0,Dec,3924.0,596.0,818.0,219.0,309.0,160.0,49.0,0.0,101.0,6177.0,2009.0,0.0,12.0,6176.0,1.0
3,2007.0,Mar,3618.0,570.0,422.0,368.0,280.0,176.0,69.0,0.0,264.0,5768.0,2007.0,0.0,3.0,5767.0,1.0
4,2007.0,May,3305.0,949.0,765.0,220.0,218.0,268.0,33.0,0.0,85.0,5842.0,2007.0,0.0,5.0,5843.0,-1.0
5,2007.0,Apr,3876.0,912.0,615.0,168.0,287.0,259.0,79.0,0.0,132.0,6329.0,2007.0,0.0,4.0,6328.0,1.0
6,2007.0,Dec,4809.0,902.0,905.0,374.0,361.0,155.0,58.0,0.0,155.0,7720.0,2008.0,0.0,12.0,7719.0,1.0
7,2007.0,Nov,4050.0,997.0,840.0,246.0,396.0,160.0,36.0,0.0,145.0,6869.0,2007.0,0.0,11.0,6870.0,-1.0
8,2007.0,Jul,4361.0,2717.0,764.0,357.0,405.0,409.0,109.0,0.0,181.0,9302.0,2007.0,0.0,7.0,9303.0,-1.0
9,2007.0,Oct,4175.0,1273.0,473.0,202.0,278.0,195.0,59.0,0.0,130.0,6786.0,2007.0,0.0,10.0,6785.0,1.0
10,2007.0,Jan,4016.0,709.0,974.0,151.0,371.0,98.0,68.0,0.0,93.0,6479.0,2007.0,0.0,1.0,6480.0,-1.0
11,2007.0,Dec,4809.0,902.0,905.0,374.0,361.0,155.0,58.0,0.0,155.0,7720.0,2007.0,0.0,12.0,7719.0,1.0
12,2007.0,Oct,4175.0,1273.0,473.0,202.0,278.0,195.0,59.0,0.0,130.0,6786.0,2008.0,0.0,10.0,6785.0,1.0
13,2007.0,Apr,3876.0,912.0,615.0,168.0,287.0,259.0,79.0,0.0,132.0,6329.0,2008.0,0.0,4.0,6328.0,1.0
14,2007.0,Jul,4361.0,2717.0,764.0,357.0,405.0,409.0,109.0,0.0,181.0,9302.0,2008.0,0.0,7.0,9303.0,-1.0
15,2007.0,Dec,4809.0,902.0,905.0,374.0,361.0,155.0,58.0,0.0,155.0,7720.0,2009.0,0.0,12.0,7719.0,1.0
16,2007.0,Jan,4016.0,709.0,974.0,151.0,371.0,98.0,68.0,0.0,93.0,6479.0,2008.0,0.0,1.0,6480.0,-1.0
17,2007.0,Nov,4050.0,997.0,840.0,246.0,396.0,160.0,36.0,0.0,145.0,6869.0,2008.0,0.0,11.0,6870.0,-1.0
18,2007.0,May,3305.0,949.0,765.0,220.0,218.0,268.0,33.0,0.0,85.0,5842.0,2008.0,0.0,5.0,5843.0,-1.0
19,2007.0,Mar,3618.0,570.0,422.0,368.0,280.0,176.0,69.0,0.0,264.0,5768.0,2008.0,0.0,3.0,5767.0,1.0
20,2007.0,Dec,4050.0,997.0,840.0,246.0,396.0,160.0,36.0,0.0,145.0,6869.0,2011.0,0.0,12.0,6870.0,-1.0
21,2008.0,June,4579.0,1586.0,690.0,339.0,364.0,238.0,62.0,0.0,203.0,8060.0,2009.0,0.0,6.0,8061.0,-1.0
22,2008.0,Oct,5154.0,1393.0,746.0,325.0,390.0,193.0,25.0,0.0,193.0,8420.0,2009.0,0.0,10.0,8419.0,1.0
23,2008.0,Sep,5678.0,1473.0,1014.0,295.0,459.0,191.0,54.0,0.0,118.0,9283.0,2009.0,0.0,9.0,9282.0,1.0
24,2008.0,Apr,3502.0,1049.0,580.0,295.0,297.0,206.0,76.0,0.0,166.0,6172.0,2009.0,0.0,4.0,6171.0,1.0
25,2008.0,Nov,4914.0,1091.0,715.0,312.0,537.0,146.0,51.0,0.0,169.0,7936.0,2009.0,0.0,11.0,7935.0,1.0
26,2008.0,Apr,3502.0,1049.0,580.0,295.0,297.0,206.0,76.0,0.0,166.0,6172.0,2008.0,0.0,4.0,6171.0,1.0
27,2008.0,Oct,5154.0,1393.0,746.0,325.0,390.0,193.0,25.0,0.0,193.0,8420.0,2008.0,0.0,10.0,8419.0,1.0
28,2008.0,Sep,5678.0,1473.0,1014.0,295.0,459.0,191.0,54.0,0.0,118.0,9283.0,2008.0,0.0,9.0,9282.0,1.0
29,2008.0,Nov,4914.0,1091.0,715.0,312.0,537.0,146.0,51.0,0.0,169.0,7936.0,2008.0,0.0,11.0,7935.0,1.0
30,2008.0,June,4579.0,1586.0,690.0,339.0,364.0,238.0,62.0,0.0,203.0,8060.0,2008.0,0.0,6.0,8061.0,-1.0
31,2008.0,Dec,4914.0,1091.0,715.0,312.0,537.0,146.0,51.0,0.0,169.0,7936.0,2011.0,0.0,12.0,7935.0,1.0
32,2009.0,Dec,5631.0,688.0,1197.0,374.0,365.0,189.0,49.0,0.0,201.0,8693.0,2009.0,0.0,12.0,8694.0,-1.0
33,2009.0,0,64909.0,12607.0,9155.0,3708.0,4890.0,2549.0,642.0,0.0,2216.0,100675.0,2013.0,0.0,,100676.0,-1.0
34,2009.0,Dec,5631.0,688.0,1197.0,374.0,365.0,189.0,49.0,0.0,201.0,8693.0,2011.0,0.0,12.0,8694.0,-1.0
35,2009.0,Apr,5063.0,829.0,643.0,246.0,403.0,128.0,48.0,0.0,127.0,7488.0,2009.0,0.0,4.0,7487.0,1.0
36,2009.0,May,4247.0,1005.0,914.0,353.0,400.0,227.0,46.0,0.0,163.0,7354.0,2009.0,0.0,5.0,7355.0,-1.0
37,2009.0,Mar,4647.0,649.0,362.0,234.0,340.0,138.0,64.0,0.0,122.0,6557.0,2009.0,0.0,3.0,6556.0,1.0
38,2009.0,Dec,5631.0,688.0,1197.0,374.0,365.0,189.0,49.0,0.0,201.0,8693.0,2013.0,0.0,12.0,8694.0,-1.0
39,2009.0,Dec,5631.0,688.0,1197.0,374.0,365.0,189.0,49.0,0.0,201.0,8693.0,2012.0,0.0,12.0,8694.0,-1.0
40,2010.0,Feb,2778.0,435.0,942.0,640.0,369.0,192.0,50.0,0.0,199.0,5606.0,2011.0,0.0,2.0,5605.0,1.0
41,2010.0,June,5087.0,1343.0,517.0,317.0,322.0,195.0,43.0,0.0,210.0,8035.0,2011.0,0.0,6.0,8034.0,1.0
42,2010.0,Mar,4155.0,694.0,527.0,340.0,317.0,195.0,43.0,0.0,198.0,6470.0,2011.0,0.0,3.0,6469.0,1.0
