,Year,Month,Australia,New Zealand,New Caledonia,Other PIC,Europe,North America,Japan,China,Other Countries,Total,filename,Not Stated,month
0,2002.0,Dec,3073,474,551,164,215.0,74,43,0.0,43,4637,Tou12_December_2006.csv,0.0,12.0
1,2002.0,0,29730,7263,4704,1828,2948.0,1438,731,0.0,803,49445,Tou12_December_News_2005.csv,0.0,
2,2003.0,4th,8493,2016,1527,636,819.0,425,131,0.0,279,14326,Tou12_December_News_2005.csv,0.0,
3,2003.0,3rd,8553,2575,1400,533,1016.0,530,169,0.0,276,15055,Tou12_December_News_2005.csv,3.0,
4,2003.0,Dec,2938,580,646,136,201.0,88,42,0.0,103,4734,Tou12_December_News_2007.csv,0.0,12.0
5,2003.0,1st,6344,1291,1161,478,614.0,275,136,0.0,183,10490,Tou12_December_News_2005.csv,8.0,
6,2003.0,0,29492,7729,5050,2034,3003.0,1625,571,0.0,881,50400,Tou12_December_News_2005.csv,15.0,
7,2003.0,Dec,2938,580,646,136,201.0,88,42,0.0,103,4734,Tou12_December_2006.csv,0.0,12.0
8,2003.0,2nd,6102,1847,962,387,554.0,395,135,0.0,143,10529,Tou12_December_News_2005.csv,4.0,
9,2004.0,Jan,2864,439,717,122,186.0,67,36,0.0,61,4492,Tou12_December_News_2005.csv,0.0,1.0
10,2004.0,3rd,9940,3299,2027,1215,1270.0,749,182,0.0,321,19003,Tou12_December_News_2005.csv,0.0,
11,2004.0,1st,7755,1053,1388,564,610.0,264,123,0.0,237,11994,Tou12_December_News_2005.csv,0.0,
12,2004.0,Dec,3806,656,827,321,295.0,131,52,0.0,89,6178,Tou12_December_News_2007.csv,1.0,12.0
13,2004.0,0,36407,8220,6630,3179,3388.0,1954,591,0.0,1084,61454,Tou12_December_News_2005.csv,0.0,
14,2004.0,Apr,2377,438,469,206,225.0,115,45,0.0,80,3955,Tou12_December_News_2005.csv,0.0,4.0
15,2004.0,Mar,2733,420,255,160,195.0,115,53,0.0,83,4014,Tou12_December_News_2005.csv,0.0,3.0
16,2004.0,Feb,2158,194,416,282,229.0,82,34,0.0,93,3488,Tou12_December_News_2005.csv,0.0,2.0
17,2004.0,Jun,2671,741,233,140,168.0,278,39,0.0,103,4373,Tou12_December_News_2005.csv,0.0,6.0
18,2004.0,2nd,7124,1670,1290,467,621.0,542,145,0.0,261,12120,Tou12_December_News_2005.csv,0.0,
19,2004.0,Jul,2907,1153,552,508,478.0,323,75,0.0,120,6116,Tou12_December_News_2005.csv,0.0,7.0
20,2004.0,4th,11588,2198,1925,933,887.0,399,141,0.0,265,18337,Tou12_December_News_2005.csv,0.0,
21,2004.0,Dec,3806,656,827,321,295.0,131,52,0.0,89,6178,Tou12_December_2006.csv,1.0,12.0
22,2004.0,Dec,3806,656,827,321,295.0,131,52,0.0,89,6178,Tou12_December_News_2005.csv,1.0,12.0
23,2004.0,Dec,3806,656,827,321,295.0,131,52,0.0,89,6178,TM12_December_2008_News.csv,1.0,12.0
24,2004.0,Oct,4358,996,557,344,341.0,157,52,0.0,110,6915,Tou12_December_News_2005.csv,0.0,10.0
25,2004.0,Sep,3910,1129,1047,352,364.0,219,41,0.0,84,7146,Tou12_December_News_2005.csv,0.0,9.0
26,2004.0,May,2076,491,588,121,228.0,149,61,0.0,78,3792,Tou12_December_News_2005.csv,0.0,5.0
27,2004.0,Aug,3123,1017,428,355,428.0,207,66,0.0,117,5741,Tou12_December_News_2005.csv,0.0,8.0
28,2004.0,Nov,3424,546,541,268,251.0,111,37,0.0,66,5244,Tou12_December_News_2005.csv,0.0,11.0
29,2005.0,Apr,2914,471,305,111,206.0,82,45,0.0,52,4186,Tou12_December_News_2005.csv,0.0,4.0
30,2005.0,2nd,8438,1837,1209,405,700.0,345,136,0.0,239,13309,Tou12_December_News_2005.csv,0.0,
31,2005.0,0,38073,7651,6815,2731,3503.0,1625,583,0.0,1100,62082,Tou12_December_News_2005.csv,1.0,
32,2005.0,Sep,4167,896,665,379,272.0,135,70,0.0,101,6685,Tou12_December_News_2005.csv,0.0,9.0
33,2005.0,Oct,3701,937,500,212,313.0,125,29,0.0,80,5897,Tou12_December_News_2005.csv,0.0,10.0
34,2005.0,Jun,3164,881,410,143,264.0,140,52,0.0,61,5115,Tou12_December_News_2005.csv,0.0,6.0
35,2005.0,3rd,10694,2743,2049,853,1167.0,490,195,0.0,316,18507,Tou12_December_News_2005.csv,0.0,
36,2005.0,Mar,2790,390,306,255,202.0,166,29,0.0,76,4214,Tou12_December_News_2005.csv,0.0,3.0
37,2005.0,Aug,2963,881,514,201,435.0,202,68,0.0,130,5394,Tou12_December_News_2005.csv,0.0,8.0
38,2005.0,Dec,3924,596,818,219,309.0,160,49,0.0,101,6177,Tou12_December_News_2007.csv,1.0,12.0
39,2005.0,Dec,3924,596,818,219,309.0,160,49,0.0,101,6177,TM12_December_2008_News.csv,1.0,12.0
40,2005.0,May,2360,485,494,151,230.0,123,39,0.0,126,4008,Tou12_December_News_2005.csv,0.0,5.0
41,2005.0,Dec,3924,596,818,219,309.0,160,49,0.0,101,6177,Tou12_December_News_2005.csv,1.0,12.0
42,2005.0,Jul,3564,966,870,273,460.0,153,57,0.0,85,6428,Tou12_December_News_2005.csv,0.0,7.0
43,2005.0,Jan,2967,373,785,352,273.0,111,50,0.0,83,4994,Tou12_December_News_2005.csv,0.0,1.0
44,2005.0,4th,11077,2128,1966,621,966.0,433,139,0.0,287,17618,Tou12_December_News_2005.csv,1.0,
45,2005.0,Feb,2107,180,500,245,195.0,80,34,0.0,99,3440,Tou12_December_News_2005.csv,0.0,2.0
46,2005.0,1st,7864,943,1591,852,670.0,357,113,0.0,258,12648,Tou12_December_News_2005.csv,0.0,
47,2005.0,Dec,3924,596,818,219,309.0,160,49,0.0,101,6177,TM12_December_2009_News.csv,0.0,12.0
48,2005.0,Dec,3924,596,818,219,309.0,160,49,0.0,101,6177,Tou12_December_2006.csv,1.0,12.0
49,2005.0,Nov,3452,595,648,190,344.0,148,61,0.0,106,5544,Tou12_December_News_2005.csv,0.0,11.0
50,2006.0,Nov,3526,777,681,325,403.0,161,61,0.0,102,6036,Tou12_December_News_2007.csv,0.0,11.0
51,2006.0,Jun,3327,1176,449,245,236.0,196,38,0.0,82,5749,Tou12_December_News_2007.csv,0.0,6.0
52,2006.0,May,2580,731,577,229,243.0,129,50,0.0,114,4653,Tou12_December_News_2007.csv,0.0,5.0
53,2006.0,Oct,3705,1020,542,235,443.0,149,50,0.0,95,6239,Tou12_December_News_2007.csv,0.0,10.0
