Day of Date,Destination Country,Destination Region,Type,Passenger,Lastwk Passengers Number 7Days,Lastyr Passengers Number 7Days,Passengers Number 7Days,psg_wow_change,psg_yoy_change,ask_wow_change,ask_yoy_change,Av Seat Km,Av Seat Km 7Days,Date,Destination Iso Country,Destination Iso3,fl_wow_change,fl_yoy_change,Flights Number,Flights Number 7Days,Lastwk Av Seat Km 7Days,Lastwk Flights Number 7Days,Lastwk Payload 7Days,Lastyr Av Seat Km 7Days,Lastyr Flights Number 7Days,Lastyr Payload 7Days,Passengers Number,Payload,Payload 7Days,pl_wow_change,pl_yoy_change
30-May-23,Samoa,East Asia & Pacific,Domestic,Passenger,171,228,133,-22.22%,-41.67%,-24.79%,-50.00%,551.8704775,3311.222865,5/30/23,WS,WSM,-22.22%,-41.67%,1,7,4402.652911,9,,6622.44573,12,0,19,0,0,,
3-Aug-23,Samoa,East Asia & Pacific,Domestic,Passenger,342,171,285,-16.67%,66.67%,-15.38%,57.81%,1103.740955,6070.575252,8/3/23,WS,WSM,-16.67%,66.67%,3,15,7174.316207,18,,3846.7859,9,0,57,0,0,,
30-Jan-20,Samoa,East Asia & Pacific,Intra-Regional,Passenger,5533,5320,4640,-16.14%,-12.78%,-19.22%,-12.53%,467151.1784,13261317.65,1/30/20,WS,WSM,-12.90%,-3.57%,1,27,16416738,31,63300,15160196.62,28,71205,162,1103,44402,-29.85%,-37.64%
8-Mar-22,Samoa,East Asia & Pacific,Intra-Regional,Passenger,302,4168,778,157.62%,-81.33%,178.22%,-79.88%,870862.0733,2422935.581,3/8/22,WS,WSM,200.00%,-85.71%,1,3,870862.0733,1,18891,12044611.44,21,31619,302,18891,37782,100.00%,19.49%
10-May-22,Samoa,East Asia & Pacific,Intra-Regional,Passenger,599,4318,599,0.00%,-86.13%,0.00%,-84.02%,1162757.448,2033619.521,5/10/22,WS,WSM,0.00%,-91.30%,1,2,2033619.521,2,34346,12724404.96,23,67001,297,15455,34346,0.00%,-48.74%
14-Jun-22,Samoa,East Asia & Pacific,Intra-Regional,Passenger,599,4782,769,28.38%,-83.92%,10.12%,-84.18%,1162757.448,2239403.091,6/14/22,WS,WSM,50.00%,-88.46%,1,3,2033619.521,2,34346,14155400.29,26,46265,297,15455,36045,4.95%,-22.09%
12-Oct-22,Samoa,East Asia & Pacific,Intra-Regional,Passenger,2338,5180,2231,-4.58%,-56.93%,-5.18%,-69.91%,211511.6491,4694447.531,10/12/22,WS,WSM,-4.35%,-21.43%,3,22,4951072.705,23,41142,15602509.6,28,116212,208,1699,23950,-41.79%,-79.39%
4-Feb-23,Samoa,East Asia & Pacific,Intra-Regional,Passenger,3936,4745,4297,9.17%,-9.44%,13.66%,-17.34%,3727366.103,11249604.73,2/4/23,WS,WSM,0.00%,-21.74%,5,18,9897355.219,18,123200,13609276.91,23,77783,1285,54936,176887,43.58%,127.41%
24-Jul-21,Solomon Islands,East Asia & Pacific,Domestic,Passenger,152,,285,87.50%,,,,0,0,7/24/21,SB,SLB,87.50%,,6,15,,8,,,,,114,0,0,,
15-Apr-22,Solomon Islands,East Asia & Pacific,Domestic,Passenger,266,136,209,-21.43%,53.68%,-21.43%,53.68%,12552.17167,69036.94417,4/15/22,SB,SLB,-21.43%,1000.00%,2,11,87865.20167,14,,44923.56176,1,4182,38,0,0,,-100.00%
5-Aug-22,Solomon Islands,East Asia & Pacific,Domestic,Passenger,19,,114,500.00%,,344.19%,,21601.68373,27877.76957,8/5/22,SB,SLB,500.00%,,5,6,6276.085834,1,,,,,95,0,0,,
16-Sep-22,Solomon Islands,East Asia & Pacific,Domestic,Passenger,228,,399,75.00%,,94.47%,,6029.390908,119139.3029,9/16/22,SB,SLB,75.00%,,3,21,61263.27538,12,,,,,57,0,0,,
24-Jan-23,Solomon Islands,East Asia & Pacific,Domestic,Passenger,209,,190,-9.09%,,36.58%,,10117.81903,68118.556,1/24/23,SB,SLB,-9.09%,,1,10,49874.79548,11,,,,,19,0,0,,
4-Mar-20,Solomon Islands,East Asia & Pacific,Intra-Regional,Passenger,1642,2032,1905,16.02%,-6.25%,19.27%,-10.48%,707312.5179,3440727.667,3/4/20,SB,SLB,28.57%,20.00%,4,18,2884817.159,14,17382,3843345.793,15,28671,426,4990,23244,33.72%,-18.93%
23-Apr-21,Solomon Islands,East Asia & Pacific,Intra-Regional,Passenger,578,2304,306,-47.06%,-86.72%,-56.98%,-88.14%,287924.1498,505362.6015,4/23/21,SB,SLB,-50.00%,-88.24%,1,2,1174632.6,4,7920,4260464.135,17,28765,136,2640,2640,-66.67%,-90.82%
6-Mar-23,Tonga,East Asia & Pacific,Domestic,Passenger,1292,748,1408,8.98%,88.24%,-7.82%,59.23%,157334.0113,380223.4775,3/6/23,TO,TON,100.00%,72.73%,12,38,412458.3188,19,,238791.6582,22,0,571,0,0,,
23-Nov-21,Tonga,East Asia & Pacific,Intra-Regional,Passenger,302,3008,302,0.00%,-89.96%,0.00%,-89.09%,604004.8583,604004.8583,11/23/21,TO,TON,0.00%,-94.44%,1,1,604004.8583,1,18891,5537780.393,18,32327,302,18891,18891,0.00%,-41.56%
3-Jun-23,Tonga,East Asia & Pacific,Intra-Regional,Passenger,2570,2600,2563,-0.27%,-1.42%,1.52%,-16.96%,1200029.628,4215476.255,6/3/23,TO,TON,-6.25%,-6.25%,3,15,4152487.717,16,27386,5076411.203,16,14138,558,1699,49326,80.11%,248.89%
7-Jul-23,Tonga,East Asia & Pacific,Intra-Regional,Passenger,2793,3906,2974,6.48%,-23.86%,3.45%,-29.71%,637680.4094,5046297.14,7/7/23,TO,TON,11.76%,-17.39%,3,19,4878116.998,17,27386,7179291.252,23,89342,452,1699,29085,6.20%,-67.45%
23-Jan-20,Samoa,East Asia & Pacific,Domestic,Passenger,,38,76,,100.00%,,50.00%,551.8704775,1655.611432,1/23/20,WS,WSM,,100.00%,1,4,,,,1103.740955,2,0,19,0,0,,
25-Jan-20,Samoa,East Asia & Pacific,Domestic,Passenger,19,38,133,600.00%,250.00%,500.00%,200.00%,1655.611432,3311.222865,1/25/20,WS,WSM,600.00%,250.00%,3,7,551.8704775,1,,1103.740955,2,0,57,0,0,,
27-Mar-20,Samoa,East Asia & Pacific,Domestic,Passenger,19,209,19,0.00%,-90.91%,0.00%,-87.64%,545.7150233,545.7150233,3/27/20,WS,WSM,0.00%,-90.91%,1,1,545.7150233,1,,4414.96382,11,0,19,0,0,,
7-Apr-21,Samoa,East Asia & Pacific,Domestic,Passenger,114,171,247,116.67%,44.44%,1200.00%,60.69%,2728.575117,7094.295303,4/7/21,WS,WSM,116.67%,44.44%,5,13,545.7150233,6,,4414.96382,9,0,95,0,0,,
16-Jan-22,Samoa,East Asia & Pacific,Domestic,Passenger,76,,57,-25.00%,,-100.00%,,0,0,1/16/22,WS,WSM,-25.00%,,3,3,2182.860093,4,,,,,57,0,0,,
5-May-22,Samoa,East Asia & Pacific,Domestic,Passenger,,171,57,,-66.67%,,-100.00%,0,0,5/5/22,WS,WSM,,-66.67%,3,3,,,,3863.093342,9,0,57,0,0,,
15-May-22,Samoa,East Asia & Pacific,Domestic,Passenger,57,114,95,66.67%,-16.67%,,-100.00%,0,0,5/15/22,WS,WSM,66.67%,-16.67%,3,5,,3,,2759.352387,6,0,57,0,0,,
16-May-22,Samoa,East Asia & Pacific,Domestic,Passenger,57,95,133,133.33%,40.00%,,-100.00%,0,0,5/16/22,WS,WSM,133.33%,40.00%,2,7,,3,,2207.48191,5,0,38,0,0,,
19-Aug-22,Samoa,East Asia & Pacific,Domestic,Passenger,,266,19,,-92.86%,,-100.00%,0,0,8/19/22,WS,WSM,,-92.86%,1,1,,,,6622.44573,14,0,19,0,0,,
28-Oct-22,Samoa,East Asia & Pacific,Domestic,Passenger,228,,95,-58.33%,,-33.33%,,551.8704775,2207.48191,10/28/22,WS,WSM,-58.33%,,1,5,3311.222865,12,,,,,19,0,0,,
15-Nov-22,Samoa,East Asia & Pacific,Domestic,Passenger,114,57,133,16.67%,133.33%,33.33%,0.74%,551.8704775,2207.48191,11/15/22,WS,WSM,16.67%,133.33%,1,7,1655.611432,6,,2191.174467,3,0,19,0,0,,
18-Nov-22,Samoa,East Asia & Pacific,Domestic,Passenger,171,57,76,-55.56%,33.33%,33.33%,33.33%,551.8704775,2207.48191,11/18/22,WS,WSM,-55.56%,33.33%,1,4,1655.611432,9,,1655.611432,3,0,19,0,0,,
