Country,ISO,Region,Date,Aircraft_type,Seats_arrivals_domestic,Seats_arrivals_interregional,Seats_arrivals_intraregional,Seats_arrivals_intl,Seats_arrivals_total,Available_seat_kilometers,Number_of_flights_domestic,Number_of_flights_interregional,Number_of_flights_intraregional,Number_of_flights_intl,Number_of_flights_total
Fiji,FJ,East Asia & Pacific,2019-01-01,passenger,839,273,3480,3753,4592,14304160.248900514,8,1,10,11,19
Fiji,FJ,East Asia & Pacific,2019-01-02,passenger,974,313,3471,3784,4758,14956096.89564508,8,1,10,11,19
Fiji,FJ,East Asia & Pacific,2019-01-03,passenger,1190,443,3675,4118,5308,15921434.568735164,10,2,12,14,24
Fiji,FJ,East Asia & Pacific,2019-01-04,passenger,831,586,3159,3745,4576,14573341.711448403,7,2,12,14,21
Fiji,FJ,East Asia & Pacific,2019-01-05,passenger,744,273,4746,5019,5763,17715468.935881846,7,1,12,13,20
Fiji,FJ,East Asia & Pacific,2019-01-06,passenger,763,750,4482,5232,5995,21796187.48369559,7,3,15,18,25
Fiji,FJ,East Asia & Pacific,2019-01-07,passenger,787,273,3517,3790,4577,14914486.709381998,11,1,12,13,24
Fiji,FJ,East Asia & Pacific,2019-01-08,passenger,707,273,3918,4191,4898,14943288.726948392,9,1,13,14,23
Fiji,FJ,East Asia & Pacific,2019-01-09,passenger,838,586,3126,3712,4550,14849003.504635593,9,2,9,11,20
Fiji,FJ,East Asia & Pacific,2019-01-10,passenger,1111,273,3703,3976,5087,15220337.086924672,12,1,13,14,26
Fiji,FJ,East Asia & Pacific,2019-01-11,passenger,570,586,2469,3055,3625,12893797.80659526,8,2,11,13,21
Fiji,FJ,East Asia & Pacific,2019-01-12,passenger,771,273,5039,5312,6083,18476565.819290794,7,1,13,14,21
Fiji,FJ,East Asia & Pacific,2019-01-13,passenger,950,756,4067,4823,5773,20888381.140626956,9,3,14,17,26
Fiji,FJ,East Asia & Pacific,2019-01-14,passenger,784,273,3294,3567,4351,12639575.504460162,8,1,12,13,21
Fiji,FJ,East Asia & Pacific,2019-01-15,passenger,708,273,3517,3790,4498,15740553.267904256,8,1,11,12,20
Fiji,FJ,East Asia & Pacific,2019-01-16,passenger,860,586,2856,3442,4302,14195348.04036164,6,2,10,12,18
Fiji,FJ,East Asia & Pacific,2019-01-17,passenger,991,273,3487,3760,4751,14509770.027198603,8,1,13,14,22
