,country,date,seats_arrivals_domestic,seats_arrivals_intl,seats_arrivals_total
110,Palau,2019-04-21,0.0,499.0,499.0
111,Palau,2019-04-22,0.0,126.0,126.0
112,Palau,2019-04-23,0.0,252.0,252.0
113,Palau,2019-04-24,0.0,284.0,284.0
114,Palau,2019-04-25,0.0,649.0,649.0
115,Palau,2019-04-26,0.0,292.0,292.0
116,Palau,2019-04-27,0.0,357.0,357.0
117,Palau,2019-04-28,0.0,649.0,649.0
118,Palau,2019-04-29,0.0,284.0,284.0
119,Palau,2019-04-30,0.0,442.0,442.0
120,Palau,2019-05-01,0.0,633.0,633.0
121,Palau,2019-05-02,0.0,468.0,468.0
122,Palau,2019-05-03,0.0,292.0,292.0
123,Palau,2019-05-04,0.0,458.0,458.0
124,Palau,2019-05-05,0.0,658.0,658.0
125,Palau,2019-05-06,0.0,284.0,284.0
126,Palau,2019-05-07,0.0,292.0,292.0
127,Palau,2019-05-08,0.0,284.0,284.0
128,Palau,2019-05-09,0.0,609.0,609.0
129,Palau,2019-05-10,0.0,292.0,292.0
130,Palau,2019-05-11,0.0,158.0,158.0
131,Palau,2019-05-12,0.0,459.0,459.0
132,Palau,2019-05-13,0.0,324.0,324.0
133,Palau,2019-05-14,0.0,402.0,402.0
134,Palau,2019-05-15,0.0,284.0,284.0
135,Palau,2019-05-16,0.0,459.0,459.0
136,Palau,2019-05-17,0.0,252.0,252.0
137,Palau,2019-05-18,0.0,308.0,308.0
138,Palau,2019-05-19,0.0,459.0,459.0
139,Palau,2019-05-20,0.0,324.0,324.0
140,Palau,2019-05-21,0.0,252.0,252.0
141,Palau,2019-05-22,0.0,324.0,324.0
142,Palau,2019-05-23,0.0,628.0,628.0
143,Palau,2019-05-24,0.0,252.0,252.0
144,Palau,2019-05-25,0.0,158.0,158.0
145,Palau,2019-05-26,0.0,438.0,438.0
146,Palau,2019-05-27,0.0,284.0,284.0
147,Palau,2019-05-28,0.0,442.0,442.0
148,Palau,2019-05-29,0.0,284.0,284.0
149,Palau,2019-05-30,0.0,459.0,459.0
150,Palau,2019-05-31,0.0,252.0,252.0
151,Palau,2019-06-01,0.0,308.0,308.0
152,Palau,2019-06-02,0.0,438.0,438.0
153,Palau,2019-06-03,0.0,284.0,284.0
154,Palau,2019-06-04,0.0,292.0,292.0
155,Palau,2019-06-05,0.0,284.0,284.0
156,Palau,2019-06-06,0.0,471.0,471.0
157,Palau,2019-06-07,0.0,252.0,252.0
158,Palau,2019-06-08,0.0,158.0,158.0
159,Palau,2019-06-09,0.0,300.0,300.0
160,Palau,2019-06-10,0.0,324.0,324.0
161,Palau,2019-06-11,0.0,442.0,442.0
162,Palau,2019-06-12,0.0,324.0,324.0
163,Palau,2019-06-13,0.0,321.0,321.0
164,Palau,2019-06-14,0.0,292.0,292.0
165,Palau,2019-06-15,0.0,338.0,338.0
166,Palau,2019-06-16,0.0,321.0,321.0
167,Palau,2019-06-17,0.0,284.0,284.0
168,Palau,2019-06-18,0.0,292.0,292.0
169,Palau,2019-06-19,0.0,284.0,284.0
170,Palau,2019-06-20,0.0,511.0,511.0
171,Palau,2019-06-21,0.0,292.0,292.0
172,Palau,2019-06-22,0.0,158.0,158.0
173,Palau,2019-06-23,0.0,300.0,300.0
174,Palau,2019-06-24,0.0,324.0,324.0
175,Palau,2019-06-25,0.0,442.0,442.0
176,Palau,2019-06-26,0.0,324.0,324.0
177,Palau,2019-06-27,0.0,340.0,340.0
178,Palau,2019-06-28,0.0,450.0,450.0
179,Palau,2019-06-29,0.0,308.0,308.0
180,Palau,2019-06-30,0.0,340.0,340.0
181,Palau,2019-07-01,0.0,284.0,284.0
182,Palau,2019-07-02,0.0,292.0,292.0
183,Palau,2019-07-03,0.0,324.0,324.0
184,Palau,2019-07-04,0.0,471.0,471.0
185,Palau,2019-07-05,0.0,410.0,410.0
186,Palau,2019-07-06,0.0,158.0,158.0
187,Palau,2019-07-07,0.0,300.0,300.0
188,Palau,2019-07-08,0.0,324.0,324.0
189,Palau,2019-07-09,0.0,442.0,442.0
190,Palau,2019-07-10,0.0,324.0,324.0
191,Palau,2019-07-11,0.0,361.0,361.0
192,Palau,2019-07-12,0.0,284.0,284.0
193,Palau,2019-07-13,0.0,474.0,474.0
194,Palau,2019-07-14,0.0,300.0,300.0
195,Palau,2019-07-15,0.0,284.0,284.0
196,Palau,2019-07-16,0.0,292.0,292.0
197,Palau,2019-07-17,0.0,284.0,284.0
198,Palau,2019-07-18,0.0,511.0,511.0
199,Palau,2019-07-19,0.0,450.0,450.0
200,Palau,2019-07-20,0.0,158.0,158.0
201,Palau,2019-07-21,0.0,321.0,321.0
202,Palau,2019-07-22,0.0,284.0,284.0
203,Palau,2019-07-23,0.0,442.0,442.0
204,Palau,2019-07-24,0.0,479.0,479.0
205,Palau,2019-07-25,0.0,300.0,300.0
206,Palau,2019-07-26,0.0,450.0,450.0
207,Palau,2019-07-27,0.0,512.0,512.0
208,Palau,2019-07-28,0.0,321.0,321.0
209,Palau,2019-07-29,0.0,284.0,284.0
210,Palau,2019-07-30,0.0,126.0,126.0
211,Palau,2019-07-31,0.0,718.0,718.0
212,Palau,2019-08-01,0.0,501.0,501.0
213,Palau,2019-08-02,0.0,450.0,450.0
214,Palau,2019-08-03,0.0,353.0,353.0
215,Palau,2019-08-04,0.0,499.0,499.0
216,Palau,2019-08-05,0.0,284.0,284.0
217,Palau,2019-08-06,0.0,472.0,472.0
218,Palau,2019-08-07,0.0,458.0,458.0
219,Palau,2019-08-08,0.0,520.0,520.0
220,Palau,2019-08-09,0.0,450.0,450.0
221,Palau,2019-08-10,0.0,722.0,722.0
222,Palau,2019-08-11,0.0,510.0,510.0
223,Palau,2019-08-12,0.0,284.0,284.0
224,Palau,2019-08-13,0.0,481.0,481.0
225,Palau,2019-08-14,0.0,668.0,668.0
226,Palau,2019-08-15,0.0,501.0,501.0
227,Palau,2019-08-16,0.0,450.0,450.0
228,Palau,2019-08-17,0.0,353.0,353.0
229,Palau,2019-08-18,0.0,300.0,300.0
230,Palau,2019-08-19,0.0,284.0,284.0
231,Palau,2019-08-20,0.0,472.0,472.0
232,Palau,2019-08-21,0.0,324.0,324.0
233,Palau,2019-08-22,0.0,361.0,361.0
234,Palau,2019-08-23,0.0,450.0,450.0
235,Palau,2019-08-24,0.0,338.0,338.0
236,Palau,2019-08-25,0.0,300.0,300.0
237,Palau,2019-08-26,0.0,284.0,284.0
238,Palau,2019-08-27,0.0,292.0,292.0
239,Palau,2019-08-28,0.0,324.0,324.0
240,Palau,2019-08-29,0.0,501.0,501.0
241,Palau,2019-08-30,0.0,450.0,450.0
242,Palau,2019-08-31,0.0,158.0,158.0
243,Palau,2019-09-01,0.0,321.0,321.0
