date,stringency_index
1/1/20,1.328087649
2/1/20,11.42073276
3/1/20,30.88645161
4/1/20,69.407375
5/1/20,55.98653226
6/1/20,46.482625
7/1/20,42.46225806
8/1/20,45.87842742
9/1/20,43.385375
10/1/20,40.46475806
11/1/20,40.29954167
12/1/20,39.95709677
1/1/21,39.94854839
2/1/21,40.1046875
3/1/21,39.44705645
4/1/21,39.74025
5/1/21,38.98322581
6/1/21,42.542
7/1/21,43.06072581
8/1/21,50.72778226
9/1/21,53.61441667
10/1/21,52.58403226
11/1/21,53.11608333
12/1/21,47.00443548
1/1/22,51.37774194
2/1/22,59.051875
3/1/22,57.58415323
4/1/22,54.12679167
5/1/22,45.55032258
6/1/22,35.84133333
7/1/22,26.84903226
8/1/22,24.60471774
9/1/22,22.962375
10/1/22,15.63568548
11/1/22,14.69204167
12/1/22,13.91391129
1/1/23,0
2/1/23,0
3/1/23,0
4/1/23,0
5/1/23,0
6/1/23,0
7/1/23,0
8/1/23,0
9/1/23,0
10/1/23,0
11/1/23,0
12/1/23,0
