,Year,January,February,March,April,May,June,July,August,September,October,November,December,Total
0,2009,1602,1422,1249,1499,1393,1724,1603,1520,1659,1709,1475,1405,18260
1,2010,1235,1209,1766,1820,1137,1797,2264,1845,2153,1813,1624,1858,20521
2,2011,1600,1658,1861,1736,1760,2009,2185,1900,2159,1931,2195,1947,22941
3,2012,1383,1591,1677,1839,1968,3122,2865,2133,2309,1929,1545,1564,23925
4,2013,1590,1544,2184,2021,1857,2317,2574,2022,2291,2057,1981,1993,24431
5,2014,1415,1523,1816,1514,1462,1949,2114,1639,1730,1798,1515,1595,20070
6,2015,1259,1465,1675,1750,1681,2131,2077,1426,2211,1748,2101,2099,19524
7,2016,1655,1707,1675,1799,1896,1984,2319,1918,1428,2257,2199,2357,23194
8,2017,1514,1635,1732,2013,1851,2561,2295,2589,2397,2500,2317,2305,25709
9,2018,2081,1855,2360,2250,2003,2768,2862,2313,2663,2366,2044,2301,27866
10,2019,1750,1891,2378,2106,2434,2523,2537,2484,2695,2761,2295,3053,28907
11,2020,1857,1471,752,2,23,24,52,39,103,60,16,41,4440
