Country Name,ISO3,Frequency,Last Reported
American Samoa,ASM,No Data,No Data
Cambodia,KHM,Monthly,2025-M09
China,CHN,Monthly,2025-M09
Fiji,FJI,Monthly,2025-M09
Guam,GUM,No Data,No Data
Indonesia,IDN,Monthly,2025-M10
Japan,JPN,Monthly,2025-M09
Lao,LAO,Monthly,2025-M10
Malaysia,MYS,Monthly,2025-M08
Marshall Islands,MHL,No Data,No Data
Mongolia,MNG,Monthly,2025-M09
New Zealand,NZL,Quarterly,2025-Q3
Palau,PLW,Quarterly,2025-Q2
Papua New Guinea,PNG,Quarterly,2025-Q2
Philippines,PHL,Monthly,2025-M09
Samoa,WSM,Monthly,2025-M09
Singapore,SGP,Monthly,2025-M09
Solomon Islands,SLB,Monthly,2025-M08
South Korea,KOR,Monthly,2025-M10
Thailand,THA,Monthly,2025-M03
Timor-Leste,TLS,Monthly,2025-M08
Tonga,TON,Monthly,2025-M01
Tuvalu,TUV,Quarterly,2012-Q2
Vanuatu,VUT,Quarterly,2023-Q4
Vietnam,VNM,Monthly,2025-M03
