,Year,Month,Australie,New Zealand,Caledonia,Other PIC,Europe,North America,Japon,Countries,Total
0,2010,,58760,11927,11410,4719,4888,2395,517,2564,97180
1,2011,,57843,11399,11376,3397,5265,1922,630,2128,93960
2,2012,,65405,14430,13138,4313,5491,2094,705,2585,108161
3,2013,,65776,15068,12515,4874,5544,2614,659,3059,110109
4,2014,,60747,16293,12710,6621,5580,2370,763,3572,108656
5,2010,Dec,5995,746,1410,696,373,158,51,204,9633
6,2011,Dec,5785,759,1460,333,340,109,52,152,8990
7,2012,Dec,6833,1126,1758,543,361,173,68,208,11070
8,2013,Jan,4591,621,1428,231,364,135,32,210,7612
9,,Feb,2448,429,876,440,340,154,26,218,4931
10,,Mar,4405,718,720,344,388,135,36,231,6977
11,,Apr,4931,994,1126,522,533,222,58,276,8662
12,,May,4669,959,971,293,374,165,62,177,7670
13,,June,6911,1901,971,461,419,279,39,225,11206
14,,July,7091,2319,805,384,654,217,47,338,11855
15,,Aug,5781,2121,1167,444,672,245,88,279,10797
16,,Sep,7660,1664,790,458,399,269,67,289,11596
17,,Oct,6431,1614,1196,418,523,311,65,269,10827
18,,Nov,4735,830,1107,413,448,239,86,265,8123
19,,Dec,6123,898,1358,466,430,243,53,282,9853
20,2014,Jan,4898,679,1676,284,414,188,42,266,8447
21,,Feb,2608,310,968,357,304,207,33,222,5009
22,,Mar,3907,707,538,462,360,146,48,208,6376
23,,Apr*,4125,984,732,265,368,108,21,201,6804
24,,May,4162,1350,911,369,404,215,72,329,7812
25,,June,6123,1936,1191,411,453,306,82,415,10917
26,,July,6295,2513,975,526,544,198,61,334,11446
27,,Aug,5747,2645,1137,824,680,315,142,375,11865
28,,Sep,7052,1886,764,655,407,139,55,330,11288
29,,Oct,5652,1415,1483,725,659,209,52,338,10533
30,,Nov,4147,947,1001,882,544,157,53,265,7996
31,,Dec,6031,921,1334,861,443,182,102,289,10163
